weather_year,year,scenario,scenario_name,min,max,mean,median
default,2030,ev,Eigen Vermogen,0.0,3000.0,90.54,57.81
default,2030,gb,Gezamenlijke Balans,0.0,3000.0,60.24,50.78
default,2030,ha,Horizon Aanvoer,0.0,3000.0,83.87,56.58
default,2030,km,Koersvaste Middenweg,0.0,3000.0,73.6,61.34
default,2035,ev,Eigen Vermogen,0.0,3000.0,113.99,50.0
default,2035,gb,Gezamenlijke Balans,0.0,3000.0,94.89,48.64
default,2035,ha,Horizon Aanvoer,0.0,3000.0,127.72,51.78
default,2035,km,Koersvaste Middenweg,0.0,3000.0,94.87,49.0
default,2040,ev,Eigen Vermogen,0.0,3000.0,163.49,48.0
default,2040,gb,Gezamenlijke Balans,0.0,3000.0,96.74,48.0
default,2040,ha,Horizon Aanvoer,0.0,3000.0,126.59,50.39
default,2040,km,Koersvaste Middenweg,0.0,3000.0,121.81,48.0
default,2050,ev,Eigen Vermogen,0.0,3000.0,107.03,48.0
default,2050,gb,Gezamenlijke Balans,0.0,3000.0,76.29,48.0
default,2050,ha,Horizon Aanvoer,0.0,3000.0,122.05,48.0
default,2050,km,Koersvaste Middenweg,-0.01,3000.0,100.41,48.0
1987,2030,ev,Eigen Vermogen,0.0,3000.0,146.6,64.47
1987,2030,gb,Gezamenlijke Balans,0.0,3000.0,85.26,52.79
1987,2030,ha,Horizon Aanvoer,0.0,3000.0,125.31,56.58
1987,2030,km,Koersvaste Middenweg,0.0,3000.0,105.26,64.27
1987,2035,ev,Eigen Vermogen,0.0,3000.0,220.9,50.88
1987,2035,gb,Gezamenlijke Balans,0.0,3000.0,156.38,49.0
1987,2035,ha,Horizon Aanvoer,0.0,3000.0,185.09,55.95
1987,2035,km,Koersvaste Middenweg,0.0,3000.0,157.34,49.0
1987,2040,ev,Eigen Vermogen,0.0,3000.0,308.58,48.0
1987,2040,gb,Gezamenlijke Balans,0.0,3000.0,168.07,48.0
1987,2040,ha,Horizon Aanvoer,0.0,3000.0,192.75,50.0
1987,2040,km,Koersvaste Middenweg,0.0,3000.0,238.28,48.0
1987,2050,ev,Eigen Vermogen,0.0,3000.0,212.88,48.0
1987,2050,gb,Gezamenlijke Balans,0.0,3000.0,133.12,48.0
1987,2050,ha,Horizon Aanvoer,0.0,3000.0,199.59,48.0
1987,2050,km,Koersvaste Middenweg,-0.01,3000.0,222.35,48.0
1997,2030,ev,Eigen Vermogen,0.0,3000.0,113.77,59.97
1997,2030,gb,Gezamenlijke Balans,0.0,3000.0,69.29,52.79
1997,2030,ha,Horizon Aanvoer,0.0,3000.0,99.72,56.58
1997,2030,km,Koersvaste Middenweg,0.0,3000.0,86.36,61.49
1997,2035,ev,Eigen Vermogen,0.0,3000.0,170.67,50.0
1997,2035,gb,Gezamenlijke Balans,0.0,3000.0,127.15,49.0
1997,2035,ha,Horizon Aanvoer,0.0,3000.0,152.55,55.95
1997,2035,km,Koersvaste Middenweg,0.0,3000.0,124.63,49.0
1997,2040,ev,Eigen Vermogen,0.0,3000.0,224.54,48.0
1997,2040,gb,Gezamenlijke Balans,0.0,3000.0,138.85,48.0
1997,2040,ha,Horizon Aanvoer,0.0,3000.0,161.25,50.39
1997,2040,km,Koersvaste Middenweg,0.0,3000.0,178.9,48.0
1997,2050,ev,Eigen Vermogen,0.0,3000.0,160.88,48.0
1997,2050,gb,Gezamenlijke Balans,0.0,3000.0,111.49,48.0
1997,2050,ha,Horizon Aanvoer,0.0,3000.0,168.69,48.0
1997,2050,km,Koersvaste Middenweg,-0.01,3000.0,158.17,48.0
2004,2030,ev,Eigen Vermogen,0.0,3000.0,119.85,64.47
2004,2030,gb,Gezamenlijke Balans,0.0,3000.0,73.2,52.79
2004,2030,ha,Horizon Aanvoer,0.0,3000.0,106.62,56.58
2004,2030,km,Koersvaste Middenweg,0.0,3000.0,89.85,61.49
2004,2035,ev,Eigen Vermogen,0.0,3000.0,173.3,50.0
2004,2035,gb,Gezamenlijke Balans,0.0,3000.0,128.49,48.64
2004,2035,ha,Horizon Aanvoer,0.0,3000.0,159.7,54.44
2004,2035,km,Koersvaste Middenweg,0.0,3000.0,125.55,49.0
2004,2040,ev,Eigen Vermogen,0.0,3000.0,235.92,48.0
2004,2040,gb,Gezamenlijke Balans,0.0,3000.0,138.41,48.0
2004,2040,ha,Horizon Aanvoer,0.0,3000.0,166.28,50.0
2004,2040,km,Koersvaste Middenweg,0.0,3000.0,189.44,48.0
2004,2050,ev,Eigen Vermogen,0.0,3000.0,178.67,48.0
2004,2050,gb,Gezamenlijke Balans,0.0,3000.0,122.6,48.0
2004,2050,ha,Horizon Aanvoer,0.0,3000.0,173.45,48.0
2004,2050,km,Koersvaste Middenweg,-0.01,3000.0,172.13,48.0
