gemeentecode;gemeentenaam;latitude;longitude;pv_potentie_dak_tj;pv_potentie_veld_lbg4_tj;pv_potentie_veld_lbg10_tj;pv_potentie_veld_lbg100_tj;pv_potentie_water_tj;pv_potentie_totaal_tj;pv_potentie_totaal_gwh;pv_kans2030;wind_potentie_land_aantal;wind_potentie_land_tj;wind_potentie_water_aantal;wind_potentie_water_tj;wind_potentie_totaal_tj;wind_potentie_totaal_gwh;wind_vermogen_per_turbine_kw;province;provinciecode;res_regio;res_regiocode;elec_verbruik_a_kwh;elec_verbruik_bf_kwh;elec_verbruik_gi_kwh;elec_verbruik_hj_kwh;elec_verbruik_kl_kwh;elec_verbruik_mn_kwh;elec_verbruik_oq_kwh;elec_verbruik_ru_kwh;gas_verbruik_a_m3;gas_verbruik_bf_m3;gas_verbruik_gi_m3;gas_verbruik_hj_m3;gas_verbruik_kl_m3;gas_verbruik_mn_m3;gas_verbruik_oq_m3;gas_verbruik_ru_m3;elec_verbruik_totaal_kwh;gas_verbruik_totaal_m3;elec_eenheid;gas_eenheid;energie_bron;energie_bron_url;elec_bijgeschat_kwh;gas_bijgeschat_m3;bijschatting_niveaus;elec_bijgeschat_aandeel;gas_bijgeschat_aandeel;pv_potentie_bron;pv_potentie_bron_url;wind_potentie_bron;wind_potentie_bron_url;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0014;Groningen;53.21859224655741;6.620634737666935;4203.64;1557.35;3893.38;38933.83;42.86;5803.85;1612.31;Kansrijk;60.0;4010.73;2.0;170.15;4180.88;1161.36;5600.0;Groningen;PV20;Groningen;ES01;5033000.0;240602822.19730914;126964413.15136477;1194028666.6666665;19697451.724137932;28061000.0;212734511.61825725;22641000.0;636062.9370629371;70982282.62017961;9769413.151364764;2177000.0;2558451.724137931;3092000.0;22731000.0;3399000.0;1849762865.3577356;115345210.43274523;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;1356381865.3577356;1210.4327452414516;res+thema;0.7333;0.0;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;12853;765;3784;21179;178;1333;11317;411;13.572501546346205;86.13138686131387
GM0034;Almere;52.3671904175803;5.246623266292032;3476.64;492.86;1232.16;12321.57;25.83;3995.33;1109.9;Kansrijk;62.0;3930.29;286.0;24331.51;28261.8;7850.51;5600.0;Flevoland;PV24;Flevoland;ES06;8706000.0;93672794.39252336;122891000.47058824;107804000.0;20880433.333333332;23380041.706374217;64261587.638376385;14728000.0;6641818.505338078;555741.935483871;2371000.0;485000.0;604000.0;242573.24147933285;2543000.0;720000.0;456323857.5411955;14163133.682301283;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;6842857.541195533;6970133.682301282;res+thema;0.015;0.4921;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;18874;1441;2669;35044;117;2755;31661;629;-40.38722718802312;129.09379968203498
GM0037;Stadskanaal;53.00215290931226;7.010328236901861;1154.94;1299.98;3249.96;32499.61;0.0;2454.92;681.98;Kansrijk;60.0;3802.48;0.0;0.0;3802.48;1056.25;5600.0;Groningen;PV20;Groningen;ES01;3960000.0;17585065.504490227;13992058.726220015;3730000.0;2073062.0689655172;2093000.0;10722039.834024897;2309000.0;330047.55244755244;1711195.8043868146;1210058.7262200166;70000.0;185062.06896551725;410000.0;2225000.0;460000.0;56464226.133700654;6601364.152019901;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;226.1337006572022;10364.152019900768;res+thema;0.0;0.0016;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2445;107;1690;3605;74;157;2483;113;-1.5304067660088603;-5.3097345132743365
GM0047;Veendam;53.088984983649034;6.8800922455641285;1026.2;876.57;2191.42;21914.18;0.0;1902.77;528.59;Kansrijk;40.0;2524.33;0.0;0.0;2524.33;701.2;5600.0;Groningen;PV20;Groningen;ES01;3865000.0;129047498.89898595;11636045.905707195;3305000.0;1512044.8275862068;5123000.0;7301035.269709544;1158000.0;225023.77622377622;7686646.853290111;867139.6557071961;125091.54929577465;154044.8275862069;600000.0;1671000.0;789000.0;162947624.90198892;12117946.662103064;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;81073624.9019889;1690946.6621030648;res+thema;0.4975;0.1395;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1805;81;1128;2491;46;115;1543;73;16.979909267660403;10.95890410958904
GM0050;Zeewolde;52.34597320128452;5.451066350572162;1191.74;2895.62;7239.05;72390.53;10.78;4098.14;1138.46;Kansrijk;202.0;11699.25;21.0;1786.58;13485.83;3746.07;5600.0;Flevoland;PV24;Flevoland;ES06;20769000.0;89908387.8504673;39496121.4117647;15811000.0;5394075.0;1544452.8557650184;9737052.121771216;1610000.0;854000.0;1728138.2488479263;4316000.0;129000.0;181000.0;109060.5511240029;740000.0;187000.0;184270089.23976824;8244198.799971929;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;723089.2397682316;42198.79997192917;res+thema;0.0039;0.0051;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1902;224;1403;2438;157;293;1419;101;34.038054968287526;121.78217821782178
GM0059;Achtkarspelen;53.21666950468543;6.143134451680602;1168.75;1208.3;3020.74;30207.38;0.0;2377.05;660.34;Kansrijk;44.0;3104.64;0.0;0.0;3104.64;862.4;5600.0;Friesland;PV21;Friesland;ES02;4558000.0;72233419.73273169;9820000.0;3375033.5636722604;658000.0;537029.1867384529;4797000.0;1012166.6666666667;281000.0;8322924.504121321;965049.1283676703;117561.40350877192;134000.0;78000.0;841000.0;352000.0;96990649.14980906;11091535.035997763;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;23306649.14980907;524535.0359977636;res+thema;0.2403;0.0473;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2670;153;1887;3453;111;195;2490;145;7.228915662650603;5.517241379310345
GM0060;Ameland;53.45043338045272;5.749471349597497;218.93;316.25;790.62;7906.25;0.0;535.18;148.67;Kansrijk;23.0;1785.17;0.0;0.0;1785.17;495.88;5600.0;Friesland;PV21;Friesland;ES02;643000.0;3527756.4171225484;6621784.88372093;1096006.9101678184;209000.0;222006.51742703316;864000.0;677000.0;52000.0;124661.76418294368;2972014.8969889064;26350.877192982458;47076.92307692308;49000.0;206000.0;94000.0;13860554.728438329;3571104.4614417558;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;6366554.72843833;122104.46144175572;res+thema;0.4593;0.0342;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;386;39;267;506;21;56;415;38;-6.9879518072289155;2.6315789473684212
GM0072;Harlingen;53.17536778458424;5.451738312014937;475.25;269.82;674.54;6745.38;0.0;745.07;206.98;Kansrijk;10.0;776.16;0.0;0.0;776.16;215.6;5600.0;Friesland;PV21;Friesland;ES02;1839375.0;32879133.369037252;7846000.0;4673043.435340572;485000.0;1431022.1025786342;5360000.0;991000.0;45000.0;1898841.1737513072;791024.7226624405;254491.22807017545;63000.0;120000.0;594000.0;208909.73451327434;55504573.90695646;3975266.8589971974;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;12794573.906956458;329266.85899719753;res+thema;0.2305;0.0828;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1104;97;576;1653;52;140;969;79;13.93188854489164;22.78481012658228
GM0074;Heerenveen;52.99599108771703;5.978001741411025;2031.38;2150.6;5376.5;53765.0;0.06;4182.04;1161.77;Kansrijk;117.0;8220.24;0.0;0.0;8220.24;2283.4;5600.0;Friesland;PV21;Friesland;ES02;8736000.0;166852942.47093838;36013000.0;22851090.81934847;4555288.461538462;22355100.02833664;23739000.0;13607000.0;506000.0;23402248.03248721;2632074.8019017433;503000.0;267732.6732673268;683000.0;2640000.0;2167000.0;298709421.780162;32801055.50765628;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;166590421.78016195;754055.5076562787;res+thema;0.5577;0.023;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;4149;441;3657;4611;364;512;3280;311;26.49390243902439;41.80064308681672
GM0080;Leeuwarden;53.17002142767739;5.797916549181806;3386.39;2858.5;7146.26;71462.61;29.45;6274.34;1743.01;Kansrijk;88.0;6209.28;0.0;0.0;6209.28;1724.8;5600.0;Friesland;PV21;Friesland;ES02;12121000.0;115047413.39812565;66081000.0;29811239.881539978;18822000.0;12483217.625389628;67888000.0;14416000.0;404000.0;33034200.97188476;5572186.687797148;1518000.0;2141000.0;1591000.0;10323000.0;1770792.9203539824;336669870.9050553;56354180.58003589;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;870.9050552598624;737180.580035892;res+thema;0.0;0.0131;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;6581;491;4298;8702;327;651;6306;417;4.36092610212496;17.74580335731415
