P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
6.735576;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56610112827243;6.421042619039239;MULTIPOLYGON (((6.41339 53.561674, 6.413605 53.570657, 6.428697 53.570528, 6.428478 53.561545, 6.41339 53.561674)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.392552;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56597092822517;6.4361326480508945;MULTIPOLYGON (((6.428478 53.561545, 6.428697 53.570528, 6.443789 53.570397, 6.443567 53.561414, 6.428478 53.561545)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.135901;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56583884215572;6.4512225712628055;MULTIPOLYGON (((6.443567 53.561414, 6.443789 53.570397, 6.45888 53.570264, 6.458655 53.561281, 6.443567 53.561414)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.451446;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56570487009131;6.4663123871545505;MULTIPOLYGON (((6.458655 53.561281, 6.45888 53.570264, 6.473971 53.570129, 6.473743 53.561146, 6.458655 53.561281)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.860371;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.547325553287706;6.511109141238838;MULTIPOLYGON (((6.50345 53.542904, 6.503685 53.551887, 6.518769 53.551747, 6.518532 53.542764, 6.50345 53.542904)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.047495;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.547184113019554;6.526192181631841;MULTIPOLYGON (((6.518532 53.542764, 6.518769 53.551747, 6.533854 53.551604, 6.533613 53.542621, 6.518532 53.542764)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.697845;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54704078790393;6.5412751072664745;MULTIPOLYGON (((6.533613 53.542621, 6.533854 53.551604, 6.548938 53.55146, 6.548695 53.542477, 6.533613 53.542621)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.164487;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.546895577970396;6.556357916624924;MULTIPOLYGON (((6.548695 53.542477, 6.548938 53.55146, 6.564023 53.551314, 6.563776 53.542331, 6.548695 53.542477)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.539039;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54674848324877;6.571440608189443;MULTIPOLYGON (((6.563776 53.542331, 6.564023 53.551314, 6.579107 53.551166, 6.578857 53.542183, 6.563776 53.542331)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
11.680899;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54659950376938;6.5865231804423745;MULTIPOLYGON (((6.578857 53.542183, 6.579107 53.551166, 6.594191 53.551016, 6.593938 53.542033, 6.578857 53.542183)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
