DN;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.51133469508601;6.762428425063226;MULTIPOLYGON (((6.758866 53.513695, 6.766389 53.513458, 6.76599 53.508974, 6.758469 53.509211, 6.758866 53.513695)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.507826175288116;6.766745642123398;MULTIPOLYGON (((6.766389 53.513458, 6.77015 53.513339, 6.769951 53.511097, 6.773712 53.510978, 6.773113 53.504253, 6.769353 53.504372, 6.758071 53.504727, 6.758469 53.509211, 6.76223 53.509093, 6.76599 53.508974, 6.766389 53.513458)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.49973197806633;6.7840230912562145;MULTIPOLYGON (((6.773512 53.508737, 6.781034 53.508499, 6.780634 53.504015, 6.788155 53.503776, 6.787755 53.499292, 6.802794 53.498814, 6.802392 53.49433, 6.772316 53.495285, 6.773512 53.508737)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.50106117796385;6.791054717901365;MULTIPOLYGON (((6.788155 53.503776, 6.791915 53.503657, 6.791715 53.501415, 6.795475 53.501295, 6.795274 53.499054, 6.787755 53.499292, 6.788155 53.503776)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.475322603118705;6.831322287968144;MULTIPOLYGON (((6.802392 53.49433, 6.81367 53.493971, 6.813469 53.491729, 6.817228 53.491608, 6.817026 53.489367, 6.820785 53.489246, 6.820584 53.487005, 6.824342 53.486884, 6.82414 53.484642, 6.827899 53.484522, 6.827697 53.48228, 6.831455 53.482159, 6.831253 53.479918, 6.835011 53.479797, 6.834808 53.477555, 6.838566 53.477434, 6.838363 53.475192, 6.842121 53.475071, 6.841918 53.47283, 6.845675 53.472709, 6.845472 53.470467, 6.84923 53.470346, 6.849026 53.468104, 6.852783 53.467983, 6.85258 53.465741, 6.860093 53.465498, 6.859279 53.456531, 6.844255 53.457016, 6.845067 53.465983, 6.830039 53.466467, 6.830848 53.475434, 6.815817 53.475916, 6.816623 53.484883, 6.801589 53.485363, 6.802392 53.49433)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.45876620851577;6.8762697175444725;MULTIPOLYGON (((6.860093 53.465498, 6.86385 53.465376, 6.863646 53.463135, 6.867402 53.463013, 6.867198 53.460771, 6.897247 53.459793, 6.896836 53.45531, 6.859279 53.456531, 6.860093 53.465498)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.457428986527866;6.900797096815282;MULTIPOLYGON (((6.897247 53.459793, 6.904759 53.459548, 6.904347 53.455064, 6.896836 53.45531, 6.897247 53.459793)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
223;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.453435999008306;6.885363892548297;MULTIPOLYGON (((6.86679 53.456288, 6.904347 53.455064, 6.903935 53.450581, 6.866382 53.451804, 6.86679 53.456288)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.45004136572193;6.910611056164627;MULTIPOLYGON (((6.904347 53.455064, 6.915613 53.454695, 6.9152 53.450212, 6.918955 53.450089, 6.918542 53.445606, 6.903523 53.446098, 6.904347 53.455064)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
232;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.48001499027907;5.522150546132517;MULTIPOLYGON (((5.505608 53.492625, 5.554539 53.491588, 5.554404 53.489344, 5.558167 53.489263, 5.558032 53.487019, 5.561795 53.486938, 5.561525 53.482449, 5.565287 53.482368, 5.565016 53.477879, 5.572541 53.477717, 5.57227 53.473228, 5.568508 53.473309, 5.564745 53.47339, 5.564475 53.468901, 5.549428 53.469223, 5.549697 53.473712, 5.534648 53.474033, 5.53438 53.469543, 5.474188 53.470806, 5.47445 53.475295, 5.470687 53.475373, 5.471209 53.484352, 5.497552 53.483804, 5.501316 53.483725, 5.501712 53.490459, 5.505476 53.49038, 5.505608 53.492625)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56090452790617;6.646835206954595;MULTIPOLYGON (((6.628047 53.571698, 6.639348 53.571354, 6.639155 53.569112, 6.642922 53.568997, 6.642729 53.566755, 6.650262 53.566525, 6.649875 53.56204, 6.657407 53.56181, 6.65702 53.557325, 6.672082 53.556863, 6.671693 53.552379, 6.641571 53.553301, 6.642343 53.56227, 6.627278 53.562729, 6.628047 53.571698)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
232;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.466170454908024;5.922623016562917;MULTIPOLYGON (((5.922676 53.474154, 5.926437 53.474062, 5.926283 53.471818, 5.930044 53.471726, 5.929734 53.467238, 5.933495 53.467146, 5.93334 53.464902, 5.92958 53.464994, 5.929425 53.46275, 5.925665 53.462843, 5.925511 53.460599, 5.914231 53.460875, 5.914385 53.463119, 5.910625 53.46321, 5.910778 53.465454, 5.914539 53.465363, 5.914693 53.467607, 5.918453 53.467515, 5.918607 53.469759, 5.922368 53.469667, 5.922676 53.474154)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.43563218510551;6.923270526586506;MULTIPOLYGON (((6.918542 53.445606, 6.922297 53.445482, 6.921883 53.440999, 6.925637 53.440875, 6.925223 53.436392, 6.928977 53.436269, 6.928356 53.429544, 6.932109 53.42942, 6.931902 53.427179, 6.924396 53.427426, 6.924809 53.431909, 6.917303 53.432156, 6.918542 53.445606)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.429791080674875;6.920849435333256;MULTIPOLYGON (((6.917303 53.432156, 6.924809 53.431909, 6.924396 53.427426, 6.91689 53.427673, 6.917303 53.432156)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
223;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.42506090545454;6.927941805660626;MULTIPOLYGON (((6.924396 53.427426, 6.931902 53.427179, 6.931487 53.422696, 6.923982 53.422943, 6.924396 53.427426)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
222;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.45469355199775;5.699171568937109;MULTIPOLYGON (((5.691794 53.457108, 5.706834 53.456768, 5.706549 53.452279, 5.691509 53.452619, 5.691794 53.457108)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
222;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.44994930910772;5.710165585806412;MULTIPOLYGON (((5.706549 53.452279, 5.714068 53.452108, 5.713782 53.44762, 5.706263 53.44779, 5.706549 53.452279)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
223;BU19661201;GM1966;BU19661201;GM1966;BU19661201;GM1966;False;False;53.42329784942009;6.7019465615905816;MULTIPOLYGON (((6.698388 53.425656, 6.705895 53.425423, 6.705505 53.420939, 6.697998 53.421172, 6.698388 53.425656)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.55909779525174;6.66031924175184;MULTIPOLYGON (((6.657407 53.56181, 6.661173 53.561694, 6.660979 53.559452, 6.664745 53.559337, 6.664551 53.557095, 6.65702 53.557325, 6.657407 53.56181)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.4088882716957;6.935856164206222;MULTIPOLYGON (((6.931487 53.422696, 6.93524 53.422572, 6.934825 53.418089, 6.938577 53.417965, 6.938163 53.413482, 6.941914 53.413358, 6.941084 53.404392, 6.944835 53.404268, 6.944419 53.399785, 6.929417 53.40028, 6.931487 53.422696)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
222;BU00600002;GM0060;BU00600002;GM0060;BU00600002;GM0060;False;False;53.44597064944295;5.687324102011973;MULTIPOLYGON (((5.683706 53.4483, 5.691225 53.44813, 5.690941 53.443642, 5.683423 53.443811, 5.683706 53.4483)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
222;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.44040195833889;5.727571776596087;MULTIPOLYGON (((5.721014 53.44296, 5.73229 53.442702, 5.732146 53.440458, 5.735905 53.440372, 5.735761 53.438127, 5.720727 53.438471, 5.721014 53.44296)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.44153696764945;5.734097640719271;MULTIPOLYGON (((5.73229 53.442702, 5.736049 53.442616, 5.735905 53.440372, 5.732146 53.440458, 5.73229 53.442702)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.43615666283524;5.74002501080327;MULTIPOLYGON (((5.735761 53.438127, 5.743277 53.437955, 5.742988 53.433466, 5.73923 53.433553, 5.739375 53.435797, 5.735616 53.435883, 5.735761 53.438127)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
222;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.43471797934955;5.737423245033176;MULTIPOLYGON (((5.735616 53.435883, 5.739375 53.435797, 5.73923 53.433553, 5.735472 53.433639, 5.735616 53.435883)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
223;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.397667104340904;6.94046157171623;MULTIPOLYGON (((6.936919 53.400033, 6.944419 53.399785, 6.944004 53.395302, 6.936504 53.395549, 6.936919 53.400033)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
233;BU19790739;GM1979;BU19790739;GM1979;BU19790739;GM1979;False;False;53.39660866167692;6.835038703419787;MULTIPOLYGON (((6.83149 53.398971, 6.838991 53.39873, 6.838587 53.394246, 6.831086 53.394487, 6.83149 53.398971)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.386694074578934;6.949318618117886;MULTIPOLYGON (((6.944004 53.395302, 6.947754 53.395177, 6.947339 53.390694, 6.954838 53.390446, 6.954422 53.385963, 6.958171 53.385838, 6.957755 53.381355, 6.942759 53.381852, 6.944004 53.395302)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
232;BU19660401;GM1966;BU19660401;GM1966;BU19660401;GM1966;False;False;53.40584365740516;6.459658292487499;MULTIPOLYGON (((6.452334 53.408304, 6.467347 53.407868, 6.466982 53.403383, 6.45197 53.403818, 6.452334 53.408304)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
231;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.541460971189046;6.69134091482857;MULTIPOLYGON (((6.671693 53.552379, 6.682989 53.552031, 6.682794 53.549789, 6.686558 53.549673, 6.686363 53.547431, 6.693892 53.547198, 6.693501 53.542714, 6.704794 53.542364, 6.704598 53.540122, 6.708362 53.540005, 6.708166 53.537763, 6.715693 53.537529, 6.7153 53.533045, 6.685193 53.533978, 6.685973 53.542946, 6.670916 53.54341, 6.671693 53.552379)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
233;BU19790739;GM1979;BU19790739;GM1979;BU19790739;GM1979;False;False;53.39152033759646;6.853386054308025;MULTIPOLYGON (((6.846088 53.394004, 6.86109 53.393519, 6.860683 53.389036, 6.845683 53.389521, 6.846088 53.394004)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
233;BU19790739;GM1979;BU19790739;GM1979;BU19790739;GM1979;False;False;53.38606333642469;6.882977594860438;MULTIPOLYGON (((6.868183 53.388793, 6.898181 53.387815, 6.89777 53.383332, 6.867776 53.384309, 6.868183 53.388793)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
223;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.37782677806555;6.951160124587984;MULTIPOLYGON (((6.942759 53.381852, 6.957755 53.381355, 6.956922 53.372389, 6.949426 53.372638, 6.949841 53.377121, 6.942344 53.377369, 6.942759 53.381852)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
221;BU19799998;GM1979;BU19799998;GM1979;BU19799998;GM1979;False;False;53.370255349323315;6.962704695309098;MULTIPOLYGON (((6.957755 53.381355, 6.961503 53.381231, 6.961295 53.378989, 6.965043 53.378865, 6.964418 53.37214, 6.968166 53.372015, 6.967957 53.369774, 6.971705 53.369649, 6.971078 53.362925, 6.95609 53.363423, 6.957755 53.381355)));WarmteAtlas:AardwarmteRotliegend;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:33;
