DN;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
221;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.510449914282034;6.105001602261832;MULTIPOLYGON (((6.114815 53.52549, 6.126109 53.525195, 6.125613 53.518464, 6.129378 53.518366, 6.12822 53.502662, 6.124457 53.50276, 6.124292 53.500517, 6.120529 53.500615, 6.120199 53.496128, 6.116437 53.496226, 6.116107 53.491739, 6.112345 53.491838, 6.112181 53.489594, 6.108419 53.489692, 6.108912 53.496423, 6.112674 53.496325, 6.113991 53.514273, 6.106463 53.514469, 6.105806 53.505495, 6.102043 53.505592, 6.0757 53.506274, 6.07505 53.4973, 6.071287 53.497396, 6.07145 53.49964, 6.067687 53.499737, 6.068336 53.508711, 6.072099 53.508614, 6.072262 53.510858, 6.076025 53.510761, 6.076188 53.513005, 6.079952 53.512908, 6.083716 53.51281, 6.083879 53.515054, 6.087643 53.514957, 6.091407 53.514859, 6.091571 53.517103, 6.095335 53.517005, 6.095499 53.519249, 6.099263 53.519151, 6.103027 53.519053, 6.103191 53.521297, 6.106956 53.521199, 6.10712 53.523443, 6.110885 53.523345, 6.11465 53.523246, 6.114815 53.52549)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.48861928810996;6.106456304556017;MULTIPOLYGON (((6.104657 53.48979, 6.108419 53.489692, 6.108255 53.487449, 6.104493 53.487546, 6.104657 53.48979)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
222;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.494786845974026;6.0923011583960305;MULTIPOLYGON (((6.106463 53.514469, 6.113991 53.514273, 6.112674 53.496325, 6.108912 53.496423, 6.108419 53.489692, 6.104657 53.48979, 6.104329 53.485303, 6.100568 53.485401, 6.100404 53.483157, 6.096643 53.483255, 6.096479 53.481011, 6.092718 53.481109, 6.092555 53.478865, 6.088794 53.478963, 6.088631 53.476719, 6.08487 53.476816, 6.084707 53.474573, 6.080947 53.47467, 6.081272 53.479157, 6.077511 53.479254, 6.077999 53.485985, 6.074238 53.486082, 6.074562 53.490569, 6.0708 53.490666, 6.071287 53.497396, 6.07505 53.4973, 6.0757 53.506274, 6.102043 53.505592, 6.105806 53.505495, 6.106463 53.514469)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
131;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.46834646305107;6.503140478683888;MULTIPOLYGON (((6.503464 53.480999, 6.507223 53.480888, 6.507038 53.478646, 6.514556 53.478425, 6.514371 53.476182, 6.51813 53.476071, 6.517573 53.469343, 6.521331 53.469233, 6.520774 53.462505, 6.517016 53.462616, 6.51683 53.460373, 6.513073 53.460484, 6.512887 53.458241, 6.501615 53.458573, 6.5018 53.460815, 6.483011 53.461365, 6.483378 53.46585, 6.47962 53.46596, 6.479804 53.468203, 6.483562 53.468093, 6.487321 53.467983, 6.487689 53.472469, 6.491448 53.472359, 6.491632 53.474601, 6.495391 53.474491, 6.495575 53.476734, 6.499335 53.476624, 6.499519 53.478866, 6.503279 53.478756, 6.503464 53.480999)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
122;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.480894320293096;6.0674687084927434;MULTIPOLYGON (((6.059999 53.497686, 6.071287 53.497396, 6.0708 53.490666, 6.074562 53.490569, 6.074238 53.486082, 6.077999 53.485985, 6.077511 53.479254, 6.081272 53.479157, 6.080784 53.472426, 6.077024 53.472523, 6.076861 53.47028, 6.073101 53.470377, 6.069341 53.470473, 6.069179 53.46823, 6.065419 53.468326, 6.065257 53.466083, 6.061497 53.466179, 6.061336 53.463936, 6.057576 53.464032, 6.059999 53.497686)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.437042956483445;6.430195857702367;MULTIPOLYGON (((6.424652 53.438326, 6.43592 53.438002, 6.435739 53.435759, 6.424472 53.436083, 6.424652 53.438326)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.43501588885964;6.422503529963963;MULTIPOLYGON (((6.420716 53.436191, 6.424472 53.436083, 6.424291 53.433841, 6.420535 53.433948, 6.420716 53.436191)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.43288074423387;6.418567517925322;MULTIPOLYGON (((6.41678 53.434056, 6.420535 53.433948, 6.420355 53.431705, 6.4166 53.431813, 6.41678 53.434056)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.430069484511826;6.4120683242485095;MULTIPOLYGON (((6.409089 53.432028, 6.4166 53.431813, 6.41642 53.42957, 6.412664 53.429678, 6.412484 53.427435, 6.408729 53.427542, 6.409089 53.432028)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
131;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54601864639088;6.6956769341650455;MULTIPOLYGON (((6.693892 53.547198, 6.697657 53.547081, 6.697461 53.544839, 6.693697 53.544956, 6.693892 53.547198)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
