DN;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
111;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.60479758548283;6.428295748326444;MULTIPOLYGON (((6.42318 53.606967, 6.445806 53.606317, 6.445623 53.604074, 6.441852 53.604183, 6.426769 53.604617, 6.426588 53.602374, 6.411505 53.602805, 6.411686 53.605048, 6.419228 53.604833, 6.422999 53.604725, 6.42318 53.606967)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.51248404350141;5.776372695900997;MULTIPOLYGON (((5.770799 53.513737, 5.782094 53.513475, 5.781946 53.511231, 5.770652 53.511493, 5.770799 53.513737)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.55311123392311;6.251171701019749;MULTIPOLYGON (((6.265777 53.575406, 6.273314 53.5752, 6.272967 53.570714, 6.276736 53.57061, 6.276215 53.563881, 6.279983 53.563778, 6.277726 53.534617, 6.273961 53.53472, 6.26643 53.534927, 6.266257 53.532683, 6.262492 53.532786, 6.262665 53.535029, 6.255135 53.535235, 6.255307 53.537478, 6.240245 53.537888, 6.240416 53.540131, 6.232885 53.540335, 6.233056 53.542578, 6.225524 53.542782, 6.225694 53.545025, 6.218162 53.545228, 6.218332 53.547471, 6.210799 53.547674, 6.210969 53.549917, 6.207202 53.550019, 6.207372 53.552262, 6.203605 53.552363, 6.203775 53.554606, 6.207542 53.554505, 6.211309 53.554404, 6.211479 53.556647, 6.215247 53.556546, 6.215417 53.558789, 6.219184 53.558688, 6.222952 53.558586, 6.223123 53.560829, 6.22689 53.560728, 6.227061 53.562971, 6.230829 53.562869, 6.234597 53.562767, 6.234768 53.56501, 6.238536 53.564908, 6.242304 53.564806, 6.242476 53.567049, 6.246244 53.566947, 6.246416 53.56919, 6.250184 53.569088, 6.253953 53.568985, 6.254125 53.571228, 6.257894 53.571126, 6.261662 53.571023, 6.261835 53.573266, 6.265603 53.573163, 6.265777 53.575406)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.80230221792335;4.597877673311526;MULTIPOLYGON (((4.594609 52.811631, 4.598316 52.811581, 4.598233 52.809335, 4.60194 52.809285, 4.601775 52.804793, 4.605481 52.804743, 4.605233 52.798004, 4.601527 52.798054, 4.601445 52.795808, 4.590328 52.795957, 4.590574 52.802696, 4.59428 52.802646, 4.594609 52.811631)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
231;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.53267419358819;4.531042528149459;MULTIPOLYGON (((4.52924 52.533821, 4.532923 52.533774, 4.532845 52.531527, 4.529162 52.531575, 4.52924 52.533821)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
231;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.35955229441245;4.434327414541964;MULTIPOLYGON (((4.427853 52.362039, 4.438861 52.361905, 4.438788 52.359659, 4.442458 52.359614, 4.442384 52.357367, 4.427708 52.357546, 4.427853 52.362039)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
231;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.282570603757186;4.401476821242151;MULTIPOLYGON (((4.399681 52.283716, 4.403344 52.283672, 4.403273 52.281426, 4.39961 52.281469, 4.399681 52.283716)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
231;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.28348120733289;4.37868116559559;MULTIPOLYGON (((4.374247 52.290757, 4.388902 52.290585, 4.388832 52.288339, 4.399822 52.288209, 4.399681 52.283716, 4.396018 52.283759, 4.381365 52.283931, 4.381295 52.281685, 4.377632 52.281728, 4.377493 52.277234, 4.37383 52.277277, 4.373761 52.27503, 4.370098 52.275073, 4.370029 52.272826, 4.362704 52.272911, 4.362842 52.277404, 4.366505 52.277362, 4.366712 52.284102, 4.370376 52.28406, 4.370514 52.288553, 4.374178 52.28851, 4.374247 52.290757)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
121;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.262785813711254;4.386417020307329;MULTIPOLYGON (((4.377144 52.266001, 4.399114 52.265743, 4.398973 52.261249, 4.395312 52.261293, 4.39165 52.261336, 4.39158 52.259089, 4.376935 52.259261, 4.377005 52.261508, 4.373344 52.261551, 4.373413 52.263797, 4.377075 52.263755, 4.377144 52.266001)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.260405918837264;4.375139666749365;MULTIPOLYGON (((4.373344 52.261551, 4.377005 52.261508, 4.376935 52.259261, 4.373274 52.259304, 4.373344 52.261551)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.22492139492515;4.333786691069909;MULTIPOLYGON (((4.331991 52.226065, 4.33565 52.226024, 4.335582 52.223777, 4.331924 52.223819, 4.331991 52.226065)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.22030341325368;4.344625974214593;MULTIPOLYGON (((4.342831 52.221448, 4.346489 52.221406, 4.346421 52.219159, 4.342763 52.219201, 4.342831 52.221448)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.22056625657937;4.354391952455657;MULTIPOLYGON (((4.350283 52.225857, 4.3576 52.225773, 4.357532 52.223527, 4.36119 52.223485, 4.361052 52.218991, 4.357395 52.219033, 4.357258 52.21454, 4.3536 52.214582, 4.353668 52.216829, 4.346353 52.216913, 4.346421 52.219159, 4.350079 52.219117, 4.350283 52.225857)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
231;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.20562125802826;4.317966592755771;MULTIPOLYGON (((4.309577 52.210584, 4.324206 52.210421, 4.324072 52.205927, 4.327729 52.205886, 4.327595 52.201393, 4.323939 52.201434, 4.316626 52.201516, 4.316559 52.199269, 4.312903 52.19931, 4.313036 52.203803, 4.309379 52.203844, 4.309577 52.210584)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.1934675693767;4.3328445406449925;MULTIPOLYGON (((4.33105 52.194612, 4.334706 52.19457, 4.334639 52.192324, 4.330983 52.192365, 4.33105 52.194612)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
221;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.15540166341959;4.251625443772594;MULTIPOLYGON (((4.242366 52.161867, 4.249673 52.16179, 4.24961 52.159543, 4.253263 52.159505, 4.2532 52.157258, 4.256853 52.157219, 4.256663 52.150479, 4.260315 52.15044, 4.260252 52.148193, 4.252948 52.148271, 4.253074 52.152764, 4.249421 52.152803, 4.249484 52.15505, 4.245831 52.155088, 4.245957 52.159582, 4.242304 52.159621, 4.242366 52.161867)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
131;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.06396942578223;4.1053378795093085;MULTIPOLYGON (((4.104795 52.066597, 4.108441 52.066562, 4.108329 52.062068, 4.104684 52.062103, 4.101039 52.062137, 4.101094 52.064384, 4.10474 52.06435, 4.104795 52.066597)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
232;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.04555496100201;4.122116448075755;MULTIPOLYGON (((4.115508 52.057506, 4.119153 52.057471, 4.119097 52.055224, 4.130031 52.05512, 4.129521 52.034897, 4.125878 52.034932, 4.114948 52.035036, 4.11534 52.050765, 4.111696 52.050799, 4.111752 52.053046, 4.115396 52.053012, 4.115508 52.057506)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
223;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.02259142599629;4.123746308200327;MULTIPOLYGON (((4.121953 52.023732, 4.125596 52.023698, 4.125539 52.021451, 4.121897 52.021485, 4.121953 52.023732)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
223;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;52.020309660245324;4.127331913633732;MULTIPOLYGON (((4.125539 52.021451, 4.129181 52.021416, 4.129125 52.019169, 4.125483 52.019204, 4.125539 52.021451)));WarmteAtlas:AardwarmteTrias;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:36;
