PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;onbekend;0;0;;Effluentleiding;20000;21000;3041.597255;418.0;418.0;Waterschap Aa en Maas;152570.0;117751.0;Cuijk;Noord-oost Brabant;1270;2480;508;992;Noord-Brabant;Waterschap Aa en Maas;BU19821203;GM1982;5435.0;5435XT;BU19821203;GM1982;5435.0;5435XT;BU19821203;GM1982;5435.0;5435XT;False;False;False;51.707471404937664;5.897037259520188;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
10;3;0;0;;Effluentleiding;1902;1777;7.500044;39.7518;39.7518;Waterschap Brabantse Delta;14509.4;11198.1;Baarle-Nassau;West-Brabant;108;222;43;89;Noord-Brabant;Waterschap Brabantse Delta;BU07440107;GM0744;5111.0;5111TA;BU07440107;GM0744;5111.0;5111TA;BU07440107;GM0744;5111.0;5111TA;False;False;False;51.44881760153641;4.899261066536255;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
11;1;0;0;;Effluentleiding;7672;8589;268.940791;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;BU08670010;GM0867;5145.0;5145PJ;BU08670010;GM0867;5145.0;5145PJ;BU08670010;GM0867;5145.0;5145PJ;False;False;False;51.71394691245385;5.068929316398369;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
12;1;0;0;;Effluentleiding;7672;8589;71.312526;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;BU08670011;GM0867;5145.0;5145PX;BU08670011;GM0867;5145.0;5145PP;BU08670011;GM0867;5145.0;5145PP;False;False;False;51.71231971541466;5.071749966758476;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
13;0;0;0;;Effluentleiding;1544;1684;148.967281;32.2696;32.2696;Waterschap Brabantse Delta;11778.4;9090.35;Waalwijk;Hart van Brabant;102;195;41;78;Noord-Brabant;Waterschap Brabantse Delta;BU08670202;GM0867;5165.0;5165NM;BU08670202;GM0867;5165.0;5165NM;BU08670202;GM0867;5165.0;5165NM;False;False;False;51.70573053998097;4.942458603655284;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
14;0;0;0;;Effluentleiding;1544;1684;76.688505;32.2696;32.2696;Waterschap Brabantse Delta;11778.4;9090.35;Waalwijk;Hart van Brabant;102;195;41;78;Noord-Brabant;Waterschap Brabantse Delta;BU08670202;GM0867;5165.0;5165NM;BU08670202;GM0867;5165.0;5165NM;BU08670202;GM0867;5165.0;5165NM;False;False;False;51.70597297475656;4.942104635371569;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
15;1;0;0;;Effluentleiding;7672;8589;104.269525;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;BU08670010;GM0867;5145.0;5145PJ;BU08670010;GM0867;5145.0;5145PJ;BU08670010;GM0867;5145.0;5145PJ;False;False;False;51.712965990432394;5.071040156920384;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
16;3;0;0;;Effluentleiding;15900;16100;172.000053;332.31;332.31;Waterschap Brabantse Delta;121293.0;93611.7;Oosterhout;West-Brabant;974;1935;390;774;Noord-Brabant;Waterschap Brabantse Delta;BU08261000;GM0826;4905.0;4905BP;BU08261000;GM0826;4905.0;4905BP;BU08261000;GM0826;4905.0;4905BP;False;False;False;51.675047359487486;4.848734981351056;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
17;3;0;0;;Effluentleiding;699;925;50.62669;14.6091;14.6091;Waterschap Brabantse Delta;5332.32;4115.38;Woensdrecht;West-Brabant;56;98;22;39;Noord-Brabant;Waterschap Brabantse Delta;BU08730208;GM0873;4641.0;4641JM;BU08730208;GM0873;4641.0;4641JM;BU08730208;GM0873;4641.0;4641JM;False;False;False;51.389979062853556;4.3207038878251005;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
18;3;0;0;;Effluentleiding;7240;8325;435.990544;151.316;151.316;Waterschap Brabantse Delta;55230.3;42625.7;Gilze en Rijen;Hart van Brabant;504;941;201;376;Noord-Brabant;Waterschap Brabantse Delta;BU07840113;GM0784;5121.0;5121PA;BU07840113;GM0784;5121.0;5121PA;BU07840113;GM0784;5121.0;5121PA;False;False;False;51.60502615665525;4.924862878261399;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
