PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
11;1;0;0;;Effluentleiding;7672;8589;268.940791;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71394691245385;5.068929316398369;WarmteAtlas:AquathermieEffluent;;;
12;1;0;0;;Effluentleiding;7672;8589;71.312526;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71231971541466;5.071749966758476;WarmteAtlas:AquathermieEffluent;;;
13;0;0;0;;Effluentleiding;1544;1684;148.967281;32.2696;32.2696;Waterschap Brabantse Delta;11778.4;9090.35;Waalwijk;Hart van Brabant;102;195;41;78;Noord-Brabant;Waterschap Brabantse Delta;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.70573053998097;4.942458603655284;WarmteAtlas:AquathermieEffluent;;;
14;0;0;0;;Effluentleiding;1544;1684;76.688505;32.2696;32.2696;Waterschap Brabantse Delta;11778.4;9090.35;Waalwijk;Hart van Brabant;102;195;41;78;Noord-Brabant;Waterschap Brabantse Delta;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.70597297475656;4.942104635371569;WarmteAtlas:AquathermieEffluent;;;
15;1;0;0;;Effluentleiding;7672;8589;104.269525;160.345;160.345;Waterschap Brabantse Delta;58525.9;45169.2;Waalwijk;Hart van Brabant;520;984;208;393;Noord-Brabant;Waterschap Brabantse Delta;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.712965990432394;5.071040156920384;WarmteAtlas:AquathermieEffluent;;;
115;overig;1990;406;Staal;Effluentleiding;2220;2220;17.999702;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.814970126976895;5.232020042446788;WarmteAtlas:AquathermieEffluent;;;
116;overig;1990;400;PVC;Effluentleiding;2220;2220;811.994512;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.818214893568076;5.229522835728621;WarmteAtlas:AquathermieEffluent;;;
117;overig;1990;406;Staal;Effluentleiding;2220;2220;52.795097;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82061230194993;5.225601952830512;WarmteAtlas:AquathermieEffluent;;;
118;overig;1990;400;PVC;Effluentleiding;2220;2220;294.372642;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82184969225029;5.224246511585109;WarmteAtlas:AquathermieEffluent;;;
119;overig;1990;400;PVC;Effluentleiding;2220;2220;37.982476;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82292579982362;5.223239763132171;WarmteAtlas:AquathermieEffluent;;;
120;overig;1990;400;HDPE;Effluentleiding;2220;2220;23.167851;46.398;46.398;Waterschap Rivierenland;16935.3;13070.3;Neerijnen;Rivierenland (Fruitdelta);134;268;54;107;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82287842458988;5.2228907977754915;WarmteAtlas:AquathermieEffluent;;;
150;drukleiding (persleiding);1996;1048;Gietijzer;Effluentleiding;5900;5900;320.833452;123.31;123.31;Waterschap Rivierenland;45008.1;34736.4;Vianen;U10/U16;357;714;143;285;Utrecht;Waterschap Rivierenland;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;52.00046898441256;5.097554208319136;WarmteAtlas:AquathermieEffluent;;;
62;drukleiding (persleiding);1996;99999;Beton;Effluentleiding;1100;1100;44.977495;22.99;22.99;Waterschap Rivierenland;8391.35;6476.28;Lingewaal;Rivierenland (Fruitdelta);66;133;27;53;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88381680629684;5.110747650906851;WarmteAtlas:AquathermieEffluent;;;
63;overig;1976;99999;Asbestcement;Effluentleiding;1310;1310;15.68597;27.379;27.379;Waterschap Rivierenland;9993.33;7712.66;Geldermalsen;Rivierenland (Fruitdelta);79;158;32;63;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.89666686085901;5.16925537281452;WarmteAtlas:AquathermieEffluent;;;
64;overig;0;99999;"Beton; gewapend";Effluentleiding;5490;5490;16.445498;114.741;114.741;Waterschap Rivierenland;41880.5;32322.5;Geldermalsen;Rivierenland (Fruitdelta);332;664;133;266;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88756466373164;5.276046055976002;WarmteAtlas:AquathermieEffluent;;;
65;overig;1976;99999;Asbestcement;Effluentleiding;1310;1310;6.967796;27.379;27.379;Waterschap Rivierenland;9993.33;7712.66;Geldermalsen;Rivierenland (Fruitdelta);79;158;32;63;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.89675132242465;5.169346245384905;WarmteAtlas:AquathermieEffluent;;;
66;overig;1976;99999;Asbestcement;Effluentleiding;1310;1310;43.018977;27.379;27.379;Waterschap Rivierenland;9993.33;7712.66;Geldermalsen;Rivierenland (Fruitdelta);79;158;32;63;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.897060247841935;5.16943181211747;WarmteAtlas:AquathermieEffluent;;;
67;drukleiding (persleiding);0;99999;Asbestcement;Effluentleiding;5490;5490;77.103014;114.741;114.741;Waterschap Rivierenland;41880.5;32322.5;Geldermalsen;Rivierenland (Fruitdelta);332;664;133;266;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88705633956495;5.275601180999207;WarmteAtlas:AquathermieEffluent;;;
68;overig;0;600;GVK;Effluentleiding;5490;5490;97.598039;114.741;114.741;Waterschap Rivierenland;41880.5;32322.5;Geldermalsen;Rivierenland (Fruitdelta);332;664;133;266;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.886988655479314;5.2753114521874815;WarmteAtlas:AquathermieEffluent;;;
69;overig;0;700;GVK;Effluentleiding;5490;5490;39.337195;114.741;114.741;Waterschap Rivierenland;41880.5;32322.5;Geldermalsen;Rivierenland (Fruitdelta);332;664;133;266;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88743403373221;5.2757065054180625;WarmteAtlas:AquathermieEffluent;;;
70;overig;1976;99999;Asbestcement;Effluentleiding;1310;1310;11.270821;27.379;27.379;Waterschap Rivierenland;9993.33;7712.66;Geldermalsen;Rivierenland (Fruitdelta);79;158;32;63;Gelderland;Waterschap Rivierenland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.89682594843148;5.169400047641772;WarmteAtlas:AquathermieEffluent;;;
71;;2012;200;PE 100;Effluentleiding;1070;1070;17.104869;22.363;22.363;Waterschap Rivierenland;8162.5;6299.66;Overbetuwe;Arnhem/Nijmegen;65;130;26;52;Gelderland;Waterschap Rivierenland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.936172950716376;5.711151961232118;WarmteAtlas:AquathermieEffluent;;;
73;;2012;200;PE 100;Effluentleiding;1070;1070;60.774795;22.363;22.363;Waterschap Rivierenland;8162.5;6299.66;Overbetuwe;Arnhem/Nijmegen;65;130;26;52;Gelderland;Waterschap Rivierenland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.93811003720374;5.7111840751684815;WarmteAtlas:AquathermieEffluent;;;
74;overig;1985;99999;Asbestcement;Effluentleiding;1070;1070;290.987185;22.363;22.363;Waterschap Rivierenland;8162.5;6299.66;Overbetuwe;Arnhem/Nijmegen;65;130;26;52;Gelderland;Waterschap Rivierenland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.937379750573484;5.710986900760678;WarmteAtlas:AquathermieEffluent;;;
75;overig;1985;99999;Asbestcement;Effluentleiding;1070;1070;4.000251;22.363;22.363;Waterschap Rivierenland;8162.5;6299.66;Overbetuwe;Arnhem/Nijmegen;65;130;26;52;Gelderland;Waterschap Rivierenland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.936140698558866;5.7110858213590765;WarmteAtlas:AquathermieEffluent;;;
76;;2012;200;PE 100;Effluentleiding;1070;1070;208.849153;22.363;22.363;Waterschap Rivierenland;8162.5;6299.66;Overbetuwe;Arnhem/Nijmegen;65;130;26;52;Gelderland;Waterschap Rivierenland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.93717267398269;5.710947691478483;WarmteAtlas:AquathermieEffluent;;;
89;overig;1982;99999;"Beton; plaatstalen kern";Effluentleiding;3910;3910;9.900754;81.719;81.719;Waterschap Rivierenland;29827.4;23020.2;Neder-Betuwe;Rivierenland (Fruitdelta);236;473;95;189;Gelderland;Waterschap Rivierenland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.92575548541121;5.634292063151832;WarmteAtlas:AquathermieEffluent;;;
90;overig;1982;99999;"Beton; gewapend";Effluentleiding;3910;3910;482.963205;81.719;81.719;Waterschap Rivierenland;29827.4;23020.2;Neder-Betuwe;Rivierenland (Fruitdelta);236;473;95;189;Gelderland;Waterschap Rivierenland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.924101317429205;5.635303334930819;WarmteAtlas:AquathermieEffluent;;;
91;drukleiding (persleiding);2004;800;GVK;Effluentleiding;3910;3910;38.575777;81.719;81.719;Waterschap Rivierenland;29827.4;23020.2;Neder-Betuwe;Rivierenland (Fruitdelta);236;473;95;189;Gelderland;Waterschap Rivierenland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.92182821758971;5.635582367076038;WarmteAtlas:AquathermieEffluent;;;
92;overig;1982;99999;"Beton; gewapend";Effluentleiding;3910;3910;157.119791;81.719;81.719;Waterschap Rivierenland;29827.4;23020.2;Neder-Betuwe;Rivierenland (Fruitdelta);236;473;95;189;Gelderland;Waterschap Rivierenland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.92069377724578;5.635224342962987;WarmteAtlas:AquathermieEffluent;;;
93;overig;1982;99999;"Beton; plaatstalen kern";Effluentleiding;3910;3910;56.076189;81.719;81.719;Waterschap Rivierenland;29827.4;23020.2;Neder-Betuwe;Rivierenland (Fruitdelta);236;473;95;189;Gelderland;Waterschap Rivierenland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.921405142464316;5.635512176089586;WarmteAtlas:AquathermieEffluent;;;
151;drukleiding (persleiding);1960;99999;"Beton; plaatstalen kern";Effluentleiding;4580;4580;116.201139;95.722;95.722;Waterschap Rivierenland;34938.5;26964.9;Leerdam;U10/U16;277;554;111;222;Utrecht;Waterschap Rivierenland;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.888980715415315;5.088898614551969;WarmteAtlas:AquathermieEffluent;;;
152;drukleiding (persleiding);2010;315;PVC;Effluentleiding;8730;8730;309.321723;182.457;182.457;Waterschap Rivierenland;66596.8;51398.1;Werkendam;West-Brabant;528;1056;211;422;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.815553493290764;4.929843768033304;WarmteAtlas:AquathermieEffluent;;;
153;overig;1982;99999;"Beton; gewapend";Effluentleiding;8730;8730;802.363544;182.457;182.457;Waterschap Rivierenland;66596.8;51398.1;Werkendam;West-Brabant;528;1056;211;422;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.81870632675316;4.930506501062161;WarmteAtlas:AquathermieEffluent;;;
154;overig;1983;99999;"Beton; gewapend";Effluentleiding;1370;1370;288.600722;28.633;28.633;Waterschap Rivierenland;10451.0;8065.92;Werkendam;West-Brabant;83;166;33;66;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.73298975790003;4.9275342268930915;WarmteAtlas:AquathermieEffluent;;;
155;overig;1982;99999;"Beton; gewapend";Effluentleiding;8730;8730;2.642717;182.457;182.457;Waterschap Rivierenland;66596.8;51398.1;Werkendam;West-Brabant;528;1056;211;422;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.82211516574531;4.92988909873371;WarmteAtlas:AquathermieEffluent;;;
156;overig;1992;500;PVC;Effluentleiding;8730;8730;690.30508;182.457;182.457;Waterschap Rivierenland;66596.8;51398.1;Werkendam;West-Brabant;528;1056;211;422;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.8193196872353;4.929838201793418;WarmteAtlas:AquathermieEffluent;;;
157;overig;1972;99999;Asbestcement;Effluentleiding;1710;1710;264.978111;35.739;35.739;Waterschap Rivierenland;13044.7;10067.7;Aalburg;West-Brabant;104;207;41;83;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.75386577807971;5.120572626768205;WarmteAtlas:AquathermieEffluent;;;
158;overig;1977;315;PVC;Effluentleiding;670;670;29.083634;14.003;14.003;Waterschap Rivierenland;5111.1;3944.65;Aalburg;West-Brabant;40;81;16;32;Noord-Brabant;Waterschap Rivierenland;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.72457678181578;5.055108758998823;WarmteAtlas:AquathermieEffluent;;;
159;overig;0;738;Gietijzer;Effluentleiding;11090;11090;96.462949;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.84083546709429;4.930562162958355;WarmteAtlas:AquathermieEffluent;;;
160;overig;2002;738;Gietijzer;Effluentleiding;11090;11090;288.267905;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.84287530807329;4.935426556846281;WarmteAtlas:AquathermieEffluent;;;
161;overig;0;738;Gietijzer;Effluentleiding;11090;11090;351.401312;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.84221791363694;4.934633106407915;WarmteAtlas:AquathermieEffluent;;;
162;overig;1989;687;GVK;Effluentleiding;11090;11090;141.217648;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.84157779642664;4.933764879636419;WarmteAtlas:AquathermieEffluent;;;
163;overig;0;710;PE;Effluentleiding;11090;11090;119.949272;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.841107379897785;4.932056818788418;WarmteAtlas:AquathermieEffluent;;;
165;overig;1997;685;Staal;Effluentleiding;11090;11090;253.548323;231.781;231.781;Waterschap Rivierenland;84600.1;65292.7;Giessenlanden;Alblasserwaard;671;1341;268;536;Zuid-Holland;Waterschap Rivierenland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.840507186456286;4.931541022188608;WarmteAtlas:AquathermieEffluent;;;
184;drukleiding (persleiding);1989;610;Staal;Effluentleiding;6750;6750;92.618312;141.075;141.075;Waterschap Rivierenland;51492.4;39740.8;Molenwaard;Alblasserwaard;408;816;163;327;Zuid-Holland;Waterschap Rivierenland;;GM1978;2964.0;;;GM1978;2964.0;;;GM1978;2964.0;;False;False;False;51.94000170692474;4.8560573421946645;WarmteAtlas:AquathermieEffluent;;;
185;drukleiding (persleiding);1991;381;Staal;Effluentleiding;3348;3348;67.905525;69.9732;69.9732;Waterschap Rivierenland;25540.2;19711.4;Molenwaard;Alblasserwaard;202;405;81;162;Zuid-Holland;Waterschap Rivierenland;;GM1978;2957.0;;;GM1978;2957.0;;;GM1978;2957.0;;False;False;False;51.88813819233795;4.65732366416251;WarmteAtlas:AquathermieEffluent;;;
186;drukleiding (persleiding);1989;630;PVC;Effluentleiding;6750;6750;357.417636;141.075;141.075;Waterschap Rivierenland;51492.4;39740.8;Molenwaard;Alblasserwaard;408;816;163;327;Zuid-Holland;Waterschap Rivierenland;;GM1978;2964.0;;;GM1978;2964.0;;;GM1978;2964.0;;False;False;False;51.93705311674803;4.857100553716436;WarmteAtlas:AquathermieEffluent;;;
187;drukleiding (persleiding);1985;400;PVC;Effluentleiding;3348;3348;119.990523;69.9732;69.9732;Waterschap Rivierenland;25540.2;19711.4;Molenwaard;Alblasserwaard;202;405;81;162;Zuid-Holland;Waterschap Rivierenland;;GM1978;2957.0;;;GM1978;2957.0;;;GM1978;2957.0;;False;False;False;51.88721050935945;4.657964066635656;WarmteAtlas:AquathermieEffluent;;;
188;drukleiding (persleiding);1985;381;Staal;Effluentleiding;3348;3348;30.687911;69.9732;69.9732;Waterschap Rivierenland;25540.2;19711.4;Molenwaard;Alblasserwaard;202;405;81;162;Zuid-Holland;Waterschap Rivierenland;;GM1978;2957.0;;;GM1978;2957.0;;;GM1978;2957.0;;False;False;False;51.88770669850709;4.657336471536628;WarmteAtlas:AquathermieEffluent;;;
189;drukleiding (persleiding);1989;610;Staal;Effluentleiding;6750;6750;174.353522;141.075;141.075;Waterschap Rivierenland;51492.4;39740.8;Molenwaard;Alblasserwaard;408;816;163;327;Zuid-Holland;Waterschap Rivierenland;;GM1978;2964.0;;;GM1978;2964.0;;;GM1978;2964.0;;False;False;False;51.93895428808672;4.855932900274014;WarmteAtlas:AquathermieEffluent;;;
198;114;1983;0;;Effluentleiding;15120;15120;158.743564;316.008;316.008;Hoogheemraadschap De Stichtse Rijnlanden;115343.0;89019.5;Woerden;U10/U16;914;1829;366;732;Utrecht;Hoogheemraadschap De Stichtse Rijnlanden;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.0854230620888;4.8496880716049935;WarmteAtlas:AquathermieEffluent;;;
199;121;1988;0;;Effluentleiding;13320;13320;599.45479;278.388;278.388;Hoogheemraadschap De Stichtse Rijnlanden;101612.0;78421.9;Utrechtse Heuvelrug;U10/U16;806;1611;322;644;Utrecht;Hoogheemraadschap De Stichtse Rijnlanden;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.045068562508675;5.257757870463087;WarmteAtlas:AquathermieEffluent;;;
221;110;1972;700;;Onbekend;25200;25200;566.454073;526.68;526.68;Hoogheemraadschap De Stichtse Rijnlanden;192238.0;148366.0;IJsselstein;U10/U16;1524;3048;610;1219;Utrecht;Hoogheemraadschap De Stichtse Rijnlanden;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.002908185682976;5.0679618203994234;WarmteAtlas:AquathermieEffluent;;;
222;110;1972;120;;Effluentleiding;25200;25200;577.518395;526.68;526.68;Hoogheemraadschap De Stichtse Rijnlanden;192238.0;148366.0;IJsselstein;U10/U16;1524;3048;610;1219;Utrecht;Hoogheemraadschap De Stichtse Rijnlanden;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.000191926884334;5.071941213530038;WarmteAtlas:AquathermieEffluent;;;
223;drukleiding (persleiding);2006;1400;Beton;Effluentleiding;262800;262800;368.273858;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Midden-Delfland;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.0177796748035;4.317735157880052;WarmteAtlas:AquathermieEffluent;;;
224;drukleiding (persleiding);2006;1400;Staal;Effluentleiding;262800;262800;2.794307;5492.52;5492.52;Hoogheemraadschap van Delfland;2004770.0;1547240.0;Midden-Delfland;Rotterdam-Den Haag;15893;31786;6357;12714;Zuid-Holland;Hoogheemraadschap van Delfland;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.019101381379066;4.318507042499404;WarmteAtlas:AquathermieEffluent;;;
