PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1.0;0.0;R.W.Z.I. Land van Cuijk;20000.0;21000.0;21.6;13.1;Aa en Maas;418.0;438.9;Aangeleverd door Waterschap;Aa en Maas;160198.0;123638.0;Cuijk;Noord-oost Brabant;1270.0;2480.0;508.0;992.0;Noord-Brabant;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;False;False;False;51.69586600213905;5.8937060836766735;WarmteAtlas:AquathermieRWZI;;;
10.0;0.0;RWZI Nieuwveer;49800.0;52600.0;19.8;11.7;Brabantse Delta;1040.82;1099.34;Aangeleverd door Waterschap;Brabantse Delta;401259.0;309684.0;Breda;West-Brabant;3181.0;6192.0;1272.0;2477.0;Noord-Brabant;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;False;False;False;51.630358452059056;4.707679073812594;WarmteAtlas:AquathermieRWZI;;;
11.0;0.0;RWZI Baarle-Nassau;1902.0;1777.0;19.8;9.5;Brabantse Delta;39.7518;37.1393;Aangeleverd door Waterschap;Brabantse Delta;13556.0;10462.0;Baarle-Nassau;West-Brabant;108.0;222.0;43.0;89.0;Noord-Brabant;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;False;False;False;51.44854061131324;4.899124632984633;WarmteAtlas:AquathermieRWZI;;;
12.0;0.0;RWZI Waalwijk;7672.0;8589.0;19.7;9.1;Brabantse Delta;160.3448;179.5101;Aangeleverd door Waterschap;Brabantse Delta;65521.0;50568.0;Waalwijk;Hart van Brabant;520.0;984.0;208.0;393.0;Noord-Brabant;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:AquathermieRWZI;;;
13.0;0.0;RWZI Waalwijk Haven 7;18216.0;18216.0;0.0;0.0;Brabantse Delta;380.7144;380.7144;Aangeleverd door Waterschap;Brabantse Delta;138961.0;107247.0;Waalwijk;Hart van Brabant;1102.0;2203.0;441.0;881.0;Noord-Brabant;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;False;False;False;51.69908127042079;5.03869205794168;WarmteAtlas:AquathermieRWZI;;;
14.0;0.0;RWZI Waspik;1544.0;1684.0;19.6;8.0;Brabantse Delta;32.2696;35.1956;Aangeleverd door Waterschap;Brabantse Delta;12846.0;9915.0;Waalwijk;Hart van Brabant;102.0;195.0;41.0;78.0;Noord-Brabant;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:AquathermieRWZI;;;
15.0;0.0;RWZI Dongemond;15900.0;16100.0;18.0;10.0;Brabantse Delta;332.31;336.49;Aangeleverd door Waterschap;Brabantse Delta;122819.0;94789.0;Oosterhout;West-Brabant;974.0;1935.0;390.0;774.0;Noord-Brabant;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;False;False;False;51.67528691731538;4.851200262758725;WarmteAtlas:AquathermieRWZI;;;
16.0;0.0;RWZI Ossendrecht;699.0;925.0;21.1;9.8;Brabantse Delta;14.6091;19.3325;Aangeleverd door Waterschap;Brabantse Delta;7056.0;5446.0;Woensdrecht;West-Brabant;56.0;98.0;22.0;39.0;Noord-Brabant;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;False;False;False;51.39014121692472;4.320638322229414;WarmteAtlas:AquathermieRWZI;;;
17.0;0.0;RWZI Putte;519.0;1307.0;19.3;8.8;Brabantse Delta;10.8471;27.3163;Aangeleverd door Waterschap;Brabantse Delta;9970.0;7695.0;Woensdrecht;West-Brabant;79.0;110.0;32.0;44.0;Noord-Brabant;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;False;False;False;51.365998333836195;4.388738926021403;WarmteAtlas:AquathermieRWZI;;;
18.0;0.0;RWZI Willemstad;778.0;844.0;19.9;8.2;Brabantse Delta;16.2602;17.6396;Aangeleverd door Waterschap;Brabantse Delta;6438.0;4969.0;Moerdijk;West-Brabant;51.0;98.0;20.0;39.0;Noord-Brabant;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;False;False;False;51.6876816582659;4.455617544577912;WarmteAtlas:AquathermieRWZI;;;
