PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
12.0;0.0;RWZI Waalwijk;7672.0;8589.0;19.7;9.1;Brabantse Delta;160.3448;179.5101;Aangeleverd door Waterschap;Brabantse Delta;65521.0;50568.0;Waalwijk;Hart van Brabant;520.0;984.0;208.0;393.0;Noord-Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:AquathermieRWZI;;;
13.0;0.0;RWZI Waalwijk Haven 7;18216.0;18216.0;0.0;0.0;Brabantse Delta;380.7144;380.7144;Aangeleverd door Waterschap;Brabantse Delta;138961.0;107247.0;Waalwijk;Hart van Brabant;1102.0;2203.0;441.0;881.0;Noord-Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69908127042079;5.03869205794168;WarmteAtlas:AquathermieRWZI;;;
14.0;0.0;RWZI Waspik;1544.0;1684.0;19.6;8.0;Brabantse Delta;32.2696;35.1956;Aangeleverd door Waterschap;Brabantse Delta;12846.0;9915.0;Waalwijk;Hart van Brabant;102.0;195.0;41.0;78.0;Noord-Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:AquathermieRWZI;;;
25.0;0.0;RWZI ST. OEDENRODE;26995.0;26995.0;0.0;0.0;Waterschap De Dommel;564.1955;564.1955;Aangeleverd door Waterschap;Waterschap De Dommel;205931.0;158934.0;Meierijstad;Noord-oost Brabant;1632.0;3265.0;653.0;1306.0;Noord-Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:AquathermieRWZI;;;
33.0;0.0;RWZI TILBURG;106833.0;106833.0;0.0;0.0;Waterschap De Dommel;2232.8097;2232.8097;Aangeleverd door Waterschap;Waterschap De Dommel;814976.0;628982.0;Tilburg;Hart van Brabant;6461.0;12921.0;2584.0;5168.0;Noord-Brabant;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:AquathermieRWZI;;;
4.0;0.0;R.W.Z.I. Dinther;29000.0;30000.0;22.8;13.5;Aa en Maas;606.1;627.0;Aangeleverd door Waterschap;Aa en Maas;228855.0;176626.0;Bernheze;Noord-oost Brabant;1814.0;3568.0;726.0;1427.0;Noord-Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:AquathermieRWZI;;;
5.0;0.0;R.W.Z.I. Aarle-Rixtel;34000.0;38000.0;21.8;12.9;Aa en Maas;710.6;794.2;Aangeleverd door Waterschap;Aa en Maas;289883.0;223726.0;Laarbeek;Metropoolregio Eindhoven;2298.0;4354.0;919.0;1742.0;Noord-Brabant;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:AquathermieRWZI;;;
104.0;0.0;RWZI Zeist;23040.0;23040.0;0.0;0.0;De Stichtse Rijnlanden;481.536;481.536;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;175761.0;135649.0;Zeist;U10/U16;1393.0;2787.0;557.0;1115.0;Utrecht;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.0871823230714;5.211506058803742;WarmteAtlas:AquathermieRWZI;;;
106.0;0.0;RWZI Nieuwegein;25200.0;25200.0;0.0;0.0;De Stichtse Rijnlanden;526.68;526.68;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;192238.0;148366.0;IJsselstein;U10/U16;1524.0;3048.0;610.0;1219.0;Utrecht;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.00391842874025;5.070539000415452;WarmteAtlas:AquathermieRWZI;;;
107.0;0.0;Awzi Haastrecht;2880.0;2880.0;0.0;0.0;De Stichtse Rijnlanden;60.192;60.192;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;De Stichtse Rijnlanden;21970.0;16956.0;Krimpenerwaard;Midden-Holland;174.0;348.0;70.0;139.0;Zuid-Holland;;GM1931;2851.0;;;GM1931;2851.0;;;GM1931;2851.0;;False;False;False;52.00226175496009;4.783824503246473;WarmteAtlas:AquathermieRWZI;;;
