PK_UID;tp_z_nb;provincie;tp_w_bb;tp_z_bb;tp_w_nb;naamgeving;dwa_z;dwa_w;jaar;waterschap;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;21;Noord-Brabant;3;8;7;Lierop;285;285;0;Aa_en_Maas;4.7652;2.3826;Waterschap Aa en Maas;1068;671;Someren;Metropoolregio Eindhoven;BU08470100;GM0847;5715;5715BG;BU08470101;GM0847;5715;5715BG;BU08470101;GM0847;5715;5715BG;True;False;False;51.4165498948965;5.682177792459583;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
10;140;Noord-Brabant;19;56;46;Elshout;1921;1921;0;Aa_en_Maas;32.1191;16.0596;Waterschap Aa en Maas;7200;4524;Heusden;Hart van Brabant;BU07970200;GM0797;5154;5154AB;BU07970200;GM0797;5154;5154AB;BU07970200;GM0797;5154;5154AB;False;False;False;51.70078841914444;5.145383476117267;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
11;5;Noord-Brabant;1;2;2;Hedikhuizen;68;68;0;Aa_en_Maas;1.13696;0.56848;Waterschap Aa en Maas;255;160;Heusden;Hart van Brabant;BU07970700;GM0797;5257;5257NB;BU07970700;GM0797;5257;5257NB;BU07970700;GM0797;5257;5257NB;False;False;False;51.733342022335286;5.183007304812336;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
12;98;Noord-Brabant;13;39;32;Oudheusden;1348;1348;0;Aa_en_Maas;22.5386;11.2693;Waterschap Aa en Maas;5052;3175;Heusden;Hart van Brabant;BU07971100;GM0797;5156;5156AV;BU07971100;GM0797;5156;5156AV;BU07971100;GM0797;5156;5156AV;False;False;False;51.72046516931933;5.143835764449345;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
13;314;Noord-Brabant;42;126;105;Cuijk Haven;4330;4330;0;Aa_en_Maas;72.3976;36.1988;Waterschap Aa en Maas;16228;10197;Cuijk;Noord-oost Brabant;BU19820605;GM1982;5433;5433NG;BU19820605;GM1982;5433;5433NG;BU19820605;GM1982;5433;5433NG;False;False;False;51.75594694342356;5.864171721491748;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
14;4;Noord-Brabant;1;2;2;Linden;61;61;0;Aa_en_Maas;1.01992;0.50996;Waterschap Aa en Maas;229;144;Cuijk;Noord-oost Brabant;BU19820503;GM1982;5439;5439NH;BU19820503;GM1982;5439;5439NH;BU19820503;GM1982;5439;5439NH;False;False;False;51.7473373108901;5.8335983922606;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
15;757;Noord-Brabant;101;303;252;Cuijk-Heiligenberg;10429;10429;0;Aa_en_Maas;174.373;87.1864;Waterschap Aa en Maas;39085;24560;Cuijk;Noord-oost Brabant;BU19820811;GM1982;5431;5431SM;BU19820811;GM1982;5431;5431SM;BU19820811;GM1982;5431;5431SM;False;False;False;51.732635030663246;5.869011621649414;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
16;15;Noord-Brabant;2;6;5;Vianen;202;202;0;Aa_en_Maas;3.37744;1.68872;Waterschap Aa en Maas;757;476;Cuijk;Noord-oost Brabant;BU19821101;GM1982;5434;5434SE;BU19821101;GM1982;5434;5434SE;BU19821101;GM1982;5434;5434SE;False;False;False;51.71907670404518;5.860506967760435;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
17;139;Noord-Brabant;18;56;46;Cuijk-Sportpark;1915;1915;0;Aa_en_Maas;32.0188;16.0094;Waterschap Aa en Maas;7177;4510;Cuijk;Noord-oost Brabant;BU19820603;GM1982;5433;5433KJ;BU19820603;GM1982;5433;5433KJ;BU19820603;GM1982;5433;5433KJ;False;False;False;51.74359858878255;5.877820283495815;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
18;7;Noord-Brabant;1;3;2;St Agatha;99;99;0;Aa_en_Maas;1.65528;0.82764;Waterschap Aa en Maas;371;233;Cuijk;Noord-oost Brabant;BU19821201;GM1982;5435;5435XS;BU19821201;GM1982;5435;5435XS;BU19821201;GM1982;5435;5435XS;False;False;False;51.7129100202902;5.906716997939397;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
19;60;Noord-Brabant;8;24;20;Haps;828;828;0;Aa_en_Maas;13.8442;6.92208;Waterschap Aa en Maas;3103;1950;Cuijk;Noord-oost Brabant;BU19821301;GM1982;5443;5443PJ;BU19821301;GM1982;5443;5443PJ;BU19821301;GM1982;5443;5443PJ;False;False;False;51.69233713466633;5.86559302866042;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
2;173;Noord-Brabant;23;69;58;Someren Noord;2386;2386;0;Aa_en_Maas;39.8939;19.947;Waterschap Aa en Maas;8942;5619;Someren;Metropoolregio Eindhoven;BU08470009;GM0847;5711;5711EA;BU08470401;GM0847;5711;5711EA;BU08470401;GM0847;5711;5711EA;True;False;False;51.39122242068102;5.724036350123493;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
20;11;Noord-Brabant;2;4;4;Katwijk;151;151;0;Aa_en_Maas;2.52472;1.26236;Waterschap Aa en Maas;566;356;Cuijk;Noord-oost Brabant;BU19820603;GM1982;5433;5433KC;BU19820603;GM1982;5433;5433KC;BU19820603;GM1982;5433;5433KC;False;False;False;51.749268621423994;5.868466046029762;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
21;29;Noord-Brabant;4;12;10;Beers;396;396;0;Aa_en_Maas;6.62112;3.31056;Waterschap Aa en Maas;1485;933;Cuijk;Noord-oost Brabant;BU19820703;GM1982;5437;5437BG;BU19820703;GM1982;5437;5437BG;BU19820703;GM1982;5437;5437BG;False;False;False;51.7269444359743;5.8184260176632785;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
22;54;Noord-Brabant;7;22;18;Overloon;740;740;0;Aa_en_Maas;12.3728;6.1864;Waterschap Aa en Maas;2774;1743;Boxmeer;Noord-oost Brabant;BU19823001;GM1982;5825;5825BW;BU19823001;GM1982;5825;5825BW;BU19823001;GM1982;5825;5825BW;False;False;False;51.572626065954495;5.937586181025481;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
23;24;Noord-Brabant;3;10;8;Oeffelt;331;331;0;Aa_en_Maas;5.53432;2.76716;Waterschap Aa en Maas;1241;780;Boxmeer;Noord-oost Brabant;BU19821401;GM1982;5441;5441BR;BU19821401;GM1982;5441;5441BR;BU19821401;GM1982;5441;5441BR;False;False;False;51.696442879789885;5.939077008520792;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
24;52;Noord-Brabant;7;21;18;Vortum Mullem;724;724;0;Aa_en_Maas;12.1053;6.05264;Waterschap Aa en Maas;2713;1705;Boxmeer;Noord-oost Brabant;BU19822701;GM1982;5827;5827AD;BU19822701;GM1982;5827;5827AD;BU19822701;GM1982;5827;5827AD;False;False;False;51.623808932991544;5.985321340358182;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
25;16;Noord-Brabant;2;6;5;Rijkevoort;222;222;0;Aa_en_Maas;3.71184;1.85592;Waterschap Aa en Maas;832;523;Boxmeer;Noord-oost Brabant;BU19821801;GM1982;5447;5447BL;BU19821801;GM1982;5447;5447BL;BU19821801;GM1982;5447;5447BL;False;False;False;51.65928319624666;5.883790288138791;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
26;54;Noord-Brabant;7;22;18;Sterckwijck;745;745;0;Aa_en_Maas;12.4564;6.2282;Waterschap Aa en Maas;2792;1754;Boxmeer;Noord-oost Brabant;BU19821903;GM1982;5835;5835DZ;BU19821903;GM1982;5835;5835DZ;BU19821903;GM1982;5835;5835DZ;False;False;False;51.666900265762145;5.9326806812249115;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
27;11;Noord-Brabant;2;4;4;Maashees;156;156;0;Aa_en_Maas;2.60832;1.30416;Waterschap Aa en Maas;584;367;Boxmeer;Noord-oost Brabant;BU19823301;GM1982;5823;5823CD;BU19823301;GM1982;5823;5823CD;BU19823301;GM1982;5823;5823CD;False;False;False;51.57306458435114;6.035785998342823;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
28;4;Noord-Brabant;1;2;2;Groeningen;57;57;0;Aa_en_Maas;0.95304;0.47652;Waterschap Aa en Maas;213;134;Boxmeer;Noord-oost Brabant;BU19822803;GM1982;5826;5826AM;BU19822803;GM1982;5826;5826AM;BU19822803;GM1982;5826;5826AM;False;False;False;51.61073587633663;6.001329232527167;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
29;626;Noord-Brabant;84;250;209;Het Snepke;8630;8630;0;Aa_en_Maas;144.294;72.1468;Waterschap Aa en Maas;32344;20324;Boxmeer;Noord-oost Brabant;BU19822219;GM1982;5831;5831TG;BU19822219;GM1982;5831;5831TG;BU19822219;GM1982;5831;5831TG;False;False;False;51.65781328441622;5.9194743011459625;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
3;74;Noord-Brabant;10;30;24;Someren Zuid;1015;1015;0;Aa_en_Maas;16.9708;8.4854;Waterschap Aa en Maas;3804;2390;Someren;Metropoolregio Eindhoven;BU08470000;GM0847;5712;5712AB;BU08470407;GM0847;5712;5712AB;BU08470407;GM0847;5712;5712AB;True;False;False;51.37283611328458;5.725527501921798;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
30;9;Noord-Brabant;1;4;3;Holthees;126;126;0;Aa_en_Maas;2.10672;1.05336;Waterschap Aa en Maas;472;297;Boxmeer;Noord-oost Brabant;BU19823203;GM1982;5824;5824AN;BU19823203;GM1982;5824;5824AN;BU19823203;GM1982;5824;5824AN;False;False;False;51.577303527800055;6.007196351155523;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
31;43;Noord-Brabant;6;17;14;Vierlingsbeek;595;595;0;Aa_en_Maas;9.9484;4.9742;Waterschap Aa en Maas;2230;1401;Boxmeer;Noord-oost Brabant;BU19823101;GM1982;5821;5821AN;BU19823101;GM1982;5821;5821AN;BU19823101;GM1982;5821;5821AN;False;False;False;51.59602115303615;6.019500445299524;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
32;219;Noord-Brabant;29;88;73;Boxmeer;3018;3018;0;Aa_en_Maas;50.461;25.2305;Waterschap Aa en Maas;11310;7107;Boxmeer;Noord-oost Brabant;BU19822203;GM1982;5831;5831JR;BU19822203;GM1982;5831;5831LR;BU19822203;GM1982;5831;5831LR;False;False;False;51.654483036053215;5.94443233447008;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
33;222;Noord-Brabant;30;89;74;Erp;3063;3063;0;Aa_en_Maas;51.2134;25.6067;Waterschap Aa en Maas;11479;7213;Meierijstad;Noord-oost Brabant;BU19480108;GM1948;5469;5469ST;BU19480108;GM1948;5469;5469ST;BU19480108;GM1948;5469;5469ST;False;False;False;51.604088300474615;5.613078769503841;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
34;8;Noord-Brabant;1;3;3;Keldonk;118;118;0;Aa_en_Maas;1.97296;0.98648;Waterschap Aa en Maas;442;278;Meierijstad;Noord-oost Brabant;BU19480107;GM1948;5469;5469ER;BU19480107;GM1948;5469;5469ER;BU19480107;GM1948;5469;5469ER;False;False;False;51.58902357331576;5.595101094927554;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
35;285;Noord-Brabant;38;114;95;Schijndel;3924;3924;0;Aa_en_Maas;65.6093;32.8046;Waterschap Aa en Maas;14706;9241;Meierijstad;Noord-oost Brabant;BU19480208;GM1948;5482;5482WN;BU19480208;GM1948;5482;5482WN;BU19480208;GM1948;5482;5482WN;False;False;False;51.62774639025436;5.441023128380749;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
36;7;Noord-Brabant;1;3;2;Boerdonk;97;97;0;Aa_en_Maas;1.62184;0.81092;Waterschap Aa en Maas;363;228;Meierijstad;Noord-oost Brabant;BU19480101;GM1948;5469;5469ND;BU19480101;GM1948;5469;5469ND;BU19480101;GM1948;5469;5469ND;False;False;False;51.55768386305185;5.627238847748497;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
37;144;Noord-Brabant;19;58;48;St Anthonis;1980;1980;0;Aa_en_Maas;33.1056;16.5528;Waterschap Aa en Maas;7421;4663;Sint Anthonis;Noord-oost Brabant;BU19822103;GM1982;5846;5846AM;BU19822103;GM1982;5846;5846AM;BU19822103;GM1982;5846;5846AM;False;False;False;51.63457164020374;5.8833067559898025;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
38;5;Noord-Brabant;1;2;2;Westerbeek;68;68;0;Aa_en_Maas;1.13696;0.56848;Waterschap Aa en Maas;255;160;Sint Anthonis;Noord-oost Brabant;BU19822901;GM1982;5843;5843AK;BU19822901;GM1982;5843;5843AK;BU19822901;GM1982;5843;5843AK;False;False;False;51.58455850192063;5.86432966253914;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
39;71;Noord-Brabant;10;28;24;Wanroij;981;981;0;Aa_en_Maas;16.4023;8.20116;Waterschap Aa en Maas;3676;2310;Sint Anthonis;Noord-oost Brabant;BU19821701;GM1982;5446;5446PP;BU19821701;GM1982;5446;5446PP;BU19821701;GM1982;5446;5446PP;False;False;False;51.661796121381286;5.821591750413053;WarmteAtlas:AquathermieRioolGemalen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:46;
