PK_UID;tp_z_nb;provincie;tp_w_bb;tp_z_bb;tp_w_nb;naamgeving;dwa_z;dwa_w;jaar;waterschap;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
33;222;Noord-Brabant;30;89;74;Erp;3063;3063;0;Aa_en_Maas;51.2134;25.6067;Waterschap Aa en Maas;11479;7213;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.604088300474615;5.613078769503841;WarmteAtlas:AquathermieRioolGemalen;;;
34;8;Noord-Brabant;1;3;3;Keldonk;118;118;0;Aa_en_Maas;1.97296;0.98648;Waterschap Aa en Maas;442;278;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.58902357331576;5.595101094927554;WarmteAtlas:AquathermieRioolGemalen;;;
35;285;Noord-Brabant;38;114;95;Schijndel;3924;3924;0;Aa_en_Maas;65.6093;32.8046;Waterschap Aa en Maas;14706;9241;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.62774639025436;5.441023128380749;WarmteAtlas:AquathermieRioolGemalen;;;
36;7;Noord-Brabant;1;3;2;Boerdonk;97;97;0;Aa_en_Maas;1.62184;0.81092;Waterschap Aa en Maas;363;228;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55768386305185;5.627238847748497;WarmteAtlas:AquathermieRioolGemalen;;;
5;17;Noord-Brabant;2;7;6;Elsendorp;237;237;0;Aa_en_Maas;3.96264;1.98132;Waterschap Aa en Maas;888;558;Gemert-Bakel;Metropoolregio Eindhoven;;GM1652;;;;GM1652;;;;GM1652;;;False;False;False;51.582205231171635;5.766260349946098;WarmteAtlas:AquathermieRioolGemalen;;;
100;0;Noord-Brabant;0;0;0;Vught;0;0;9999;De Dommel;0.0;0.0;Waterschap De Dommel;0;0;Vught;Noord-oost Brabant;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.67111369337734;5.284653449936824;WarmteAtlas:AquathermieRioolGemalen;;;
102;48;Noord-Brabant;6;19;16;rg. Alphen;668;668;0;Brabantse Delta;11.169;5.58448;Waterschap Brabantse Delta;2503;1573;Alphen-Chaam;West-Brabant;;GM1723;;;;GM1723;;;;GM1723;;;False;False;False;51.48212758084059;4.96312357628602;WarmteAtlas:AquathermieRioolGemalen;;;
134;53;Noord-Brabant;7;21;18;rg. Waspik;731;731;0;Brabantse Delta;12.2223;6.11116;Waterschap Brabantse Delta;2740;1722;Waalwijk;Hart van Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.68932371880383;4.94347060192712;WarmteAtlas:AquathermieRioolGemalen;;;
135;136;Noord-Brabant;18;54;45;rg. Sprang Capelle;1866;1866;0;Brabantse Delta;31.1995;15.5998;Waterschap Brabantse Delta;6993;4394;Waalwijk;Hart van Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.673690380095664;5.007977171061174;WarmteAtlas:AquathermieRioolGemalen;;;
136;428;Noord-Brabant;57;171;143;rg. Waalwijk;5903;5903;0;Brabantse Delta;98.6982;49.3491;Waterschap Brabantse Delta;22124;13902;Waalwijk;Hart van Brabant;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69394384600263;5.074790388082352;WarmteAtlas:AquathermieRioolGemalen;;;
56;184;Noord-Brabant;24;74;61;Heesch;2535;2535;0;Aa_en_Maas;42.3852;21.1926;Waterschap Aa en Maas;9501;5970;Bernheze;Noord-oost Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.72640170575553;5.510379642871621;WarmteAtlas:AquathermieRioolGemalen;;;
57;15;Noord-Brabant;2;6;5;Vorstenbosch;205;205;0;Aa_en_Maas;3.4276;1.7138;Waterschap Aa en Maas;769;483;Bernheze;Noord-oost Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.649803886349844;5.550984913043464;WarmteAtlas:AquathermieRioolGemalen;;;
58;14;Noord-Brabant;2;6;5;Loosbroek;192;192;0;Aa_en_Maas;3.21024;1.60512;Waterschap Aa en Maas;719;452;Bernheze;Noord-oost Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.68058172297197;5.506546290279687;WarmteAtlas:AquathermieRioolGemalen;;;
59;83;Noord-Brabant;11;33;28;Heeswijk Dinther;1148;1148;0;Aa_en_Maas;19.1946;9.59728;Waterschap Aa en Maas;4303;2704;Bernheze;Noord-oost Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.647405586750416;5.476980667231124;WarmteAtlas:AquathermieRioolGemalen;;;
60;62;Noord-Brabant;8;25;21;Munnekens-Vinkel;859;859;0;Aa_en_Maas;14.3625;7.18124;Waterschap Aa en Maas;3219;2023;Bernheze;Noord-oost Brabant;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.70360106573562;5.487682488050919;WarmteAtlas:AquathermieRioolGemalen;;;
61;47;Noord-Brabant;6;19;16;Aarle-Rixtel;643;643;0;Aa_en_Maas;10.751;5.37548;Waterschap Aa en Maas;2410;1514;Laarbeek;Metropoolregio Eindhoven;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.5091023757916;5.64737717811158;WarmteAtlas:AquathermieRioolGemalen;;;
62;38;Noord-Brabant;5;15;13;Lieshout;528;528;0;Aa_en_Maas;8.82816;4.41408;Waterschap Aa en Maas;1978;1243;Laarbeek;Metropoolregio Eindhoven;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.521530633337306;5.598836210070667;WarmteAtlas:AquathermieRioolGemalen;;;
63;577;Noord-Brabant;77;231;192;'t Broek;7946;7946;0;Aa_en_Maas;132.857;66.4286;Waterschap Aa en Maas;29780;18713;Laarbeek;Metropoolregio Eindhoven;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.52841250371707;5.6573194231655;WarmteAtlas:AquathermieRioolGemalen;;;
64;20;Noord-Brabant;3;8;6;Mariahout;271;271;0;Aa_en_Maas;4.53112;2.26556;Waterschap Aa en Maas;1015;638;Laarbeek;Metropoolregio Eindhoven;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.542414458788755;5.568240551758544;WarmteAtlas:AquathermieRioolGemalen;;;
65;22;Noord-Brabant;3;9;7;Reek;297;297;0;Aa_en_Maas;4.96584;2.48292;Waterschap Aa en Maas;1113;699;Landerd;Noord-oost Brabant;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.7465771882754;5.677803545209604;WarmteAtlas:AquathermieRioolGemalen;;;
66;84;Noord-Brabant;11;33;28;Zeeland;1149;1149;0;Aa_en_Maas;19.2113;9.60564;Waterschap Aa en Maas;4306;2706;Landerd;Noord-oost Brabant;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.70519655319463;5.679932296444449;WarmteAtlas:AquathermieRioolGemalen;;;
67;157;Noord-Brabant;21;63;52;Wachthuis;2162;2162;0;Aa_en_Maas;36.1486;18.0743;Waterschap Aa en Maas;8103;5092;Landerd;Noord-oost Brabant;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75953852425749;5.68135990843234;WarmteAtlas:AquathermieRioolGemalen;;;
68;119;Noord-Brabant;16;48;40;Schaijk;1639;1639;0;Aa_en_Maas;27.4041;13.702;Waterschap Aa en Maas;6143;3860;Landerd;Noord-oost Brabant;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75187290912148;5.638120001537887;WarmteAtlas:AquathermieRioolGemalen;;;
69;145;Noord-Brabant;19;58;48;De Peel;1995;1995;0;Aa_en_Maas;33.3564;16.6782;Waterschap Aa en Maas;7477;4698;Landerd;Noord-oost Brabant;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.660716668663355;5.7374841460941575;WarmteAtlas:AquathermieRioolGemalen;;;
70;12;Noord-Brabant;2;5;4;Wilbertoord;163;163;0;Aa_en_Maas;2.72536;1.36268;Waterschap Aa en Maas;611;384;Mill en Sint Hubert;Noord-oost Brabant;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.65838700138337;5.771569084887069;WarmteAtlas:AquathermieRioolGemalen;;;
74;26;Noord-Brabant;4;10;9;Langenboom;361;361;0;Aa_en_Maas;6.03592;3.01796;Waterschap Aa en Maas;1353;850;Mill en Sint Hubert;Noord-oost Brabant;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.707343470064636;5.728689763113354;WarmteAtlas:AquathermieRioolGemalen;;;
79;135;Noord-Brabant;18;54;45;Grave;1864;1864;0;Aa_en_Maas;31.1661;15.583;Waterschap Aa en Maas;6986;4390;Grave;Noord-oost Brabant;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.76023712404756;5.732937406723376;WarmteAtlas:AquathermieRioolGemalen;;;
196;88;Noord-Brabant;12;35;29;Duin;1208;1208;0;Aa_en_Maas;20.1978;10.0989;Waterschap Aa en Maas;4527;2845;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.61236393422841;5.458256575473734;WarmteAtlas:AquathermieRioolGemalen;;;
197;6;Noord-Brabant;1;2;2;Olland;84;84;9999;De Dommel;1.40448;0.70224;Waterschap De Dommel;315;198;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.57970555144907;5.40949618769192;WarmteAtlas:AquathermieRioolGemalen;;;
198;59;Noord-Brabant;8;24;20;Nijnsel;811;811;9999;De Dommel;13.5599;6.77996;Waterschap De Dommel;3040;1910;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55339336236985;5.4884608620703865;WarmteAtlas:AquathermieRioolGemalen;;;
199;242;Noord-Brabant;32;97;81;Kienehoef;3338;3338;9999;De Dommel;55.8114;27.9057;Waterschap De Dommel;12510;7861;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.5679732100732;5.460545708681869;WarmteAtlas:AquathermieRioolGemalen;;;
200;26;Noord-Brabant;3;10;8;Boskant;351;351;9999;De Dommel;5.86872;2.93436;Waterschap De Dommel;1316;827;Meierijstad;Noord-oost Brabant;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.549597643786;5.424148635565377;WarmteAtlas:AquathermieRioolGemalen;;;
236;37;Noord-Brabant;5;15;12;Biezenmortel;509;509;9999;De Dommel;8.51048;4.25524;Waterschap De Dommel;1908;1199;Haaren;Noord-oost Brabant;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.62896969483304;5.177823151405942;WarmteAtlas:AquathermieRioolGemalen;;;
238;119;Noord-Brabant;16;48;40;Helvoirt;1637;1637;9999;De Dommel;27.3706;13.6853;Waterschap De Dommel;6135;3855;Haaren;Noord-oost Brabant;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.63183706733455;5.233814734428278;WarmteAtlas:AquathermieRioolGemalen;;;
252;291;Noord-Brabant;39;116;97;Udenhout;4011;4011;9999;De Dommel;67.0639;33.532;Waterschap De Dommel;15032;9446;Tilburg;Hart van Brabant;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.61499857869916;5.140347872611121;WarmteAtlas:AquathermieRioolGemalen;;;
428;10;Gelderland;1;4;3;RG Spijk;136;136;0;Rivierenland;2.27392;1.13696;Waterschap Rivierenland;509;320;Lingewaal;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;4211.0;;;GM1960;4211.0;;False;False;False;51.85643812738981;5.008787060747733;WarmteAtlas:AquathermieRioolGemalen;;;
429;23;Gelderland;3;9;8;RG Heukelum;322;322;0;Rivierenland;5.38384;2.69192;Waterschap Rivierenland;1206;758;Lingewaal;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.87217751749449;5.0748787492763565;WarmteAtlas:AquathermieRioolGemalen;;;
430;25;Gelderland;3;10;8;RG Vuren;342;342;0;Rivierenland;5.71824;2.85912;Waterschap Rivierenland;1281;805;Lingewaal;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82471416631523;5.056436022495071;WarmteAtlas:AquathermieRioolGemalen;;;
431;25;Gelderland;3;10;8;RG Herwijnen;341;341;0;Rivierenland;5.70152;2.85076;Waterschap Rivierenland;1278;803;Lingewaal;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.82317838146098;5.123933974773929;WarmteAtlas:AquathermieRioolGemalen;;;
432;8;Gelderland;1;3;3;RG Rumpt;110;110;0;Rivierenland;1.8392;0.9196;Waterschap Rivierenland;412;259;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88547632531812;5.175535542373587;WarmteAtlas:AquathermieRioolGemalen;;;
433;19;Gelderland;2;8;6;RG Meteren;259;259;0;Rivierenland;4.33048;2.16524;Waterschap Rivierenland;971;610;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.86922676256596;5.276902100818498;WarmteAtlas:AquathermieRioolGemalen;;;
434;4;Gelderland;0;2;1;RG Acquoy;54;54;0;Rivierenland;0.90288;0.45144;Waterschap Rivierenland;202;127;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88099235541539;5.133387646432046;WarmteAtlas:AquathermieRioolGemalen;;;
435;2;Gelderland;0;1;1;RG Gellicum;29;29;0;Rivierenland;0.48488;0.24244;Waterschap Rivierenland;108;68;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.877453710710654;5.154842223225693;WarmteAtlas:AquathermieRioolGemalen;;;
436;16;Gelderland;2;6;5;RG Rhenoy;221;221;0;Rivierenland;3.69512;1.84756;Waterschap Rivierenland;828;520;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88208611026226;5.15440327967708;WarmteAtlas:AquathermieRioolGemalen;;;
437;21;Gelderland;3;8;7;RG Beesd;291;291;0;Rivierenland;4.86552;2.43276;Waterschap Rivierenland;1090;685;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88278431100734;5.1875501091771055;WarmteAtlas:AquathermieRioolGemalen;;;
438;8;Gelderland;1;3;3;RG Buurmalsen;114;114;0;Rivierenland;1.90608;0.95304;Waterschap Rivierenland;427;268;Geldermalsen;Rivierenland (Fruitdelta);;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.89276753096798;5.295380758299191;WarmteAtlas:AquathermieRioolGemalen;;;
