PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;NL;LCP;10001;Nobian Industrial Chemicals BV (Rotterdam);Botlek Rotterdam;Welplaatweg;3197KS;12;;78660;432300;20.13;Vervaardiging van overige anorganische basischemicaliën;Chemische Industrie;Chemische Industrie basisproducten;CO2;198.989583;193.179;180.95335;152.069;117.432067;112.892633;127.88757;102.059769;103.227146;Chemische Industrie;1401.771932;1401.771932;Chemie;3;Magenta;2024;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;False;False;False;51.874006357301305;4.278625650429412;WarmteAtlas:CO2EmissieBedrijven;;;
10;NL;;10017;Evonik Carbon Black Nederland B.V.;Botlek Rotterdam;Welplaatweg;3197KS;30;;78898;432942;20.13;Vervaardiging van overige anorganische basischemicaliën;Chemische Industrie;Chemische Industrie basisproducten;CO2;133.98816;141.01;61.43;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;False;False;False;51.879808541174654;4.281939452805831;WarmteAtlas:CO2EmissieBedrijven;;;
11;NL;;10018;Huntsman Holland BV;Botlek Rotterdam;Merseyweg;3197KG;10;;76660;434000;20.59;Vervaardiging van overige chemische producten n.e.g.;Chemische Industrie;Chemische Industrie overig;CO2;126.80928;0.0;0.0;0.0;0.143731;0.126774;0.421002;0.07761;0.135281;Chemische Industrie;1.837047;1.837047;Chemie;1;Magenta;2024;BU05992306;GM0599;3197.0;3197KG;BU05992306;GM0599;3197.0;3197KG;BU05992306;GM0599;3197.0;3197KG;False;False;False;51.88900634279315;4.249201512856756;WarmteAtlas:CO2EmissieBedrijven;;;
12;NL;;10035;Team Terminal BV;Europoort Rotterdam;Rijndwarsweg;3198LK;3;;70000;440000;52.24;Laad-, los- en overslagactiviteiten;Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);CO2;1.0692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;Overige;0;Gray;2024;BU05992307;GM0599;3198.0;3198LS;BU05992307;GM0599;3198.0;3198LS;BU05992307;GM0599;3198.0;3198LS;False;False;False;51.94194886930268;4.150993835856961;WarmteAtlas:CO2EmissieBedrijven;;;
13;NL;;10042;Kemira Rotterdam BV;Botlek Rotterdam;Botlekweg;3197KA;175;;77830;434620;20.14.9;Vervaardiging van organische basischemicaliën (geen petrochemische producten);Chemische Industrie;Chemische Industrie basisproducten;CO2;0.76;0.7;0.135;0.114;0.2257;0.152265;0.15593;0.18792;0.189486;Chemische Industrie;2.573123;2.573123;Chemie;1;Magenta;2024;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.89474159621375;4.266055425471531;WarmteAtlas:CO2EmissieBedrijven;;;
14;NL;;10048;Compaxo Fijne Vleeswaren BV;Gouda;Schielands Hoge Zeedijk;2802RC;35;;107911;445904;10.13;Vleesverwerking (niet tot maaltijden);Overige industrie;Voedings- en genotmiddelenindustrie;CO2;3.408;4.779;5.76;4.74;4.02;4.0;3.93;3.82;2.7;Voedings- en genotmiddelenindustrie;42.131837;42.131837;Voeding;2;Green;2024;BU05130203;GM0513;2802.0;2802RC;BU05130203;GM0513;2802.0;2802RC;BU05130203;GM0513;2802.0;2802RC;False;False;False;51.99951581856377;4.701494438893164;WarmteAtlas:CO2EmissieBedrijven;;;
15;NL;;10049;De Graan-Elevator Maatschappij (GEM);Rotterdam;Brielselaan;3081AB;85;;93000;434600;52.00;Opslag en dienstverlening voor vervoer;Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);CO2;2.235165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;Overige;0;Gray;2024;BU05991571;GM0599;3081.0;3081AE;BU05991571;GM0599;3081.0;3081AE;BU05991571;GM0599;3081.0;3081AE;False;False;False;51.89645799517933;4.486423801246278;WarmteAtlas:CO2EmissieBedrijven;;;
16;NL;;10051;Nerefco Botlek;Rozenburg;Welplaatweg;3180AA;110;;80400;433600;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;5.4864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Raffinage en verwerking;0.0;0.0;Raffinage;0;Purple;2024;BU05992306;GM0599;3197.0;3197KR;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;False;False;False;51.885925186214514;4.303607477014802;WarmteAtlas:CO2EmissieBedrijven;;;
17;NL;LCP;10057;Shell Nederland Raffinaderij BV;Vondelingenplaat Rotterdam;Vondelingenweg;3196KK;601;;82574;432924;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;4621.304396;5736.0;4134.663274;4254.783327;4171.581948;4392.68895;4178.613546;4351.260773;4234.653853;Raffinage en verwerking;54626.643039;0.0;Raffinage;5;Purple;2024;BU05992295;GM0599;3196.0;3196KK;BU05992295;GM0599;3196.0;3196KK;BU05992295;GM0599;3196.0;3196KK;False;False;False;51.880136926307465;4.335322603864862;WarmteAtlas:CO2EmissieBedrijven;;;
18;NL;LCP;10058;BP Rotterdam Refinery;Europoort Rotterdam;D'Arcyweg;3198NA;76;;67036;440390;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;1500.62635;2225.4;2245.441;2337.784;2027.33;2117.592;1938.767;2137.686;2051.725;Raffinage en verwerking;26467.062733;0.0;Raffinage;5;Purple;2024;BU05992307;GM0599;3198.0;3198NA;BU05992307;GM0599;3198.0;3198NA;BU05992307;GM0599;3198.0;3198NA;False;False;False;51.944992504629965;4.107796747048895;WarmteAtlas:CO2EmissieBedrijven;;;
