PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
32;NL;;10082;Akzo Nobel Car Refinishes B.V.;Sassenheim;Rijksstraatweg;2171AJ;31;;93500;469360;20.30;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;Chemische Industrie;Chemische Industrie overig;CO2;0.0;3.8515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;;GM1525;2171.0;;;GM1525;2171.0;;;GM1525;2171.0;;False;False;False;52.20890777584109;4.487430332014329;WarmteAtlas:CO2EmissieBedrijven;;;
34;NL;;10086;NV Nutricia Zoetermeer;Zoetermeer;1e Stationsstraat;2712HM;186;;93800;451400;10.51;Vervaardiging van zuivelproducten (geen consumptie-ijs);Overige industrie;Voedings- en genotmiddelenindustrie;CO2;18.94836;8.722;13.846995;12.272477;9.984362;10.639069;10.391;11.059;11.988;Voedings- en genotmiddelenindustrie;187.065356;187.065356;Voeding;2;Green;2024;;GM0637;2712.0;;;GM0637;2712.0;;;GM0637;2712.0;;False;False;False;52.04753320157239;4.495048573650786;WarmteAtlas:CO2EmissieBedrijven;;;
101;NL;;10546;Lactalis Leerdammer BV (Schoonrewoerd);Schoonrewoerd;Steenovenweg;4145KK;4;;136450;437100;10.51;Vervaardiging van zuivelproducten (geen consumptie-ijs);Overige industrie;Voedings- en genotmiddelenindustrie;CO2;0.0;0.0;11.640738;10.844404;9.997628;9.512115;9.756212;8.495129;8.833563;Voedings- en genotmiddelenindustrie;137.84231;137.84231;Voeding;2;Green;2024;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.922071714041635;5.117546203693166;WarmteAtlas:CO2EmissieBedrijven;;;
109;NL;;10714;637 Intendance Centr.Werkpl.;Woerden;Wilhelminaweg;3441XC;46;;120750;455200;84.22;Defensie;Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);CO2;1.152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;Overige;0;Gray;2024;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.0840072154914;4.887516251412525;WarmteAtlas:CO2EmissieBedrijven;;;
110;NL;;10722;O-I Netherlands BV (Schiedam);Schiedam;Buitenhavenweg;3113BE;114;- 116;87500;436550;23.13;Vervaardiging van holglas;Overige industrie;Bouwmaterialenindustrie;CO2;93.915465;75.961415;62.081;64.527128;0.0;0.0;0.0;0.0;0.0;Bouwmaterialenindustrie;0.0;0.0;BouwMaterialen;0;SandyBrown;2024;;GM0606;3113.0;;;GM0606;3113.0;;;GM0606;3113.0;;False;False;False;51.91334333717088;4.406144396190292;WarmteAtlas:CO2EmissieBedrijven;;;
111;NL;;10723;O-I Netherlands BV (Leerdam);Leerdam;Lingedijk;4142LD;8;;134256;433341;23.13;Vervaardiging van holglas;Overige industrie;Bouwmaterialenindustrie;CO2;79.793833;116.140181;98.934123;113.375385;85.439611;100.592354;100.475526;99.185806;92.286526;Bouwmaterialenindustrie;1390.192203;1390.192203;BouwMaterialen;3;SandyBrown;2024;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.88820773633704;5.085879430333178;WarmteAtlas:CO2EmissieBedrijven;;;
115;NL;;10789;BMI Monier Woerden;Woerden;Pannenbakkerijen;3443CA;1;;119600;455350;23.32;Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen);Overige industrie;Bouwmaterialenindustrie;CO2;0.0;0.0;11.770491;9.716754;13.446433;14.985661;14.565;9.825;7.031;Bouwmaterialenindustrie;105.914068;105.914068;BouwMaterialen;2;SandyBrown;2024;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.08528305463418;4.870723515701624;WarmteAtlas:CO2EmissieBedrijven;;;
121;NL;;10829;Cosun Beet company (Puttershoek);Puttershoek;Rustenburgstraat;3297LG;2;;98085;424965;10.81;Vervaardiging van suiker;Overige industrie;Voedings- en genotmiddelenindustrie;CO2;96.46008;81.733225;0.801;0.0;0.353749;0.400996;0.0;0.0;0.0;Voedings- en genotmiddelenindustrie;0.0;0.0;Voeding;0;Green;2024;;GM1963;2995.0;;;GM1963;2995.0;;;GM1963;2995.0;;False;False;False;51.81040585512084;4.561883202717449;WarmteAtlas:CO2EmissieBedrijven;;;
122;NL;;10880;Bolnes Motorenfabriek BV;Krimpen aan de Lek;Zaag;2931LD;29;;100250;435030;28.10;Vervaardiging van motoren, turbines, pompen, compressoren, appendages en drijfwerkelementen;Overige industrie;Metaalelektro;CO2;0.271152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Metaalelektro;0.0;0.0;Overige;0;Gray;2024;;GM1931;2931.0;;;GM1931;2931.0;;;GM1931;2931.0;;False;False;False;51.901082873161755;4.591678105092754;WarmteAtlas:CO2EmissieBedrijven;;;
124;NL;;10884;Timmerfabriek Bouter en Zn BV;Bergambacht;Dijklaan;2861EE;32;-36;113640;437430;31.09;Vervaardiging van overige meubels;Overige industrie;Industrie overig;CO2;0.805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;Overige;0;Gray;2024;;GM1931;2861.0;;;GM1931;2861.0;;;GM1931;2861.0;;False;False;False;51.923809682648475;4.785936206680757;WarmteAtlas:CO2EmissieBedrijven;;;
135;NL;;10983;IHC Smit BV;Nieuw-Lekkerland;Smitweg;2961AW;6;;102750;433250;30.11;Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen);Overige industrie;Metaalelektro;CO2;0.0;0.0;4.87368;0.0;1.797459;1.741345;1.466624;1.260557;1.117966;Metaalelektro;17.584382;17.584382;Overige;1;Gray;2024;;GM1978;2961.0;;;GM1978;2961.0;;;GM1978;2961.0;;False;False;False;51.88532515026303;4.628270292082073;WarmteAtlas:CO2EmissieBedrijven;;;
142;NL;;11038;APH B.V.;Hoogblokland;Bazeldijk;4221XX;50;;127904;433493;23.99;Vervaardiging van niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen);Overige industrie;Bouwmaterialenindustrie;CO2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Bouwmaterialenindustrie;0.0;0.0;BouwMaterialen;0;SandyBrown;2024;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.88930114309689;4.99360146180964;WarmteAtlas:CO2EmissieBedrijven;;;
147;NL;;11057;Chemische Industrie en Handelmaatschappij Weduwe Hondorff, Block en Braet BV;Schoonhoven;Havenstraat;2871EC;152;;118020;440060;20.13;Vervaardiging van overige anorganische basischemicaliën;Chemische Industrie;Chemische Industrie basisproducten;CO2;0.476496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;;GM1931;2871.0;;;GM1931;2871.0;;;GM1931;2871.0;;False;False;False;51.947756279365095;4.849324215119021;WarmteAtlas:CO2EmissieBedrijven;;;
153;NL;LCP;11105;Heineken Nederland BV (Zoeterwoude);Zoeterwoude;Burgemeester Smeetsweg;2382PH;1;;97050;461400;11.05;Vervaardiging van bier;Overige industrie;Voedings- en genotmiddelenindustrie;CO2;72.712203;77.162013;54.617211;85.747496;73.956429;74.091099;72.143228;63.177475;61.858545;Voedings- en genotmiddelenindustrie;965.264495;965.264495;Voeding;3;Green;2024;;GM0638;2382.0;;;GM0638;2382.0;;;GM0638;2382.0;;False;False;False;52.13775476988237;4.5407213904149435;WarmteAtlas:CO2EmissieBedrijven;;;
166;NL;LCP;114001;Maxima-centrale;Lelystad;IJsselmeerdijk;8221RC;101;;164694;509969;35.11.1;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;Energiesector;Opwekking electriciteit;CO2;1101.03418;0.0;1050.879719;1233.372986;1789.174395;949.882378;1221.772264;970.214404;1167.327316;Opwekking electriciteit;8171.291212;0.0;Energy;5;Yellow;2024;;GM0995;;;;GM0995;;;;GM0995;;;False;False;False;52.57722290437191;5.530213954115616;WarmteAtlas:CO2EmissieBedrijven;;;
173;NL;;114709;McCain Foods Holland BV (Lelystad);Lelystad;Steenstraat;8211AG;9;;164429;505923;10.31;Vervaardiging van aardappelproducten;Overige industrie;Voedings- en genotmiddelenindustrie;CO2;0.0;0.0;0.0;0.0;24.25062;26.73462;26.295658;26.92262;26.75762;Voedings- en genotmiddelenindustrie;417.53618;417.53618;Voeding;3;Green;2024;;GM0995;;;;GM0995;;;;GM0995;;;False;False;False;52.540865432792124;5.526189817846175;WarmteAtlas:CO2EmissieBedrijven;;;
