PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
0;NL-200400005;DS Utility Plant;Decontamination Services B.V.;RITTHEM;17306;14498;11372;6414;305;0;0;0;0;0;0;0;0;BU07180800;GM0718;4389.0;4389PD;BU07180800;GM0718;4389.0;4389PD;BU07180800;GM0718;4389.0;4389PD;False;False;False;51.446540174141376;3.6882586914186177;WarmteAtlas:CO2emissieETSbedrijven;;;
9;NL-200400015;SABIC Innovative Plastics B.V. BKG 1;SABIC Innovative Plastics B.V.;BERGEN OP ZOOM;345822;337011;254469;242452;198050;195074;164878;203221;231952;215625;199888;214754;190662;BU07480306;GM0748;4612.0;4612PX;BU07480306;GM0748;4612.0;4612PX;BU07480306;GM0748;4612.0;4612PX;False;False;False;51.50732627000405;4.255984416372507;WarmteAtlas:CO2emissieETSbedrijven;;;
10;NL-200400015a;SABIC Innovative Plastics B.V. BKG 2;SABIC Innovative Plastics B.V.;BERGEN OP ZOOM;3680;2042;0;0;0;0;0;0;0;0;0;0;0;BU07480306;GM0748;4612.0;4612PX;BU07480306;GM0748;4612.0;4612PX;BU07480306;GM0748;4612.0;4612PX;False;False;False;51.50732627000405;4.255984416372507;WarmteAtlas:CO2emissieETSbedrijven;;;
11;NL-200400016;Smurfit Kappa Roermond Papier B.V.;Smurfit Kappa Roermond Papier B.V.;ROERMOND;162738;161698;162672;152862;154422;150166;147646;155444;153766;149144;146724;149758;146364;BU09570004;GM0957;6041.0;6041TA;BU09570004;GM0957;6041.0;6041TA;BU09570004;GM0957;6041.0;6041TA;False;False;False;51.205719610803456;6.000867200433971;WarmteAtlas:CO2emissieETSbedrijven;;;
12;NL-200400017;BP Raffinaderij Rotterdam B.V.;BP Raffinaderij Rotterdam B.V.;EUROPOORT-ROTTERDAM;1994474;2313661;2337784;2292349;2073778;2254344;2151299;2027330;2117592;1938767;2137686;2051725;2070453;BU05992307;GM0599;3198.0;3198NA;BU05992307;GM0599;3198.0;3198NA;BU05992307;GM0599;3198.0;3198NA;False;False;False;51.93957140798825;4.103617089430287;WarmteAtlas:CO2emissieETSbedrijven;;;
13;NL-200400018;Parenco B.V.;Smurfit Kappa Parenco B.V.;RENKUM;75962;34030;18800;39721;87383;87035;102954;101314;100393;86583;80875;81689;79797;BU02740101;GM0274;6871.0;6871AV;BU02740101;GM0274;6871.0;6871AV;BU02740101;GM0274;6871.0;6871AV;False;False;False;51.970336785222635;5.726680834567412;WarmteAtlas:CO2emissieETSbedrijven;;;
14;NL-200400019;Vattenfall Centrale Hemweg;Vattenfall Power Generation Netherlands B.V.;AMSTERDAM;4177886;2656850;4195699;3996099;3354315;3610074;3215867;860704;686732;628372;636535;476839;639359;BU0363BA04;GM0363;1041.0;1041AB;BU0363BA04;GM0363;1041.0;1041AB;BU0363BA04;GM0363;1041.0;1041AB;False;False;False;52.40459458567543;4.851840778796088;WarmteAtlas:CO2emissieETSbedrijven;;;
15;NL-200400020;Rockwool B.V.;Rockwool B.V.;ROERMOND;120662;125766;125405;134151;142378;158865;154189;137915;143719;134271;100914;109180;118210;BU09570202;GM0957;6045.0;6045JG;BU09570202;GM0957;6045.0;6045JG;BU09570202;GM0957;6045.0;6045JG;False;False;False;51.17013606084126;6.04292930119071;WarmteAtlas:CO2emissieETSbedrijven;;;
16;NL-200400021;Shell Nederland Raffinaderij B.V.;SHELL Nederland Raffinaderij B.V.;HOOGVLIET-ROTTERDAM;4388557;4264890;4262006;4253935;3831099;4210638;4357580;4128285;4377123;4143614;4208347;4101914;4204674;BU05992295;GM0599;3196.0;3196KK;BU05992295;GM0599;3196.0;3196KD;BU05992295;GM0599;3196.0;3196KD;False;False;False;51.87603967796636;4.346615527791536;WarmteAtlas:CO2emissieETSbedrijven;;;
17;NL-200400022;Abbott Healthcare Products BV;Abbott Healthcare Products B.V.;WEESP;14230;13366;13485;12830;12632;12222;10806;10585;12088;10724;11162;11386;9926;BU0363SD02;GM0363;1381.0;1381CP;BU0363SD02;GM0363;1381.0;1381CP;BU0363SD02;GM0363;1381.0;1381CP;False;False;False;52.30345402853491;5.0362257617726405;WarmteAtlas:CO2emissieETSbedrijven;;;
