PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
149;NL-200400172;ENGIE E&P Nederland B.V., L10-A platform;Neptune Energy Netherlands B.V.;ZOETERMEER;72440;70738;70479;53297;63024;79758;74604;68970;72315;72334;63975;59634;62683;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;53.46770347981012;3.9566814244450095;WarmteAtlas:CO2emissieETSbedrijven;;;
151;NL-200400175;ENGIE E&P Nederland B.V., K12-B platform;Neptune Energy Netherlands B.V.;ZOETERMEER;33438;39985;42973;33236;33463;36640;892;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;53.3778773054098;3.95966881690697;WarmteAtlas:CO2emissieETSbedrijven;;;
163;NL-200400190;Total offshore platform L7 Central Complex;Total E&P Nederland B.V.;DEN HAAG;66935;61872;62737;46660;17700;0;0;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.087579992164045;3.324386084415636;WarmteAtlas:CO2emissieETSbedrijven;;;
164;NL-200400191;Total offshore platform F15A;Total E&P Nederland B.V.;DEN HAAG;20310;20368;22621;21254;22478;3767;3297;16064;24331;23263;18605;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.19291943711576;4.697938572175937;WarmteAtlas:CO2emissieETSbedrijven;;;
165;NL-200400192;Total offshore platform K6 Central Complex;Total E&P Nederland B.V.;DEN HAAG;55994;55091;52402;58284;58046;55553;58364;57584;54509;54427;52807;53003;51866;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.179852276963054;3.4730178257485;WarmteAtlas:CO2emissieETSbedrijven;;;
166;NL-200400193;Total offshore platform K5 Central Complex;Total E&P Nederland B.V.;DEN HAAG;107961;101785;119167;119669;108962;100982;96039;93225;96232;92481;79839;82294;74602;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.17862749911816;3.396494243719015;WarmteAtlas:CO2emissieETSbedrijven;;;
234;NL-200400279;NAM B.V., locatie L9-FF-1;Nederlandse Aardolie Maatschappij B.V.;ASSEN;54794;62820;64059;55293;64511;64243;58603;65590;63479;59438;55730;59085;58527;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;53.59214112539214;4.934168314378939;WarmteAtlas:CO2emissieETSbedrijven;;;
235;NL-200400280;NAM B.V. locatie K14-FA-1C/P;Nederlandse Aardolie Maatschappij B.V.;ASSEN;130489;114441;126961;130426;122720;138140;140582;132353;138334;115751;122549;123789;104036;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;53.366624033889984;3.2087671167122775;WarmteAtlas:CO2emissieETSbedrijven;;;
239;NL-200400285;ENGIE E&P Nederland B.V., F3-FB-1 platform;Neptune Energy Netherlands B.V.;ZOETERMEER;56779;55538;52860;53311;45753;55084;49699;53720;54940;49319;57348;40610;55687;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.87602068065836;4.807965406196289;WarmteAtlas:CO2emissieETSbedrijven;;;
364;NL-200800059;A12/CPP Petrogas E&P Netherlands B.V.;Petrogas E&P Netherlands B.V.;VOORBURG;63616;64574;63192;66617;68273;64004;67061;65654;69697;62732;55979;63831;61243;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;55.344201660240124;3.890800080935291;WarmteAtlas:CO2emissieETSbedrijven;;;
