Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
P. van Oosterhout Beheer BV;;076-5873383;20068066.0;BREDA;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU07580102;GM0758;4826.0;4826JA;BU07580102;GM0758;4826.0;4826JA;BU07580102;GM0758;4826.0;4826JA;False;False;False;51.6084000055565;4.787039999959771;WarmteAtlas:CondensWarmte;;;
Vion Apeldoorn BV;www.vionfood.com;;8035667.0;APELDOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU02000406;GM0200;7333.0;7333NP;BU02000406;GM0200;7333.0;7333NP;BU02000406;GM0200;7333.0;7333NP;False;False;False;52.17960000535066;5.975310001618399;WarmteAtlas:CondensWarmte;;;
Tieben Vlees BV;www.tiebenvlees.nl;0599-417002;55363318.0;MUSSELKANAAL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU00370201;GM0037;9581.0;9581EJ;BU00370201;GM0037;9581.0;9581EJ;BU00370201;GM0037;9581.0;9581EJ;False;False;False;52.92540000615026;7.0285300034633496;WarmteAtlas:CondensWarmte;;;
Prime Meat BV;www.primemeat.nl;0251-268250;37047662.0;BEVERWIJK;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU03750901;GM0375;1948.0;1948RL;BU03750901;GM0375;1948.0;1948RL;BU03750901;GM0375;1948.0;1948RL;False;False;False;52.46560000612444;4.670440000707513;WarmteAtlas:CondensWarmte;;;
Yakhlaf VOF;www.yakhlaf.nl;075-6702369;35019788.0;ZAANDAM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU04792120;GM0479;1507.0;1507BR;BU04792121;GM0479;1507.0;1507BR;BU04792121;GM0479;1507.0;1507BR;True;False;False;52.42980000554415;4.816820000471306;WarmteAtlas:CondensWarmte;;;
T. Boer en Zonen BV;www.boer.com;0180-395395;29021606.0;NIEUWERKERK AD IJSSEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU18920492;GM1892;2911.0;2911CJ;BU18920492;GM1892;2911.0;2911CJ;BU18920492;GM1892;2911.0;2911CJ;False;False;False;51.95630000520719;4.618010000735019;WarmteAtlas:CondensWarmte;;;
Uitbeenstichting Goedegebuur;www.goedegebuur.nl;010-2452600;24299522.0;ROTTERDAM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU05991853;GM0599;3044.0;3044CE;BU05991853;GM0599;3044.0;3044CE;BU05991853;GM0599;3044.0;3044CE;False;False;False;51.936100005037844;4.416890000978904;WarmteAtlas:CondensWarmte;;;
Slachthuis Kerkrade BV;;045-5458683;14080867.0;KERKRADE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU09280100;GM0928;6466.0;6466XW;BU09280100;GM0928;6466.0;6466XW;BU09280100;GM0928;6466.0;6466XW;False;False;False;50.86340000441611;6.052940001247712;WarmteAtlas:CondensWarmte;;;
Slachthuis Henk van Kemenade BV;;0493-695660;17092984.0;ASTEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU07430101;GM0743;5721.0;5721VV;BU07430101;GM0743;5721.0;5721VV;BU07430101;GM0743;5721.0;5721VV;False;False;False;51.41530000543548;5.745960002073218;WarmteAtlas:CondensWarmte;;;
Wouters Vleesverwerking BV;www.toppers4jobs.nl;0527-611818;5068860.0;BLOKZIJL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU17081601;GM1708;8356.0;8356VJ;BU17081601;GM1708;8356.0;8356VJ;BU17081601;GM1708;8356.0;8356VJ;False;False;False;52.72260000584065;5.950810002407455;WarmteAtlas:CondensWarmte;;;
