Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Sonac Eindhoven BV;;0511-467333;59078499.0;SUMAR;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
Hoogland Vis BV;www.hooglandvis.nl;0229-214874;37088733.0;HOORN NH;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
LK Filiaalexploitatie BV;;010-4378877;24360980.0;ROTTERDAM;1071;Vervaardiging van brood en vers banketbakkerswerk;Biogas&Meststoffen;BioMassa;BioProductie;15;1.786069;0.675134;24000;45.288;0.857603;30000;56000;27.154;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
VOF F. den Butter & Zonen;;071-3316968;34012644.0;OUDE WETERING;1071;Vervaardiging van brood en vers banketbakkerswerk;Biogas&Meststoffen;BioMassa;BioProductie;15;1.786069;0.675134;24000;45.288;0.857603;30000;56000;27.154;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
UCC Coffee Benelux BV;;073-6871411;34289144.0;'S-HERTOGENBOSCH;1083;Verwerking van koffie en thee;Biogas&Meststoffen;BioMassa;BioProductie;150;39.855629;9.221691;324000;611.388;11.71404;411000;769000;371.063;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
C1000 Filialen BV;;045-5458743;31036508.0;KERKRADE;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;EnergieEfficientie&Recycling;;CirculerendeHandel;15;0.239584;0.787113;28000;52.836;0.999846;35000;66000;31.329;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
C1000 Filialen BV;www.c1000.nl;0174-514698;31036508.0;DE LIER;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;EnergieEfficientie&Recycling;;CirculerendeHandel;15;0.239584;0.787113;28000;52.836;0.999846;35000;66000;31.329;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
C1000 Filialen BV;;0347-326282;31036508.0;VIANEN UT;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;EnergieEfficientie&Recycling;;CirculerendeHandel;75;1.197919;3.935564;138000;260.406;4.99923;176000;328000;159.584;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
Koekela BV;www.koekela.nl;010-4364774;24337521.0;ROTTERDAM;1071;Vervaardiging van brood en vers banketbakkerswerk;Biogas&Meststoffen;BioMassa;BioProductie;15;1.786069;0.675134;24000;45.288;0.857603;30000;56000;27.154;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
Bakkerij Remmerswaal BV;;070-3270198;27325174.0;LEIDSCHENDAM;1071;Vervaardiging van brood en vers banketbakkerswerk;Biogas&Meststoffen;BioMassa;BioProductie;35;4.167494;1.575313;55000;103.785;2.001073;70000;131000;63.184;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:CondensWarmte;;;
