PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
0;1Transvir;Rigastraat;18;Deventer;7418 EW;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;210725;472581;BU01500705;GM0150;7418;7418EW;BU01500705;GM0150;7418;7418EW;BU01500705;GM0150;7418;7418EW;False;False;False;52.23846642615056;6.203024978972506;WarmteAtlas:DataCentraWarmte_2021;;;
9;Cellnex;Energieweg;2;Alphen a/d Rijn;2404 HE;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;104289;461229;BU04840402;GM0484;2404;2404HE;BU04840402;GM0484;2404;2404HE;BU04840402;GM0484;2404;2404HE;False;False;False;52.13692935513115;4.646478696556297;WarmteAtlas:DataCentraWarmte_2021;;;
10;Cellnex;Louise Henriëttestraat;385;Den Haag;2595 TS;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;82939;455238;BU05182665;GM0518;2595;2595TS;BU05182665;GM0518;2595;2595TS;BU05182665;GM0518;2595;2595TS;False;False;False;52.08071907021334;4.335933875450613;WarmteAtlas:DataCentraWarmte_2021;;;
11;Cellnex;Cornelisweg;10;Goes;4463 AK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;50686;392388;BU06640105;GM0664;4463;4463AK;BU06640105;GM0664;4463;4463AK;BU06640105;GM0664;4463;4463AK;False;False;False;51.51082292507743;3.884478511373188;WarmteAtlas:DataCentraWarmte_2021;;;
12;Cellnex;Koos Postemalaan;2;Hilversum;1217 ZC;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;140105;472603;BU04020206;GM0402;1217;1217ZC;BU04020206;GM0402;1217;1217ZC;BU04020206;GM0402;1217;1217ZC;False;False;False;52.24128171753814;5.16912830878212;WarmteAtlas:DataCentraWarmte_2021;;;
13;Cellnex;Van Veenstraat;26;Hoogersmilde;9423 VB;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;223382;546668;BU17310809;GM1731;9423;9423VB;BU17310809;GM1731;9423;9423VB;BU17310809;GM1731;9423;9423VB;False;False;False;52.90278815742134;6.403537548159985;WarmteAtlas:DataCentraWarmte_2021;;;
14;Cellnex;Hogebiezendijk;21;Ijsselstein;3401 RS;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;132093;446907;BU03530015;GM0353;3401;3401RS;BU03530015;GM0353;3401;3401RS;BU03530015;GM0353;3401;3401RS;False;False;False;52.010055412998845;5.053556167888452;WarmteAtlas:DataCentraWarmte_2021;;;
15;Cellnex;Larenseweg;58;Markelo;7475 PX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;227027;472617;BU17350206;GM1735;7475;7475PX;BU17350206;GM1735;7475;7475PX;BU17350206;GM1735;7475;7475PX;False;False;False;52.236900210548974;6.441661672858091;WarmteAtlas:DataCentraWarmte_2021;;;
16;Cellnex;Op de Meuleberg;7;Roermond;6041 NK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196164;355128;BU09570002;GM0957;6041;6041NK;BU09570002;GM0957;6041;6041NK;BU09570002;GM0957;6041;6041NK;False;False;False;51.1840772272247;5.975948444564439;WarmteAtlas:DataCentraWarmte_2021;;;
17;Cogent;Haarlemmerstraatweg;133;Halfweg;1165 MK;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;109382;488727;BU03942273;GM0394;1165;1165MK;BU03942273;GM0394;1165;1165MK;BU03942273;GM0394;1165;1165MK;False;False;False;52.38450467025887;4.717155013417667;WarmteAtlas:DataCentraWarmte_2021;;;
