PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
12;Cellnex;Koos Postemalaan;2;Hilversum;1217 ZC;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;140105;472603;;GM0402;1217.0;;;GM0402;1217.0;;;GM0402;1217.0;;False;False;False;52.24128171753814;5.16912830878212;WarmteAtlas:DataCentraWarmte_2021;;;
14;Cellnex;Hogebiezendijk;21;Ijsselstein;3401 RS;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;132093;446907;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.010055412998845;5.053556167888452;WarmteAtlas:DataCentraWarmte_2021;;;
18;Colt;Van der Madeweg;12;Duivendrecht;1114 AM;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123573;482358;;GM0437;1114.0;;;GM0437;1114.0;;;GM0437;1114.0;;False;False;False;52.32826011033019;4.926183276702695;WarmteAtlas:DataCentraWarmte_2021;;;
1;AtlasEdge;Van der Madeweg;12;Amsterdam;1114 AM;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123573;482358;;GM0437;1114.0;;;GM0437;1114.0;;;GM0437;1114.0;;False;False;False;52.32826011033019;4.926183276702695;WarmteAtlas:DataCentraWarmte_2021;;;
22;Data Facilities;Boyleweg;2;Spijkenisse;3208 KA;2;Klein;200-1000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;80231;430207;;GM1930;3208.0;;;GM1930;3208.0;;;GM1930;3208.0;;False;False;False;51.85540963097076;4.301888730005745;WarmteAtlas:DataCentraWarmte_2021;;;
36;Dataplace;Gragtmansstraat;1B;Waalwijk;5145 RA;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(3) uitkoppeling van warmte vraagt enige investering;130884;411935;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69566933000341;5.038389713930893;WarmteAtlas:DataCentraWarmte_2021;;;
104;NorthC;Frieslandhaven;6;Nieuwegein;3433 PC;4;Middel-klein;2000-5000;5-12;22-44;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;135581;447761;;GM0356;;;;GM0356;;;;GM0356;;;False;False;False;52.01786418808571;5.1043107868892905;WarmteAtlas:DataCentraWarmte_2021;;;
124;Switch;Keienbergweg;22;Amsterdam;1101 GB;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(2) uitkoppeling warmte is voorbereid;124230;480270;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.309531509435;4.9360115161426075;WarmteAtlas:DataCentraWarmte_2021;;;
125;Switch;Treubweg;9;Diemen;1112 BA;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;30-35;(2) uitkoppeling warmte is voorbereid;126786;482707;;GM0384;1112.0;;;GM0384;1112.0;;;GM0384;1112.0;;False;False;False;52.33157097565042;4.97328616050233;WarmteAtlas:DataCentraWarmte_2021;;;
126;Switch;Polanerbaan;1;Woerden;3447 GN;4;Middel-klein;2000-5000;2,5-5;8,8-22;6-15;12-30;30-35;(2) uitkoppeling warmte is voorbereid;121076;455014;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.082355558690914;4.892290720407357;WarmteAtlas:DataCentraWarmte_2021;;;
130;Verizon;Kollenbergweg;13;Amsterdam;1101 AT;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;25-30;(4) uitkoppeling pas mogelijk na een grote investering;124200;479771;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30504509212947;4.935617198592856;WarmteAtlas:DataCentraWarmte_2021;;;
