Bedrijf;Straat;Nr;Postcode;Stad;Categorie;NettoRuimte;EnergieVerbruik;Warmte_LT;El_MTWP_T40;Warmte_T40;RedCO2_T40;El_HTWP_T70;Warmte_T70;RedCO2_T70;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
@Xit;Takkebijsters;9b;4817BL;Breda;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU07580204;GM0758;4817;4817BL;BU07580204;GM0758;4817;4817BL;BU07580204;GM0758;4817;4817BL;False;False;False;51.59506268202033;4.823257339341958;WarmteAtlas:DataCentraWarmte;;;
BIT-2A;Galileilaan;19;6716BP;Ede;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte;;;
BIT-2B;GalileÃ¯laan;19;6716BP;Ede;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte;;;
BIT-2C;GalileÃ¯laan;19;6716BP;Ede;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte;;;
BIT-2D;GalileÃ¯laan;19;6716BP;Ede;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte;;;
Bytesnet - Groningen;Friesestraatweg;219;9743AD;Groningen Zernike;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU00140903;GM0014;9743;9743AD;BU00140903;GM0014;9743;9743AD;BU00140903;GM0014;9743;9743AD;False;False;False;53.2309555995335;6.531517755129576;WarmteAtlas:DataCentraWarmte;;;
Bytesnet - Spaanse kubus;Schuttevaerweg;48;3044BB;Rotterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;False;False;False;51.930598687003496;4.413937417445806;WarmteAtlas:DataCentraWarmte;;;
Century Link Amsterdam;Stekkenbergweg;3;1105AH;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363TA04;GM0363;1105;1105AH;BU0363TA04;GM0363;1105;1105AH;BU0363TA04;GM0363;1105;1105AH;False;False;False;52.295734776778914;4.94541600693187;WarmteAtlas:DataCentraWarmte;;;
Cogent Datacenter Amsterdam;Haarlemmerstraatweg;135;1165MK;Halfweg;Middel-groot;10000 - 40000 m2;44 - 175 GWh/jr;34 - 135 GWh;11 - 45 GWh;45 - 180 GWh;6 - 22 kton CO2/jr;7 - 27 GWh;40 - 162 GWh;6 - 24 kton CO2/jr;BU03942273;GM0394;1165;1165MK;BU03942273;GM0394;1165;1165MK;BU03942273;GM0394;1165;1165MK;False;False;False;52.38450467025887;4.717155013417667;WarmteAtlas:DataCentraWarmte;;;
Colt - Duivendrecht;van der Madeweg;12;1099BT;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU04370002;GM0437;1114;1114AM;BU04370002;GM0437;1114;1114AM;BU04370002;GM0437;1114;1114AM;False;False;False;52.32825977300959;4.92618620387868;WarmteAtlas:DataCentraWarmte;;;
Colt - Oud Zuid;Luchtvaartstraat;1;1059CA;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363KA06;GM0363;1059;1059CA;BU0363KA06;GM0363;1059;1059CA;BU0363KA06;GM0363;1059;1059CA;False;False;False;52.34322898209186;4.844524536675318;WarmteAtlas:DataCentraWarmte;;;
Alticom Den Haag;Louise HenriÃ«ttestraat;385;2595BK;Den Haag;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU05182665;GM0518;2595;2595TS;BU05182665;GM0518;2595;2595TS;BU05182665;GM0518;2595;2595TS;False;False;False;52.08072212364636;4.335933570255461;WarmteAtlas:DataCentraWarmte;;;
Colt - Roosendaal;Argonweg;9;4706NR;Roosendaal;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU16740803;GM1674;4706;4706NR;BU16740803;GM1674;4706;4706NR;BU16740803;GM1674;4706;4706NR;False;False;False;51.53944581293868;4.50769645003689;WarmteAtlas:DataCentraWarmte;;;
Data Exchange Europe;Hofstraat;2;6161AR;Geleen;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU18830501;GM1883;6161;6161AR;BU18830501;GM1883;6161;6161AR;BU18830501;GM1883;6161;6161AR;False;False;False;50.96206928565239;5.8207140630202465;WarmteAtlas:DataCentraWarmte;;;
Data Facilities Spijkenisse;Boyleweg;2;3208KA;Spijkenisse;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU19301601;GM1930;3208;3208KA;BU19301601;GM1930;3208;3208KA;BU19301601;GM1930;3208;3208KA;False;False;False;51.85541199669662;4.301883069684359;WarmteAtlas:DataCentraWarmte;;;
Data Facilities The Hague;Moezel;3;2491 CV;Den Haag;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU05184317;GM0518;2491;2491CV;BU05184317;GM0518;2491;2491CV;BU05184317;GM0518;2491;2491CV;False;False;False;52.06472986160787;4.386665866226563;WarmteAtlas:DataCentraWarmte;;;
Databarn Amsterdam B.V.;Zekeringstraat;35;1014BV;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363BB07;GM0363;1014;1014BV;BU0363BB07;GM0363;1014;1014BV;BU0363BB07;GM0363;1014;1014BV;False;False;False;52.39642163998756;4.851146110393799;WarmteAtlas:DataCentraWarmte;;;
Databarn Rivium B.V.;Rivium Boulevard;62;2909LK;Rotterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU05020997;GM0502;2909;2909LK;BU05020997;GM0502;2909;2909LK;BU05020997;GM0502;2909;2909LK;False;False;False;51.91023301642762;4.54670729021074;WarmteAtlas:DataCentraWarmte;;;
Datacenter Brabant;Gragtmansstraat;1;5145RA;Waalwijk;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;BU08670010;GM0867;5145;5145RA;False;False;False;51.695668283317715;5.038391385359802;WarmteAtlas:DataCentraWarmte;;;
Datacenter Nedzone;Drukkerij;6;4651SL;Steenbergen;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU08510008;GM0851;4651;4651SL;BU08510008;GM0851;4651;4651SL;BU08510008;GM0851;4651;4651SL;False;False;False;51.58753527403827;4.30505503826219;WarmteAtlas:DataCentraWarmte;;;
Datacenter NoordHolland;Professor van der Waalstraat;1;1821BT;Alkmaar;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU03610203;GM0361;1821;1821BT;BU03610203;GM0361;1821;1821BT;BU03610203;GM0361;1821;1821BT;False;False;False;52.62567544617135;4.770492048776823;WarmteAtlas:DataCentraWarmte;;;
