Bedrijf;Straat;Nr;Postcode;Stad;Categorie;NettoRuimte;EnergieVerbruik;Warmte_LT;El_MTWP_T40;Warmte_T40;RedCO2_T40;El_HTWP_T70;Warmte_T70;RedCO2_T70;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Century Link Amsterdam;Stekkenbergweg;3;1105AH;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;;GM0363;1105.0;;;GM0363;1105.0;;;GM0363;1105.0;;False;False;False;52.295734776778914;4.94541600693187;WarmteAtlas:DataCentraWarmte;;;
Colt - Duivendrecht;van der Madeweg;12;1099BT;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;;GM0437;1114.0;;;GM0437;1114.0;;;GM0437;1114.0;;False;False;False;52.32825977300959;4.92618620387868;WarmteAtlas:DataCentraWarmte;;;
Data Facilities Spijkenisse;Boyleweg;2;3208KA;Spijkenisse;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM1930;3208.0;;;GM1930;3208.0;;;GM1930;3208.0;;False;False;False;51.85541199669662;4.301883069684359;WarmteAtlas:DataCentraWarmte;;;
Datacenter Brabant;Gragtmansstraat;1;5145RA;Waalwijk;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.695668283317715;5.038391385359802;WarmteAtlas:DataCentraWarmte;;;
Datacenter.com;Keienbergweg;22;1101GB;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30952252198628;4.9360116073890925;WarmteAtlas:DataCentraWarmte;;;
Equinix AM1;Luttenbergweg;4;1101EC;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte;;;
Equinix AM2;Luttenbergweg;4;1101EC;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte;;;
Alticom IJsselstein;Hogebiezendijk;21;3401RS;IJsselstein;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.010055442984594;5.0535604061817345;WarmteAtlas:DataCentraWarmte;;;
Equinix AM5;Schepenbergweg;42;1105AT;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1105.0;;;GM0363;1105.0;;;GM0363;1105.0;;False;False;False;52.293749320259195;4.945511518684128;WarmteAtlas:DataCentraWarmte;;;
Switch Datacenters - Amsterdam;Lemelerbergweg;28;1101AH;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.3040255267329;4.939307645414352;WarmteAtlas:DataCentraWarmte;;;
Switch Datacenters - Woerden;Polanerbaan;1;3447GN;Woerden;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.08235665743739;4.892295522628374;WarmteAtlas:DataCentraWarmte;;;
Verizon Joan Muyskenweg;Joan Muyskenweg;24;1096CJ;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM0363;1096.0;;;GM0363;1096.0;;;GM0363;1096.0;;False;False;False;52.33240933286888;4.9140072096525325;WarmteAtlas:DataCentraWarmte;;;
Verizon - Kollenbergweg;Kollenbergweg;13;1101AR;Amsterdam Zuid-Oost;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30504509212947;4.935617198592856;WarmteAtlas:DataCentraWarmte;;;
Eurofiber - Eurofiber Datacenter Utrecht;Safariweg;25-31;3605 MA;Maarssen;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.135231189343976;5.033536152469845;WarmteAtlas:DataCentraWarmte;;;
Equinix AM7;Kuiperbergweg;13;1101AE;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1101.0;;;GM0363;1101.0;;;GM0363;1101.0;;False;False;False;52.30305864172537;4.937939218057058;WarmteAtlas:DataCentraWarmte;;;
Ericsson Broadcast Services;Koos Postemalaan;2;1217ZC;Hilversum;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM0402;1217.0;;;GM0402;1217.0;;;GM0402;1217.0;;False;False;False;52.24127896400154;5.169131411487906;WarmteAtlas:DataCentraWarmte;;;
euNetworks;Paul van Vlissingenstraat;16;1096BK;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;;GM0363;1096.0;;;GM0363;1096.0;;;GM0363;1096.0;;False;False;False;52.332871470736684;4.919474661714115;WarmteAtlas:DataCentraWarmte;;;
Greenhouse Datacenters B.V.;Industriestraat;24;2671CT;Naaldwijk;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;;GM1783;2671.0;;;GM1783;2671.0;;;GM1783;2671.0;;False;False;False;52.001217079708134;4.210810470890112;WarmteAtlas:DataCentraWarmte;;;
KPN Datacenter Amsterdam;Paalbergweg;1-3;1105AG;Amsterdam-Zuidoost;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;;GM0363;1105.0;;;GM0363;1105.0;;;GM0363;1105.0;;False;False;False;52.30026068307708;4.955108993162774;WarmteAtlas:DataCentraWarmte;;;
