gml_id;bronactualiteit;type;opp_m2;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
nl.top10nl.100007807;2018-01-01;transformatorstation;4809;BU19630800;GM1963;3286.0;3286AN;BU19630800;GM1963;3286.0;3286AN;BU19630800;GM1963;3286.0;3286AN;False;False;False;51.7687365494825;4.448852067334339;MULTIPOLYGON (((4.448554 51.769235, 4.449128 51.769247, 4.449191 51.768213, 4.448753 51.768202, 4.448701 51.768249, 4.448605 51.768248, 4.44858 51.768805, 4.448418 51.768799, 4.448412 51.768799, 4.448406 51.768865, 4.448403 51.768905, 4.448403 51.768969, 4.44839 51.768969, 4.448388 51.768998, 4.448565 51.768999, 4.448554 51.769235)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100008097;2016-01-01;transformatorstation;6293;BU03441041;GM0344;3545.0;3545NL;BU03441041;GM0344;3545.0;3545NL;BU03441041;GM0344;3545.0;3545NL;False;False;False;52.06510525016954;5.055246066870514;MULTIPOLYGON (((5.054443 52.064934, 5.054679 52.065497, 5.056052 52.065277, 5.056048 52.065267, 5.055809 52.064713, 5.054443 52.064934)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100008378;2016-01-01;transformatorstation;11968;BU19040401;GM1904;3626.0;3626AA;BU19040401;GM1904;3626.0;3626AA;BU19040401;GM1904;3626.0;3626AA;False;False;False;52.18845443760048;4.9929159163102135;MULTIPOLYGON (((4.99352 52.189073, 4.993802 52.188259, 4.992678 52.187699, 4.991892 52.188638, 4.992777 52.188998, 4.99352 52.189073)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100006971;2016-01-01;transformatorstation;15170;BU17140509;GM1714;4507.0;4507KR;BU17140509;GM1714;4507.0;4507KR;BU17140509;GM1714;4507.0;4507KR;False;False;False;51.33859969668506;3.5098211448464673;MULTIPOLYGON (((3.509933 51.339393, 3.511015 51.338324, 3.509717 51.337807, 3.509312 51.338197, 3.508641 51.33886, 3.508629 51.338876, 3.509933 51.339393)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100008498;2016-01-01;transformatorstation;13348;BU03420702;GM0342;3768.0;3768MP;BU03420702;GM0342;3768.0;3768MP;BU03420702;GM0342;3768.0;3768MP;False;False;False;52.16736986143098;5.340981830956024;MULTIPOLYGON (((5.34052 52.168093, 5.341896 52.16786, 5.34188 52.167823, 5.341858 52.167777, 5.341469 52.166921, 5.341319 52.166589, 5.341109 52.166476, 5.340378 52.16699, 5.340126 52.167167, 5.340094 52.167186, 5.34052 52.168093)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100008671;2016-01-01;transformatorstation;23351;BU00500007;GM0050;3897.0;3897LN;BU00500007;GM0050;3897.0;3897LN;BU00500007;GM0050;3897.0;3897LN;False;False;False;52.34600204750921;5.46015069236582;MULTIPOLYGON (((5.460496 52.34695, 5.461728 52.345879, 5.459809 52.345052, 5.458564 52.346138, 5.458774 52.346225, 5.458815 52.34623, 5.460496 52.34695)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100008807;2016-01-01;transformatorstation;27215;BU04201403;GM0420;1684.0;1684NG;BU04201403;GM0420;1684.0;1684NG;BU04201403;GM0420;1684.0;1684NG;False;False;False;52.69640106768485;5.116174123739384;MULTIPOLYGON (((5.115445 52.696144, 5.114661 52.697048, 5.115639 52.697366, 5.115703 52.697491, 5.115559 52.697652, 5.115661 52.697687, 5.115805 52.697527, 5.116014 52.697488, 5.116198 52.697547, 5.116803 52.696854, 5.117597 52.695943, 5.117281 52.695839, 5.11746 52.695639, 5.1165 52.695326, 5.116128 52.695202, 5.115705 52.695675, 5.115633 52.695763, 5.115622 52.695777, 5.115735 52.695811, 5.115445 52.696144)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100007058;2016-01-01;transformatorstation;23848;BU07151401;GM0715;4551.0;4551LH;BU07151401;GM0715;4551.0;4551LH;BU07151401;GM0715;4551.0;4551LH;False;False;False;51.26438889224872;3.8290929445693718;MULTIPOLYGON (((3.82981 51.264929, 3.830471 51.264769, 3.830488 51.264765, 3.830463 51.264726, 3.830266 51.264387, 3.829952 51.263858, 3.82967 51.263374, 3.829446 51.263429, 3.829083 51.263509, 3.828828 51.263575, 3.828964 51.263792, 3.827926 51.26404, 3.82804 51.264248, 3.827721 51.264323, 3.828061 51.264901, 3.828289 51.265286, 3.82981 51.264929)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100007193;2016-01-01;transformatorstation;8985;BU19241202;GM1924;3243.0;3243LJ;BU19241202;GM1924;3243.0;3243LJ;BU19241202;GM1924;3243.0;3243LJ;False;False;False;51.74610499864123;4.201833453009641;MULTIPOLYGON (((4.200807 51.746207, 4.200838 51.746226, 4.201622 51.746709, 4.202129 51.746396, 4.202723 51.746034, 4.202863 51.745936, 4.202279 51.745573, 4.202011 51.745726, 4.201812 51.745607, 4.201321 51.745913, 4.200807 51.746207)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.100010430;2016-01-01;transformatorstation;7471;BU01630506;GM0163;7443.0;7443TB;BU01630506;GM0163;7443.0;7443TB;BU01630506;GM0163;7443.0;7443TB;False;False;False;52.371074423228684;6.4701624385284475;MULTIPOLYGON (((6.469905 52.370817, 6.469463 52.371101, 6.469436 52.371113, 6.469342 52.371155, 6.469329 52.371161, 6.469204 52.371218, 6.469119 52.371268, 6.470243 52.371602, 6.470292 52.371612, 6.47039 52.371631, 6.470528 52.37145, 6.470302 52.37134, 6.47047 52.371225, 6.470918 52.370939, 6.471087 52.370833, 6.470819 52.370679, 6.470369 52.370519, 6.469905 52.370817)));WarmteAtlas:EnergieTopo;;;
