PK_UID;Inst_Type;LandCode;Inst_Naam;Inst_id;EPRTR_id;lon;lat;Act_Code;Act_Group;Act_Class;Inrichting;Stad;Regio;StraatNaam;nr;MWth;StartDatum;VollastUr0;Categorie;Raffinage;Biomassa;Kolen;VastOverig;Vloeibaar;Aardgas;GasOverig;Totaal_TJ;SO2_ton;NOx_ton;Stof_ton;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
14;LCP;NL;Sappi Maastricht BV,Reserve installatie 24 MW / 100 ton;NL.RIVM/000060002.PART;NL.RIVM/000000060.FACILITY;5.695230001681773;50.857800002835596;17.12;Vervaardiging van papierpulp, papier en karton;Vervaardiging van papier en karton;Sappi Maastricht BV;Maastricht;Zuid-Limburg;Biesenweg;16;100.0;1984-10-12;;GasTurbine;N;0.0;0.0;0.0;0;549.37;0.0;549.37;0.0;66.0;0.0;2024;;GM0935;;;;GM0935;;;;GM0935;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
23;LCP;NL;Chemelot Site Permit BV,AFA OCI 2.1 REFORMER R-101;NL.RIVM/000062001.PART;NL.RIVM/000000062.FACILITY;5.7952300022494025;50.9886800033172;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;190.0;1967-01-01;;Others;N;0.0;0.0;0.0;0;3808.46;0.0;3808.46;0.31;253.0;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
32;LCP;NL;Chemelot Site Permit BV,AFA OCI 3.1 REFORMER R-3101;NL.RIVM/000062002.PART;NL.RIVM/000000062.FACILITY;5.79469000160522;50.989090003489935;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;190.0;1983-01-01;;Others;N;0.0;0.0;0.0;0;4321.27;0.0;4321.27;0.35;115.0;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
41;LCP;NL;Chemelot Site Permit BV,CENTRA USG 3 SCHOORSTEEN F-3400;NL.RIVM/000062004.PART;NL.RIVM/000000062.FACILITY;5.802180002332469;50.98565000310079;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;93.0;1978-01-01;;Others;N;0.0;0.0;0.0;0;772.54;517.66;1290.2;0.52;66.6;1.15;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
5;LCP;NL;Sappi Maastricht BV,Hoofdinstallatie 60 MW / 135 ton;NL.RIVM/000060001.PART;NL.RIVM/000000060.FACILITY;5.6952400020992595;50.85807000330042;17.12;Vervaardiging van papierpulp, papier en karton;Vervaardiging van papier en karton;Sappi Maastricht BV;Maastricht;Zuid-Limburg;Biesenweg;16;125.0;1995-12-18;;GasTurbine;N;0.0;0.0;0.0;0;1566.24;0.0;1566.24;0.0;78.6;0.0;2024;;GM0935;;;;GM0935;;;;GM0935;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
50;LCP;NL;Chemelot Site Permit BV,CENTRA USG 4 SCHOORSTEEN F-3500/1 (F-3500);NL.RIVM/000062005.PART;NL.RIVM/000000062.FACILITY;5.800620001801777;50.97892000332814;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;140.0;1978-01-01;;Boiler;N;0.0;0.0;0.0;0;0.0;1731.33;1731.33;0.05;32.8;0.73;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
100;LCP;NL;Chemelot Site Permit BV,Olefins 4 SABIC 1/6 KRAAKOVENS;NL.RIVM/000062012.PART;NL.RIVM/000000062.FACILITY;5.7978800019435095;50.96679000321814;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;858.0;1978-01-01;;Others;N;0.0;0.0;0.0;0;0.0;16897.15;16897.15;0.0;356.0;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
114;LCP;NL;Chemelot Site Permit BV,Olefins 3 SABIC 1 KRAAKOVENS;NL.RIVM/000062015.PART;NL.RIVM/000000062.FACILITY;5.796360002096485;50.95529000310075;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;477.0;1968-01-01;;Others;N;0.0;0.0;0.0;0;0.0;4165.91;4165.91;0.0;57.9;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
118;LCP;NL;Chemelot Site Permit BV,Olefins 3 SABIC 12 KRAAKOVEN F-101L;NL.RIVM/000062016.PART;NL.RIVM/000000062.FACILITY;5.795800002720923;50.95619000303603;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;477.0;1968-01-01;;Others;N;0.0;0.0;0.0;0;0.0;4165.91;4165.91;0.0;22.4;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
122;LCP;NL;Chemelot Site Permit BV,Olefins 3 SABIC 2 REGENERATIEOVENS;NL.RIVM/000062017.PART;NL.RIVM/000000062.FACILITY;5.793940002107475;50.955660003600975;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;477.0;1968-01-01;;Others;N;0.0;0.0;0.0;0;0.0;4165.91;4165.91;0.0;1.17;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
126;LCP;NL;Chemelot Site Permit BV,WKC-S RWE 1 AFGASSENKETEL 001;NL.RIVM/000062018.PART;NL.RIVM/000000062.FACILITY;5.790500002260869;50.971920003314274;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;315.0;1998-01-01;;Boiler;N;0.0;0.0;0.0;0;451.37;0.0;451.37;0.0;14.3;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
130;LCP;NL;Chemelot Site Permit BV,WKC-S RWE 2 AFGASSENKETEL 002;NL.RIVM/000062019.PART;NL.RIVM/000000062.FACILITY;5.79071000242634;50.971800003600734;20.16;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;Vervaardiging van kunststof in primaire vorm;Chemelot Site Permit BV;Geleen;Zuid-Limburg;Urmonderbaan;22;315.0;1998-01-01;;Boiler;N;0.0;0.0;0.0;0;567.43;0.0;567.43;0.0;18.0;0.0;2024;;GM1883;;;;GM1883;;;;GM1883;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
134;LCP;NL;Clauscentrale,Claus C1;NL.RIVM/004001002.PART;NL.RIVM/000004001.FACILITY;5.91012000236653;51.1542300036696;35.11;"Productie van elektriciteit; transmissie en distributie van elektriciteit en aardgas";Productie van elektriciteit;Clauscentrale;Maasbracht;Midden-Limburg;Voortstraat;19;771.0;2012-01-01;;GasTurbine;N;0.0;0.0;0.0;0;7574.02;0.0;7574.02;0.0;49.3;0.0;2024;;GM1641;;;;GM1641;;;;GM1641;;;False;False;False;WarmteAtlas:GroteStookInstallaties;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:52;
