gml_id;bronactualiteit;opp_m2;opp_ha;gas_m3;gas_GJ;warmte_m3;warmte_GJ;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
NL.TOP10NL.102434416;2006-01-01;498.4893;0.05;14955;473;14954.679015;473.315591;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96011271434811;4.230884662499666;MULTIPOLYGON (((4.230704 51.959946, 4.230804 51.960247, 4.231081 51.960212, 4.231028 51.960052, 4.230942 51.960062, 4.230922 51.960002, 4.23081 51.960016, 4.230784 51.959936, 4.230704 51.959946)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100839745;2010-01-01;285.542319;0.029;8566;271;8566.26957;271.122432;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.95396449014713;4.233836010184048;MULTIPOLYGON (((4.23382 51.954085, 4.234002 51.953895, 4.233852 51.953846, 4.233851 51.953847, 4.233767 51.953932, 4.233671 51.95403, 4.23382 51.954085)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100840374;2020-06-01;91537.018435;9.154;2746111;86914;2746110.55305;86914.399004;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.95921683175822;4.236140372359039;MULTIPOLYGON (((4.233833 51.962238, 4.23384 51.962219, 4.233906 51.962149, 4.233916 51.962145, 4.234094 51.961947, 4.234419 51.962059, 4.235116 51.961283, 4.235277 51.961339, 4.235689 51.960881, 4.235547 51.960832, 4.235964 51.960367, 4.235778 51.960304, 4.235848 51.960219, 4.236065 51.960293, 4.236314 51.960014, 4.23639 51.96004, 4.236482 51.959938, 4.236135 51.959819, 4.236179 51.959769, 4.236127 51.959751, 4.236259 51.959603, 4.236806 51.95979, 4.239874 51.956361, 4.239825 51.956345, 4.239845 51.956323, 4.239823 51.956316, 4.23858 51.955899, 4.238569 51.955912, 4.23843 51.955866, 4.236451 51.958087, 4.235363 51.959296, 4.235987 51.95951, 4.23581 51.959708, 4.235213 51.959504, 4.234797 51.959969, 4.234145 51.959746, 4.23234 51.961759, 4.233811 51.962262, 4.233833 51.962238)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100837394;2010-01-01;22614.187183;2.261;678426;21472;678425.615505;21472.170731;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.960848824963335;4.229325789639456;MULTIPOLYGON (((4.230637 51.960497, 4.230442 51.960422, 4.230592 51.960271, 4.229883 51.960037, 4.229696 51.960188, 4.229405 51.960089, 4.22902 51.960465, 4.229015 51.960463, 4.229001 51.960476, 4.228379 51.960241, 4.22768 51.960983, 4.229828 51.961759, 4.230075 51.961489, 4.230366 51.961198, 4.230574 51.96099, 4.230263 51.960872, 4.230432 51.960704, 4.230637 51.960497)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.126695132;2012-01-01;288022.711527;28.802;8640681;273478;8640681.345795;273477.564594;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.95947124377413;4.240862713748273;MULTIPOLYGON (((4.237494 51.963248, 4.238407 51.962244, 4.238479 51.962269, 4.239528 51.962636, 4.241269 51.960716, 4.243073 51.961348, 4.245119 51.959051, 4.246477 51.957536, 4.245827 51.957317, 4.244298 51.956794, 4.241216 51.955754, 4.240688 51.956332, 4.240646 51.956319, 4.240205 51.956808, 4.239924 51.957119, 4.240122 51.957186, 4.23868 51.95881, 4.237552 51.960068, 4.237289 51.959979, 4.237146 51.959938, 4.237128 51.959957, 4.236521 51.960636, 4.23641 51.960598, 4.235747 51.961337, 4.235949 51.961406, 4.235825 51.961546, 4.235056 51.96241, 4.235724 51.962648, 4.237494 51.963248), (4.240874 51.959558, 4.241111 51.959265, 4.241849 51.959507, 4.241593 51.959794, 4.240874 51.959558)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.129883405;2016-01-01;10636.458352;1.064;319094;10099;319093.75056;10099.317205;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.978868407765106;4.226568110547551;MULTIPOLYGON (((4.227259 51.979181, 4.227472 51.979019, 4.227571 51.97906, 4.227602 51.979035, 4.227556 51.979013, 4.227768 51.97885, 4.227664 51.978824, 4.227284 51.978722, 4.227241 51.978707, 4.227066 51.978642, 4.226873 51.978559, 4.226706 51.9785, 4.226353 51.97838, 4.22602 51.97828, 4.225407 51.978764, 4.226994 51.979517, 4.227351 51.979236, 4.227259 51.979181)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100836828;2015-01-01;54100.243661;5.41;1623007;51368;1623007.30983;51368.181356;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97002435693013;4.238046923329317;MULTIPOLYGON (((4.237751 51.971231, 4.237974 51.970965, 4.238235 51.971048, 4.238264 51.971013, 4.238718 51.970472, 4.238717 51.970472, 4.239387 51.96963, 4.239404 51.969609, 4.240204 51.968604, 4.239841 51.96849, 4.239787 51.968558, 4.239339 51.968424, 4.239292 51.96841, 4.239379 51.968302, 4.238482 51.968027, 4.236592 51.970383, 4.23626 51.970798, 4.236976 51.971019, 4.237136 51.97107, 4.236754 51.971536, 4.236262 51.972193, 4.237093 51.972442, 4.238 51.97133, 4.237968 51.971297, 4.237751 51.971231)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100841237;2012-01-01;4671.048426;0.467;140131;4435;140131.452795;4435.160481;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97194681751693;4.2379207564000145;MULTIPOLYGON (((4.23728 51.972365, 4.237314 51.972376, 4.237503 51.97243, 4.237785 51.972514, 4.237968 51.972279, 4.23856 51.971531, 4.238061 51.971378, 4.23728 51.972365)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360133;2010-01-01;690.043746;0.069;20701;655;20701.31238;655.196537;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96326528992622;4.237141653268395;MULTIPOLYGON (((4.236813 51.963233, 4.23688 51.963256, 4.237149 51.963352, 4.237353 51.963424, 4.23747 51.963298, 4.23693 51.963107, 4.236813 51.963233)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434872;2010-01-01;52261.482512;5.226;1567844;49622;1567844.475345;49622.277645;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96684006854611;4.238881253921552;MULTIPOLYGON (((4.240873 51.967964, 4.241686 51.966868, 4.240617 51.966565, 4.240839 51.966283, 4.240698 51.966239, 4.239922 51.96619, 4.239714 51.966174, 4.238777 51.966153, 4.238732 51.966107, 4.238349 51.966095, 4.237603 51.966071, 4.237319 51.966055, 4.236969 51.966014, 4.236413 51.965923, 4.236327 51.966041, 4.236003 51.966482, 4.235936 51.966465, 4.235708 51.966805, 4.236766 51.967103, 4.236929 51.966881, 4.237409 51.967018, 4.237311 51.967148, 4.237277 51.967199, 4.237805 51.967343, 4.23793 51.967173, 4.238173 51.96724, 4.238176 51.967236, 4.238627 51.967355, 4.238621 51.967365, 4.238861 51.967425, 4.238721 51.967622, 4.239611 51.967865, 4.239763 51.96765, 4.240873 51.967964)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434926;2010-01-01;34685.328211;3.469;1040560;32934;1040559.846345;32933.719137;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96510160707816;4.23820904193479;MULTIPOLYGON (((4.236308 51.965611, 4.236699 51.965698, 4.23697 51.965758, 4.236918 51.965848, 4.237278 51.965927, 4.237697 51.966021, 4.237721 51.96596, 4.237821 51.965744, 4.238823 51.965914, 4.238914 51.965709, 4.239475 51.965803, 4.240109 51.964414, 4.239665 51.964339, 4.239589 51.964511, 4.239048 51.96442, 4.239095 51.964316, 4.238818 51.964269, 4.238815 51.964275, 4.23883 51.964278, 4.238767 51.964415, 4.238472 51.964363, 4.238474 51.964359, 4.238448 51.964354, 4.238393 51.964467, 4.237194 51.964207, 4.237134 51.964314, 4.236811 51.964861, 4.236308 51.965611)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102449900;2018-01-01;113253.757305;11.325;3397613;107534;3397612.71915;107534.442561;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.963649662263265;4.230906842366363;MULTIPOLYGON (((4.22654 51.963001, 4.227605 51.963378, 4.227576 51.963408, 4.227544 51.963443, 4.227708 51.9635, 4.227997 51.963601, 4.228048 51.963544, 4.228198 51.963596, 4.228426 51.963675, 4.229094 51.963908, 4.229131 51.963863, 4.229566 51.964, 4.229586 51.964006, 4.229959 51.964134, 4.229896 51.964201, 4.231765 51.964856, 4.231549 51.965086, 4.231931 51.965211, 4.232238 51.964885, 4.232658 51.965024, 4.23251 51.965188, 4.233624 51.965573, 4.233889 51.9653, 4.234542 51.96553, 4.234312 51.965796, 4.235112 51.966074, 4.235324 51.965841, 4.236155 51.96493, 4.236852 51.964165, 4.235904 51.963816, 4.235403 51.96437, 4.235298 51.964334, 4.234904 51.96477, 4.232588 51.963975, 4.230711 51.963314, 4.229337 51.962829, 4.230186 51.961949, 4.228414 51.961313, 4.228293 51.961437, 4.228079 51.961659, 4.228075 51.961663, 4.22799 51.961628, 4.227957 51.961676, 4.227085 51.961387, 4.226669 51.961787, 4.227439 51.962056, 4.227392 51.962113, 4.226605 51.961837, 4.225865 51.962644, 4.226624 51.96291, 4.22654 51.963001)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434269;2012-01-01;37973.240571;3.797;1139197;36056;1139197.21713;36055.591922;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96586698978221;4.224546590606552;MULTIPOLYGON (((4.225686 51.967086, 4.225858 51.966892, 4.225902 51.966907, 4.226176 51.966629, 4.224401 51.966015, 4.224434 51.965979, 4.224947 51.966157, 4.224964 51.966139, 4.226559 51.96673, 4.226876 51.966399, 4.225435 51.965868, 4.225304 51.965819, 4.225415 51.965707, 4.225342 51.96568, 4.224954 51.965536, 4.225209 51.965274, 4.225433 51.965044, 4.224699 51.964771, 4.224011 51.964514, 4.223566 51.964994, 4.223515 51.964975, 4.223017 51.965507, 4.222941 51.965484, 4.222509 51.965988, 4.22392 51.966472, 4.225686 51.967086)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
