OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;0.0;BU18951009;GM1895;9944.0;9944EA;BU18951009;GM1895;9944.0;9944VC;BU18951009;GM1895;9944.0;9944VC;False;False;False;53.24765871522951;6.950344817243297;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
10;0.0;BU19522003;GM1952;9636.0;9636EL;BU19522003;GM1952;9636.0;9636EL;BU19522003;GM1952;9636.0;9636EL;False;False;False;53.18490792474021;6.855437295693698;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
11;3.0;BU01069905;GM0106;9492.0;9492TD;BU01069905;GM0106;9492.0;9492TD;BU01069905;GM0106;9492.0;9492TD;False;False;False;53.04919596500853;6.562869611251957;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
12;3.0;BU17301309;GM1730;9482.0;9482TV;BU17301309;GM1730;9482.0;9482TV;BU17301309;GM1730;9482.0;9482TV;False;False;False;53.0877198678295;6.636522837152583;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
13;3.0;BU07650109;GM0765;9663.0;9663AV;BU07650109;GM0765;9663.0;9663AV;BU07650109;GM0765;9663.0;9663AV;False;False;False;53.08399440403403;6.949740132660614;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
14;3.0;BU00470209;GM0047;9648.0;9648DD;BU00470209;GM0047;9648.0;9648DD;BU00470209;GM0047;9648.0;9648DD;False;False;False;53.08582452360727;6.843366082119539;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
15;3.0;BU17310809;GM1731;9423.0;9423VA;BU17310809;GM1731;9423.0;9423VA;BU17310809;GM1731;9423.0;9423VA;False;False;False;52.8870953393638;6.397514898289422;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
16;2.0;BU00981009;GM0098;8391.0;8391KL;BU00981009;GM0098;8391.0;8391KL;BU00981009;GM0098;8391.0;8391KL;False;False;False;52.879413620995585;6.132882021127865;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
17;2.0;BU00980102;GM0098;8477.0;8477AA;BU00980102;GM0098;8477.0;8477AA;BU00980102;GM0098;8477.0;8477AA;False;False;False;52.92611458962835;5.986005219499446;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
18;1.0;BU00980903;GM0098;8393.0;8393RC;BU00980903;GM0098;8393.0;8393RC;BU00980903;GM0098;8393.0;8393RC;False;False;False;52.879699517229206;6.107519034795649;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
