OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;0.0;;GM1895;;;;GM1895;;;;GM1895;;;False;False;False;53.24765871522951;6.950344817243297;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
10;0.0;;GM1952;;;;GM1952;;;;GM1952;;;False;False;False;53.18490792474021;6.855437295693698;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
11;3.0;;GM0106;;;;GM0106;;;;GM0106;;;False;False;False;53.04919596500853;6.562869611251957;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
12;3.0;;GM1730;;;;GM1730;;;;GM1730;;;False;False;False;53.0877198678295;6.636522837152583;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
13;3.0;;GM0765;;;;GM0765;;;;GM0765;;;False;False;False;53.08399440403403;6.949740132660614;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
15;3.0;;GM1731;;;;GM1731;;;;GM1731;;;False;False;False;52.8870953393638;6.397514898289422;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
19;3.0;;GM1950;;;;GM1950;;;;GM1950;;;False;False;False;52.94360903225261;7.090951187334273;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
2;0.0;;GM1952;;;;GM1952;;;;GM1952;;;False;False;False;53.27238503272721;6.830099991800325;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
20;3.0;;GM0114;;;;GM0114;;;;GM0114;;;False;False;False;52.80538728586222;6.930490379168082;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
21;3.0;;GM1731;;;;GM1731;;;;GM1731;;;False;False;False;52.858400190740404;6.482947231822261;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
22;3.0;;GM1708;;;;GM1708;;;;GM1708;;;False;False;False;52.80181359357803;6.142322373541472;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
23;3.0;;GM0118;;;;GM0118;;;;GM0118;;;False;False;False;52.70804665188078;6.421403945232486;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
24;3.0;;GM0114;;;;GM0114;;;;GM0114;;;False;False;False;52.736124260078206;6.895265376444108;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
25;0.0;;GM0383;;;;GM0383;;;;GM0383;;;False;False;False;52.549119499244945;4.75250992220484;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
