Provincie;Gemeente;GMcode;RESregio;REScode;BronNaam;TypeBron;bron_temp;MWth;corrfactor;status;Source;X;Y;wkt;MWth_max;bron_vol;bron_cap;T_bron;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Detailconsult Supermarkten BV;Supermarkt;n.a.;0.11;;Optie B;LT;194561;468223;POINT(194561 468223);n.a.;n.a.;n.a.;n.a.;BU02000402;GM0200;7331.0;7331GM;BU02000402;GM0200;7331.0;7331GM;BU02000402;GM0200;7331.0;7331GM;False;False;False;52.200696833956286;5.965886660944103;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Meermarkt Van Veluw VOF;Supermarkt;n.a.;0.05;;Optie B;LT;163268;465458;POINT(163268 465458);n.a.;n.a.;n.a.;n.a.;BU02036071;GM0203;3785.0;3785LS;BU02036071;GM0203;3785.0;3785LS;BU02036071;GM0203;3785.0;3785LS;False;False;False;52.17720250532296;5.508080117778284;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;LIDL Nederland GmbH;Supermarkt;n.a.;0.05;;Optie B;LT;167466;461049;POINT(167466 461049);n.a.;n.a.;n.a.;n.a.;BU02035410;GM0203;3772.0;3772GE;BU02035410;GM0203;3772.0;3772GE;BU02035410;GM0203;3772.0;3772GE;False;False;False;52.13749599539163;5.5692918844001165;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Harthoorn Coldstores BV;KoelVries;n.a.;0.0;;Optie B;LT;167845;464010;POINT(167845 464010);n.a.;n.a.;n.a.;n.a.;BU02035425;GM0203;3771.0;3771MA;BU02035425;GM0203;3771.0;3771MA;BU02035425;GM0203;3771.0;3771MA;False;False;False;52.164100466567696;5.574939841499669;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Jumbo Supermarkten BV;Supermarkt;n.a.;0.24;;Optie B;LT;168227;460951;POINT(168227 460951);n.a.;n.a.;n.a.;n.a.;BU02035402;GM0203;3772.0;3772CK;BU02035402;GM0203;3772.0;3772CK;BU02035402;GM0203;3772.0;3772CK;False;False;False;52.136597476947486;5.580403790298564;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Coop Supermarkten BV;Supermarkt;n.a.;0.05;;Optie B;LT;168398;460551;POINT(168398 460551);n.a.;n.a.;n.a.;n.a.;BU02035408;GM0203;3772.0;3772BL;BU02035408;GM0203;3772.0;3772BL;BU02035408;GM0203;3772.0;3772BL;False;False;False;52.13299818866589;5.582885721568109;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Jumbo Supermarkten BV;Supermarkt;n.a.;0.49;;Optie B;LT;168405;461541;POINT(168405 461541);n.a.;n.a.;n.a.;n.a.;BU02035401;GM0203;3771.0;3771CB;BU02035401;GM0203;3771.0;3771CB;BU02035401;GM0203;3771.0;3771CB;False;False;False;52.14189605139414;5.5830270113858065;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Echte Bakker v d  Veer;Bakkerij;n.a.;0.0;;Optie B;LT;168647;461130;POINT(168647 461130);n.a.;n.a.;n.a.;n.a.;BU02035401;GM0203;3772.0;3772CA;BU02035401;GM0203;3772.0;3772CA;BU02035401;GM0203;3772.0;3772CA;False;False;False;52.13819609409533;5.586545679264142;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Plus Barneveld BV;Supermarkt;n.a.;0.24;;Optie B;LT;168676;461075;POINT(168676 461075);n.a.;n.a.;n.a.;n.a.;BU02035401;GM0203;3772.0;3772CC;BU02035401;GM0203;3772.0;3772CC;BU02035401;GM0203;3772.0;3772CC;False;False;False;52.137701041694825;5.5869670673759675;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Amerongen Kamphuis BV;KoelVries;n.a.;2.0;;Optie B;LT;168724;464335;POINT(168724 464335);n.a.;n.a.;n.a.;n.a.;BU02035425;GM0203;3771.0;3771MG;BU02035425;GM0203;3771.0;3771MG;BU02035425;GM0203;3771.0;3771MG;False;False;False;52.16700036244746;5.587799951104964;WarmteAtlas:LT_MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:17;
