X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
153370;471161;Blycolin Laundry Bunschoten B V   BUNSCHOTEN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU03130001;GM0313;3752.0;3752LJ;BU03130001;GM0313;3752.0;3752LJ;BU03130001;GM0313;3752.0;3752LJ;False;False;False;52.22851993274327;5.3633460521461425;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
259063;494825;Textielreiniging Het Springendal B V   OUD OOTMARSUM;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU17742199;GM1774;7637.0;7637PX;BU17742199;GM1774;7637.0;7637PX;BU17742199;GM1774;7637.0;7637PX;False;False;False;52.43132206000997;6.917390519056707;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
156775;387005;CleanLease  EINDHOVEN   De Schakel;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU07726280;GM0772;5651.0;5651GH;BU07726280;GM0772;5651.0;5651GH;BU07726280;GM0772;5651.0;5651GH;False;False;False;51.472100194724426;5.412748244980613;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
161521;387676;CleanLease  EINDHOVEN   Herentalseweg;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU07725320;GM0772;5628.0;5628RD;BU07725320;GM0772;5628.0;5628RD;BU07725320;GM0772;5628.0;5628RD;False;False;False;51.47809654035134;5.481068890163697;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
124209;399130;Newasco Neerlandia B V   RIJEN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU07840108;GM0784;5121.0;5121DM;BU07840108;GM0784;5121.0;5121DM;BU07840108;GM0784;5121.0;5121DM;False;False;False;51.580246715730446;4.94297501815802;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
49992;390847;LipsPlus Goes B V   GOES;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU06640107;GM0664;4462.0;4462GE;BU06640107;GM0664;4462.0;4462GE;BU06640107;GM0664;4462.0;4462GE;False;False;False;51.49684630647263;3.874944742421232;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
240664;507513;Moderna Textielservice B V   Hardenberg;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU01602802;GM0160;7772.0;7772TJ;BU01602802;GM0160;7772.0;7772TJ;BU01602802;GM0160;7772.0;7772TJ;False;False;False;52.54851615485124;6.6501686414654495;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
103369;484531;Newasco Van Houten B V   HEEMSTEDE;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU03970001;GM0397;2102.0;2102LL;BU03970001;GM0397;2102.0;2102LL;BU03970001;GM0397;2102.0;2102LL;False;False;False;52.34626282450768;4.629485837379025;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
192537;553915;Wasserij de Blinde B V   HEERENVEEN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU00740108;GM0074;8448.0;8448CG;BU00740108;GM0074;8448.0;8448CG;BU00740108;GM0074;8448.0;8448CG;False;False;False;52.97093238221488;5.945965763590794;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
193690;324801;Rentex AWE  HOENSBROEK;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU09171400;GM0917;6433.0;6433KG;BU09171400;GM0917;6433.0;6433KG;BU09171400;GM0917;6433.0;6433KG;False;False;False;50.91165837246589;5.937300804039546;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
175145;386424;Lavans B V   HELMOND;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU07942901;GM0794;5705.0;5705CT;BU07942901;GM0794;5705.0;5705CT;BU07942901;GM0794;5705.0;5705CT;False;False;False;51.46652013501557;5.677109003132325;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
132423;447034;Vendrig IJsselstein B V   IJSSELSTEIN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU03530015;GM0353;3401.0;3401MG;BU03530015;GM0353;3401.0;3401MG;BU03530015;GM0353;3401.0;3401MG;False;False;False;52.011210412067236;5.058354261717411;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
161025;471089;CleanLease  NIJKERK;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU02670101;GM0267;3861.0;3861MA;BU02670101;GM0267;3861.0;3861MA;BU02670101;GM0267;3861.0;3861MA;False;False;False;52.227842139135724;5.475388221756355;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
201458;454844;Barth Slijkhuis B V  wasserij textielverzorging  LAAG SOEREN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;BU02750007;GM0275;6957.0;6957DM;BU02750007;GM0275;6957.0;6957DM;BU02750007;GM0275;6957.0;6957DM;False;False;False;52.07991610794085;6.064938781845822;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
