X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
153370;471161;Blycolin Laundry Bunschoten B V   BUNSCHOTEN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0313;;;;GM0313;;;;GM0313;;;False;False;False;52.22851993274327;5.3633460521461425;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
259063;494825;Textielreiniging Het Springendal B V   OUD OOTMARSUM;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM1774;;;;GM1774;;;;GM1774;;;False;False;False;52.43132206000997;6.917390519056707;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
156775;387005;CleanLease  EINDHOVEN   De Schakel;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0772;;;;GM0772;;;;GM0772;;;False;False;False;51.472100194724426;5.412748244980613;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
161521;387676;CleanLease  EINDHOVEN   Herentalseweg;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0772;;;;GM0772;;;;GM0772;;;False;False;False;51.47809654035134;5.481068890163697;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
124209;399130;Newasco Neerlandia B V   RIJEN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0784;;;;GM0784;;;;GM0784;;;False;False;False;51.580246715730446;4.94297501815802;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
49992;390847;LipsPlus Goes B V   GOES;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0664;;;;GM0664;;;;GM0664;;;False;False;False;51.49684630647263;3.874944742421232;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
240664;507513;Moderna Textielservice B V   Hardenberg;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0160;;;;GM0160;;;;GM0160;;;False;False;False;52.54851615485124;6.6501686414654495;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
103369;484531;Newasco Van Houten B V   HEEMSTEDE;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0397;;;;GM0397;;;;GM0397;;;False;False;False;52.34626282450768;4.629485837379025;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
193690;324801;Rentex AWE  HOENSBROEK;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0917;;;;GM0917;;;;GM0917;;;False;False;False;50.91165837246589;5.937300804039546;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
175145;386424;Lavans B V   HELMOND;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0794;;;;GM0794;;;;GM0794;;;False;False;False;51.46652013501557;5.677109003132325;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
132423;447034;Vendrig IJsselstein B V   IJSSELSTEIN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.011210412067236;5.058354261717411;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
161025;471089;CleanLease  NIJKERK;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0267;;;;GM0267;;;;GM0267;;;False;False;False;52.227842139135724;5.475388221756355;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
201458;454844;Barth Slijkhuis B V  wasserij textielverzorging  LAAG SOEREN;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0275;;;;GM0275;;;;GM0275;;;False;False;False;52.07991610794085;6.064938781845822;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
88265;438561;CleanLease  ROTTERDAM;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0599;;;;GM0599;;;;GM0599;;;False;False;False;51.931508876103756;4.416871345227685;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
164404;565188;Rentex Floron B V   BOLSWARD;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM1900;;;;GM1900;;;;GM1900;;;False;False;False;53.073456998996896;5.527520192829785;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
146590;413801;CWS Nederland BV  DEN BOSCH;0.0;Wasserij;2.0;Optie B;0.0;0.0;;;;;GM0796;;;;GM0796;;;;GM0796;;;False;False;False;51.71289774851636;5.265514174096321;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
