X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
138150;420050;Steenfabriek De Rijswaard BV;0;;0.0;Optie B;0.0;0.0;0;0;0;BU02970105;GM0297;5308.0;5308LV;BU02970105;GM0297;5308.0;5308LV;BU02970105;GM0297;5308.0;5308LV;False;False;False;51.7688757964505;5.143090011078549;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
238565;487466;Ovako Twente BV;0;;0.0;Optie B;0.0;0.0;0;0;0;BU01411205;GM0141;7602.0;7602KK;BU01411205;GM0141;7602.0;7602KK;BU01411205;GM0141;7602.0;7602KK;False;False;False;52.368704754433494;6.6142208217135225;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
148080;483155;NV Afvalzorg Almere;0;AVI;0.0;Optie B;0.0;0.0;0;0;0;BU00348502;GM0034;1358.0;1358AB;BU00348502;GM0034;1358.0;1358AB;BU00348502;GM0034;1358.0;1358AB;False;False;False;52.33627760846706;5.285672810929278;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
146061;491635;Vetsmelterij CM Bosland BV;0;Industrie;0.0;Optie B;0.0;0.0;0;0;0;BU00345701;GM0034;1332.0;1332AW;BU00345701;GM0034;1332.0;1332AW;BU00345701;GM0034;1332.0;1332AW;False;False;False;52.41246285687703;5.255824434678629;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
145197;491088;Yakult Nederland BV;0;Industrie;0.0;Optie B;0.0;0.0;0;0;0;BU00345702;GM0034;1332.0;1332EN;BU00345702;GM0034;1332.0;1332EN;BU00345702;GM0034;1332.0;1332EN;False;False;False;52.407531962110276;5.243141892675974;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
143323;488954;WKC Almere;0;STEG;50.16;Optie B;0.0;0.0;0;0;0;BU00343501;GM0034;1314.0;1314AK;BU00343501;GM0034;1314.0;1314AK;BU00343501;GM0034;1314.0;1314AK;False;False;False;52.38831600994468;5.215676334111433;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
143251;488915;Nuon HWC Almere;0;STEG;0.0;Optie B;0.0;0.0;0;0;0;BU00343501;GM0034;1314.0;1314AK;BU00343501;GM0034;1314.0;1314AK;BU00343501;GM0034;1314.0;1314AK;False;False;False;52.387963961920875;5.214620065953331;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
103924;460682;Kriek BV;80;Industrie;0.03;Optie B;0.0;0.0;2;200;200;BU04840402;GM0484;2404.0;2404CB;BU04840402;GM0484;2404.0;2404CB;BU04840402;GM0484;2404.0;2404CB;False;False;False;52.1319796799751;4.641229765229511;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
103810;460470;Avery BV;80;Industrie;0.14;Optie B;0.0;0.0;0;0;0;BU04840801;GM0484;2408.0;2408AS;BU04840801;GM0484;2408.0;2408AS;BU04840801;GM0484;2408.0;2408AS;False;False;False;52.13006382117283;4.6395968018670635;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
98160;460880;Avery Dennison Materials BV;80;Industrie;0.13;Optie B;0.0;0.0;2;200;200;BU04849401;GM0484;2394.0;2394BX;BU04849401;GM0484;2394.0;2394BX;BU04849401;GM0484;2394.0;2394BX;False;False;False;52.13319667010059;4.557020516016714;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
125901;391599;Gasunie Alphen en Riel;0;;0.0;Optie B;0.0;0.0;0;0;0;BU17230107;GM1723;5131.0;5131PB;BU17230107;GM1723;5131.0;5131PB;BU17230107;GM1723;5131.0;5131PB;False;False;False;51.51264514629886;4.968010008860454;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
199240;403900;Wienerberger Steenfabriek Nuance;0;;0.0;Optie B;0.0;0.0;0;0;0;BU08930441;GM0893;5851.0;5851AB;BU08930441;GM0893;5851.0;5851AB;BU08930441;GM0893;5851.0;5851AB;False;False;False;51.622220263098406;6.026052603222566;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
158280;467580;gas WKK eneco;0;STEG;0.0;Optie B;0.0;0.0;0;0;0;BU03073101;GM0307;3826.0;3826BL;BU03073101;GM0307;3826.0;3826BL;BU03073101;GM0307;3826.0;3826BL;False;False;False;52.19632704703158;5.435177173174664;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
156888;465429;biomassaketel_deHoef;0;BMC;6.0;Optie A;0.0;0.0;0;0;0;BU03072501;GM0307;3821.0;3821AB;BU03072501;GM0307;3821.0;3821AB;BU03072501;GM0307;3821.0;3821AB;False;False;False;52.17700066932651;5.414805643000575;WarmteAtlas:MT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:24;
