Provincie;Gemeente;GMcode;RESregio;REScode;BronNaam;TypeBron;bron_temp;MWth;corrfactor;status;Source;X;Y;wkt;MWth_max;bron_vol;bron_cap;T_bron;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Gelderland;Barneveld;GM0203;Foodvalley;ES09;Givaudan Nederland BV Barneveld;;n.a.;0.0;;Optie B;MT;168000;464350;POINT(168000 464350);n.a.;n.a.;n.a.;n.a.;BU02035425;GM0203;3771.0;3771MB;BU02035425;GM0203;3771.0;3771MB;BU02035425;GM0203;3771.0;3771MB;False;False;False;52.167152712939384;5.577218260770093;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Utrecht;Utrecht;GM0344;U16;ES14;Asfaltcentrale Lage Weide;BMC;n.a.;21.0;;Optie C;MT;133085;458365;POINT(133085 458365);n.a.;n.a.;n.a.;n.a.;BU03440133;GM0344;3542.0;3542AS;BU03440133;GM0344;3542.0;3542AS;BU03440133;GM0344;3542.0;3542AS;False;False;False;52.113079406211156;5.0672696550390395;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Zeeland;Borsele;GM0654;Zeeland;ES24;EPZ NV Conventional Operations;Kern;n.a.;349.8;;Optie C;MT;38794;384007;POINT(38794 384007);n.a.;n.a.;n.a.;n.a.;BU06540203;GM0654;4454.0;4454PM;BU06540203;GM0654;4454.0;4454PM;BU06540203;GM0654;4454.0;4454PM;False;False;False;51.43318568922227;3.7159983069692673;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Zuid-Holla;Rotterdam;GM0599;Rotterdam/;ES23;EOn Benelux NV Maasvlakte;Kolen;80.0;320.88;;Optie C;MT;61481;442057;POINT(61481 442057);n.a.;n.a.;n.a.;n.a.;BU05992308;GM0599;3199.0;3199LA;BU05992308;GM0599;3199.0;3199LD;BU05992308;GM0599;3199.0;3199LD;False;False;False;51.95906568843189;4.026568357245158;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Steenfabriek Huissenswaard;Industrie;0.0;0.0;;Optie B;MT;196100;436150;POINT(196100 436150);n.a.;n.a.;n.a.;n.a.;BU17050401;GM1705;6687.0;6687LP;BU17050401;GM1705;6687.0;6687LP;BU17050401;GM1705;6687.0;6687LP;False;False;False;51.91232282515996;5.984536588154081;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Energiecooperatie Greenhouse Energy;Industrie;0.0;0.0;;Optie B;MT;191490;436460;POINT(191490 436460);n.a.;n.a.;n.a.;n.a.;BU17050213;GM1705;6851.0;6851TH;BU17050213;GM1705;6851.0;6851TH;BU17050213;GM1705;6851.0;6851TH;False;False;False;51.91543064973681;5.917572160642105;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Rodruza Steenfabriek de Zandberg;Industrie;0.0;0.0;;Optie B;MT;195162;430027;POINT(195162 430027);n.a.;n.a.;n.a.;n.a.;BU17050105;GM1705;6691.0;6691ME;BU17050105;GM1705;6691.0;6691ME;BU17050105;GM1705;6691.0;6691ME;False;False;False;51.8573583542483;5.970190772178765;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Wienerberger Steenfabriek Bemmel;Industrie;0.0;0.0;;Optie B;MT;191377;432158;POINT(191377 432158);n.a.;n.a.;n.a.;n.a.;BU17050601;GM1705;6685.0;6685MA;BU17050601;GM1705;6685.0;6685MA;BU17050601;GM1705;6685.0;6685MA;False;False;False;51.87677181381026;5.915475213971467;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Drenthe;Coevorden;GM0109;Drenthe;ES03;Smurfit Kappa Solid Board Coevorden;Industrie;n.a.;0.0;;Optie B;MT;246400;519750;POINT(246400 519750);3.0;n.a.;n.a.;n.a.;BU01091012;GM0109;7741.0;7741KX;BU01091012;GM0109;7741.0;7741KX;BU01091012;GM0109;7741.0;7741KX;False;False;False;52.657536672654075;6.73808315307517;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
Drenthe;Coevorden;GM0109;Drenthe;ES03;EVI Abfallverwertung Laar;AVI;n.a.;47.09;;Optie B;MT;246562;518354;POINT(246562 518354);47.09;n.a.;n.a.;n.a.;BU01091013;GM0109;7742.0;7742PB;BU01091013;GM0109;7742.0;7742PB;BU01091013;GM0109;7742.0;7742PB;False;False;False;52.644966443236434;6.740090834524917;WarmteAtlas:MT_WarmteBronnen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
