OBJECTID;Bronhouder;Thema;Max_Diepte;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
10605;Brabant;Restrictie dieptebeperking;46;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.270254335657924;5.42803883826853;MULTIPOLYGON (((5.427322 51.269805, 5.427323 51.270704, 5.428756 51.270704, 5.428755 51.269805, 5.427322 51.269805)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
10920;Brabant;Restrictie dieptebeperking;47;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.26216828793461;5.415137494199689;MULTIPOLYGON (((5.415854 51.261719, 5.414421 51.261719, 5.414421 51.262618, 5.415854 51.262618, 5.415854 51.261719)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
11213;Brabant;Restrictie dieptebeperking;48;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.263068122016904;5.410839927074449;MULTIPOLYGON (((5.411556 51.262619, 5.410123 51.262619, 5.410124 51.263518, 5.411557 51.263517, 5.411556 51.262619)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
11637;Brabant;Restrictie dieptebeperking;49;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.36611933813107;4.431564729939513;MULTIPOLYGON (((4.432292 51.365676, 4.430856 51.365664, 4.430837 51.366563, 4.432273 51.366575, 4.432292 51.365676)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
13302;Brabant;Restrictie dieptebeperking;54;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.42451686979715;4.5439312971686725;MULTIPOLYGON (((4.543221 51.424062, 4.543204 51.424961, 4.544642 51.424971, 4.544658 51.424073, 4.543221 51.424062)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
15123;Brabant;Restrictie dieptebeperking;59;n.a.;n.a.;4635.0;4635RJ;n.a.;n.a.;4635.0;4635RJ;n.a.;n.a.;4635.0;4635RJ;False;False;False;51.45026612319228;4.3895170829908015;MULTIPOLYGON (((4.388808 51.449811, 4.388788 51.450709, 4.390226 51.450722, 4.390246 51.449823, 4.388808 51.449811)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
21952;Brabant;Restrictie dieptebeperking;76;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.393368557193504;4.919521424881659;MULTIPOLYGON (((4.920244 51.392922, 4.918808 51.392916, 4.918798 51.393815, 4.920235 51.393821, 4.920244 51.392922)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
34228;Brabant;Restrictie dieptebeperking;109;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.413879876359886;4.880499603958251;MULTIPOLYGON (((4.879786 51.413427, 4.879776 51.414326, 4.881213 51.414332, 4.881223 51.413434, 4.879786 51.413427)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
41076;Brabant;Restrictie dieptebeperking;144;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.42716045560299;4.6704191713825365;MULTIPOLYGON (((4.669707 51.426707, 4.669693 51.427605, 4.671131 51.427614, 4.671145 51.426715, 4.669707 51.426707)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
41142;Brabant;Restrictie dieptebeperking;145;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.42626164416209;4.670433302154647;MULTIPOLYGON (((4.669722 51.425808, 4.669707 51.426707, 4.671145 51.426715, 4.671159 51.425817, 4.669722 51.425808)));WarmteAtlas:RestrictieDiepte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:20;
