Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE2020697;USG Operations V.O.F.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;elektriciteit;;21.186;42372.0;MWh;2000;30507840.0;15;GELEEN;SITTARD-GELEEN;LIMBURG;ZUID-LIMBURG;Nvt;35;ELEK;BU18830501;GM1883;6161.0;6161RB;BU18830501;GM1883;6161.0;6161RB;BU18830501;GM1883;6161.0;6161RB;False;False;False;50.961152089187074;5.806423431009049;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2029233;Plukon Goor B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;industriële warmte;;0.65;3900.0;MWh;6000;664560.0;12;GOOR;HOF VAN TWENTE;OVERIJSSEL;TWENTE;Nvt;10;IND;BU17350007;GM1735;7471.0;7471ST;BU17350007;GM1735;7471.0;7471ST;BU17350007;GM1735;7471.0;7471ST;False;False;False;52.24761530389706;6.588503577930773;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2112077;Polderwarmte R&S B.V.;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Restwarmte;Nog te realiseren;Nee;n.a.;;warmte;restwarmte;;5.79;34740.0;MWh;6000;12819060.0;15;SCHIPHOL-RIJK;HAARLEMMERMEER;NOORD-HOLLAND;NOORD-HOLLANDZUID;Nvt;35;ELEK;BU03940674;GM0394;1119.0;1119PA;BU03940674;GM0394;1119.0;1119PA;BU03940674;GM0394;1119.0;1119PA;False;False;False;52.281043997960694;4.754756080117076;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2029711;Warmtenet Noordwest B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Restwarmte;Nog te realiseren;Nee;n.a.;01-03-2021;warmte;restwarmte;;12.47;71108.0;MWh;5702;23358978.0;15;GRONINGEN;GRONINGEN;GRONINGEN;GRONINGEN;Nvt;35;ELEK;BU00141003;GM0014;9747.0;9747AA;BU00141003;GM0014;9747.0;9747AA;BU00141003;GM0014;9747.0;9747AA;False;False;False;53.24656342331258;6.531018561206826;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2114412;N.V. HVC;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Aquathermie;Nog te realiseren;Nee;n.a.;;warmte;drink- of afvalwater;;3.0;18000.0;MWh;6000;14661000.0;15;GORINCHEM;GORINCHEM;ZUID-HOLLAND;ALBLASSERWAARD;Nvt;38;IND;BU05120700;GM0512;4203.0;4203NB;BU05120700;GM0512;4203.0;4203NB;BU05120700;GM0512;4203.0;4203NB;False;False;False;51.831699225672786;4.962995416902357;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2110240;Vopak Terminal Vlaardingen B.V.;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;10.0;30000.0;MWh;3000;16065000.0;15;VLAARDINGEN;VLAARDINGEN;ZUID-HOLLAND;ROTTERDAM/DENHAAG;Nvt;52;GO;BU06220403;GM0622;3134.0;3134KH;BU06220403;GM0622;3134.0;3134KH;BU06220403;GM0622;3134.0;3134KH;False;False;False;51.90284795236589;4.358751035162314;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2111637;Grubbenvorst Biomassa B.V.;2021;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;5.5;22000.0;TON;4000;9240726.0;15;GRUBBENVORST;HORST AAN DE MAAS;LIMBURG;NOORD-ENMIDDEN-LIMBURG;Nvt;38;IND;BU15070809;GM1507;5971.0;5971NJ;BU15070809;GM1507;5971.0;5971NJ;BU15070809;GM1507;5971.0;5971NJ;False;False;False;51.42483307596912;6.093680345315589;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2113064;Prezero Energy Roosendaal B.V.;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Restwarmte;Nog te realiseren;Nee;n.a.;;warmte;restwarmte;;58.6;351600.0;MWh;6000;80164800.0;15;ROOSENDAAL;ROOSENDAAL;NOORD-BRABANT;WEST-BRABANT;Nvt;38;IND;BU16740309;GM1674;4703.0;4703RK;BU16740309;GM1674;4703.0;4703RK;BU16740309;GM1674;4703.0;4703RK;False;False;False;51.5488536590225;4.441579222849639;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2113507;Ausnutria Operations B.V.;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;7.0;49000.0;MWh;7000;9819600.0;12;HEERENVEEN;HEERENVEEN;FRIESLAND;FRIESLAND;Nvt;64;GO;BU00740108;GM0074;8448.0;8448CW;BU00740108;GM0074;8448.0;8448CW;BU00740108;GM0074;8448.0;8448CW;False;False;False;52.97967327833343;5.940330673248034;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2114896;Groenleven;2021;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;0.955;2865.0;MWh;3000;1147433.0;15;OOSTERWOLDE FR;OOSTSTELLINGWERF;FRIESLAND;FRIESLAND;Nvt;46;GO;BU00851118;GM0085;8431.0;8431LL;BU00851118;GM0085;8431.0;8431LL;BU00851118;GM0085;8431.0;8431LL;False;False;False;53.00308328909155;6.306769547766249;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2110331;Twence B.V.;2021;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;12.5;50000.0;TON;4000;49072725.0;15;HENGELO OV;HENGELO;OVERIJSSEL;REGIO TWENTE;Nvt;38;IND;BU01640600;GM0164;7554.0;7554TA;BU01640600;GM0164;7554.0;7554TA;BU01640600;GM0164;7554.0;7554TA;False;False;False;52.23759361392649;6.786973899216731;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2021114;DSM Engineering Plastics (Emmen) B.V.;2020 II;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Gerealiseerd;Ja;2022.0;01-06-2022;warmte;industriële warmte;;0.7006;5604.8;MWh;8000;1479668.0;12;EMMEN;EMMEN;DRENTHE;DRENTHE;Nvt;20;IND;BU01144000;GM0114;7811.0;7811EA;BU01144000;GM0114;7811.0;7811EA;BU01144000;GM0114;7811.0;7811EA;False;False;False;52.78370460075939;6.896267427617749;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2114534;ESCOM.Nu B.V.;2021;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Restwarmte;Nog te realiseren;Nee;n.a.;;elektriciteit;zon;;3.75;12500.0;MWh;3333;3131250.0;15;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;NOORD-HOLLANDZUID;Nvt;62;GO;BU0363AF03;GM0363;1011.0;1011BP;BU0363AF03;GM0363;1011.0;1011BP;BU0363AF03;GM0363;1011.0;1011BP;False;False;False;52.372558386725764;4.905704202210106;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2114963;Prezero Energy Roosendaal B.V.;2021;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;21.3;85200.0;TON;4000;205155679.0;15;ROOSENDAAL;ROOSENDAAL;NOORD-BRABANT;WEST-BRABANT;Nvt;38;IND;BU16740309;GM1674;4703.0;4703RK;BU16740309;GM1674;4703.0;4703RK;BU16740309;GM1674;4703.0;4703RK;False;False;False;51.5488536590225;4.441579222849639;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
