Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE0800042;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-11-2009;elektriciteit;zon;;0.0014;1.19;MWh;850;6104.19;15;BREDA;BREDA;NOORD-BRABANT;WEST-BRABANT;Niet bekend;n.a.;GO;BU07581008;GM0758;4825.0;4825BZ;BU07581008;GM0758;4825.0;4825BZ;BU07581008;GM0758;4825.0;4825BZ;False;False;False;51.615483767961905;4.78823110077809;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800055;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2011;01-07-2011;elektriciteit;zon;;0.00175;1.49;MWh;850;6958.15;15;OUD-BEIJERLAND;HOEKSCHE WAARD;ZUID-HOLLAND;HOEKSCHEWAARD;Niet bekend;n.a.;GO;BU19630099;GM1963;3262.0;3262LK;BU19630099;GM1963;3262.0;3262LK;BU19630099;GM1963;3262.0;3262LK;False;False;False;51.803638173131496;4.401490805106127;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800058;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-01-2009;elektriciteit;zon;;0.0018;1.53;MWh;850;8053.48;15;LEIDEN;LEIDEN;ZUID-HOLLAND;HOLLANDRIJNLAND;Niet bekend;n.a.;GO;BU05460405;GM0546;2313.0;2313XS;BU05460405;GM0546;2313.0;2313XS;BU05460405;GM0546;2313.0;2313XS;False;False;False;52.1519354504734;4.487062102541962;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800060;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-05-2009;elektriciteit;zon;;0.00342;2.91;MWh;850;15083.44;15;KROPSWOLDE;MIDDEN-GRONINGEN;GRONINGEN;GRONINGEN;Niet bekend;n.a.;GO;BU19520602;GM1952;9606.0;9606RM;BU19520602;GM1952;9606.0;9606RM;BU19520602;GM1952;9606.0;9606RM;False;False;False;53.139781085982136;6.717119848100865;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800061;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2012;01-08-2012;elektriciteit;zon;;0.00175;1.49;MWh;850;7925.31;15;VLEDDERVEEN;WESTERVELD;DRENTHE;DRENTHE;Niet bekend;n.a.;GO;BU17011409;GM1701;8385.0;8385GC;BU17011409;GM1701;8385.0;8385GC;BU17011409;GM1701;8385.0;8385GC;False;False;False;52.88157811318523;6.199661951662728;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800062;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-05-2009;elektriciteit;zon;;0.002004;1.7;MWh;850;8880.75;15;HEERHUGOWAARD;DIJK EN WAARD;NOORD-HOLLAND;NOORD-HOLLANDNOORD;Niet bekend;n.a.;GO;BU19802501;GM1980;1704.0;1704ZE;BU19802501;GM1980;1704.0;1704ZE;BU19802501;GM1980;1704.0;1704ZE;False;False;False;52.648039361040205;4.802831215967366;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800063;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-03-2009;elektriciteit;zon;;0.0026;2.21;MWh;850;11706.58;15;ZOETERMEER;ZOETERMEER;ZUID-HOLLAND;ROTTERDAM/DENHAAG;Niet bekend;n.a.;GO;BU06370601;GM0637;2721.0;2721BS;BU06370601;GM0637;2721.0;2721BS;BU06371106;GM0637;2721.0;2721BS;True;False;False;52.06122855752455;4.544650583536929;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800065;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-06-2009;elektriciteit;zon;;0.000604;0.51;MWh;849;2710.79;15;HOOFDDORP;HAARLEMMERMEER;NOORD-HOLLAND;NOORD-HOLLANDZUID;Niet bekend;n.a.;GO;BU03940112;GM0394;2134.0;2134JC;BU03940112;GM0394;2134.0;2134JC;BU03940112;GM0394;2134.0;2134JC;False;False;False;52.311259697823814;4.656000956516944;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800001;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-02-2009;elektriciteit;zon;;0.002004;1.7;MWh;850;8985.98;15;HEERHUGOWAARD;DIJK EN WAARD;NOORD-HOLLAND;NOORD-HOLLANDNOORD;Niet bekend;n.a.;GO;BU19802501;GM1980;1705.0;1705TC;BU19802501;GM1980;1705.0;1705TC;BU19802501;GM1980;1705.0;1705TC;False;False;False;52.64985895780899;4.809250135106693;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE0800002;Geanonimiseerd;2008;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV opstelling niet bekend;Gerealiseerd;Ja;2009;01-01-2009;elektriciteit;zon;;0.000604;0.51;MWh;849;2588.58;15;ULVENHOUT;BREDA;NOORD-BRABANT;WEST-BRABANT;Niet bekend;n.a.;GO;BU07580800;GM0758;4851.0;4851AN;BU07580800;GM0758;4851.0;4851AN;BU07580800;GM0758;4851.0;4851AN;False;False;False;51.55366664025968;4.796224766043395;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
