Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE1070006;Q10 Offshore Wind B.V.;2010;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2015;01-06-2015;elektriciteit;wind;;119.232697;379159.98;MWh;3180;989038801.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;52.41666699871539;4.166666997454305;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE1070013;Zeeenergie C.V.;2010;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2016;01-10-2015;elektriciteit;wind;;300.0;916107.87;MWh;3054;2206852320.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.06401999878575;5.658059998841842;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE1070015;Buitengaats C.V.;2010;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2016;01-10-2015;elektriciteit;wind;;300.0;915794.67;MWh;3053;2188926689.0;15;NOORDZEE;HET HOGELAND;GRONINGEN;REGIO GRONINGEN;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.03840999830157;5.907749997305012;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE1061064;Windpark Kloosterboer B.V.;2010;Wind op land;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2014;01-01-2014;elektriciteit;wind;;2.3;4048.0;MWh;1760;4311120.0;15;NIEUWDORP ZLD;BORSELE;ZEELAND;ZEELAND;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE1653669;XL NL 2 Cooperatie U.A.;2016 II;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV op dak;Gerealiseerd;Ja;2020;01-05-2020;elektriciteit;zon;;0.10672;101.38;MWh;950;83642.0;15;VAALS;VAALS;LIMBURG;ZUID-LIMBURG;Dakopstelling;70.0;GO;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;50.77645853948019;6.022363015780393;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDEWZ15010;Orsted Borssele 1 B.V.;2015;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2020;01-05-2020;elektriciteit;wind;;376.0;1738900.0;MWh;4625;1110922349.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.75864999925875;3.1108799979616335;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDEWZ15011;Orsted Borssele 1 B.V.;2015;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2020;01-06-2020;elektriciteit;wind;;376.0;1697400.0;MWh;4514;1140831027.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.67739999904437;3.1132929981500728;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDEWZ16043;Blauwwind II C.V.;2016;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2020;01-08-2020;elektriciteit;wind;;351.5;1449760.0;MWh;4124;532569336.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.702419998588184;2.9846699976109345;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDEWZ16044;Blauwwind II C.V.;2016;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2020;01-08-2020;elektriciteit;wind;;380.0;1587570.0;MWh;4178;583193840.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.74852999744769;2.9499009982244218;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDEIN18001;Two Towers B.V.;2018;Wind op zee;ProductieDuurzameEnergie;windStroom;Windenergie;Gerealiseerd;Ja;2020;01-12-2020;elektriciteit;wind;;19.0;80300.0;MWh;4226;50520683.0;15;NOORDZEE;Onbekend;Onbekend;Onbekend;Nvt;71.0;GO;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.71802499863139;3.112086498156196;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE2319608;SFG B.V.;2023;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV op dak;Nog te realiseren;Nee;2026;;elektriciteit;zon;;0.7;560.0;MWh;800;356160.0;15;SLOTEN;DE FRYSKE MARREN;FRIESLAND;FRIESLAND;Dakopstelling;41.0;IND;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;n.a.;n.a.;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
SDE2310354;Tpsolar Lagewald B.V.;2023;Zon;ProductieDuurzameEnergie;zonneStroom;Zon-PV op veld of water;Nog te realiseren;Nee;2026;;elektriciteit;zon;;14.751;12390.84;MWh;840;4181909.0;15;GROESBEEK;BERG EN DAL;GELDERLAND;Regio Arnhem / Nijmegen;Veld of water opstelling;35.0;ELEK;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;51.809918421930924;5.956761915695695;WarmteAtlas:SDE_elektra;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:15;
