Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE0806402;EVI Nederland V.O.F.;2008;Afval;ProductieDuurzameEnergie;afvalWKK;Afvalverbranding;Gerealiseerd;Ja;2009;01-04-2009;elektriciteit;afval;;45.254124;175586.0;MWh;3880;98150359.77;15;COEVORDEN;COEVORDEN;DRENTHE;DRENTHE;Nvt;35.0;ELEK;BU01091013;GM0109;7742.0;7742SX;BU01091013;GM0109;7742.0;7742SX;BU01091013;GM0109;7742.0;7742SX;False;False;False;52.64941679312758;6.74524787893378;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980038;Maatschap M.F.H. en T.J.A. te Braake;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2011;01-01-2011;elektriciteit;co-vergisting van dierlijke mest;;0.6;4800.0;MWh;8000;7660800.0;12;TJUCHEM;MIDDEN-GRONINGEN;GRONINGEN;GRONINGEN;Nvt;1.0;LAND;BU19521701;GM1952;9939.0;9939TD;BU19521701;GM1952;9939.0;9939TD;BU19521701;GM1952;9939.0;9939TD;False;False;False;53.27088304447075;6.89926289359781;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980048;Erk Energy B.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2011;01-05-2011;elektriciteit;co-vergisting van dierlijke mest;;0.7;5320.0;MWh;7600;8193586.92;12;ZEEWOLDE;ZEEWOLDE;FLEVOLAND;FLEVOLAND;Nvt;35.0;ELEK;BU00500006;GM0050;3896.0;3896LX;BU00500006;GM0050;3896.0;3896LX;BU00500006;GM0050;3896.0;3896LX;False;False;False;52.2762871653533;5.4759381172474315;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980052;Gemeente Eindhoven;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2011;01-10-2011;elektriciteit;vaste en vloeibare biomassa;;1.22;9760.0;MWh;8000;15137277.73;12;EINDHOVEN;EINDHOVEN;NOORD-BRABANT;METROPOOLREGIOEINDHOVEN;Nvt;91.0;GO;BU07726360;GM0772;5657.0;5657HG;BU07726360;GM0772;5657.0;5657HG;BU07726360;GM0772;5657.0;5657HG;False;False;False;51.443825901176346;5.393151775581335;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980055;Attero B.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2010;01-01-2010;elektriciteit;gft-afval;;0.805;6221.76;MWh;7729;5907009.18;12;VENLO;VENLO;LIMBURG;NOORD-ENMIDDEN-LIMBURG;Nvt;64.0;GO;BU09832806;GM0983;5928.0;5928LK;BU09832806;GM0983;5928.0;5928LK;BU09832806;GM0983;5928.0;5928LK;False;False;False;51.39312845212735;6.105063247171252;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980062;Orgaworld WKK II B.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2010;01-07-2010;elektriciteit;gft-afval;;4.3;31636.25;MWh;7357;37547705.58;12;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;NOORD-HOLLANDZUID;Nvt;35.0;ELEK;BU0363BA03;GM0363;1044.0;1044AB;BU0363BA03;GM0363;1044.0;1044AB;BU0363BA03;GM0363;1044.0;1044AB;False;False;False;52.40311697514639;4.806324971898975;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980063;Agro Giethoorn Energie B.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2012;01-11-2012;elektriciteit;co-vergisting van dierlijke mest;;1.901;14447.6;MWh;7600;22916851.01;12;GIETHOORN;STEENWIJKERLAND;OVERIJSSEL;WEST-OVERIJSSEL;Nvt;33.0;IND;BU17081701;GM1708;8355.0;8355VA;BU17081701;GM1708;8355.0;8355VA;BU17081701;GM1708;8355.0;8355VA;False;False;False;52.7572745864551;6.056462527880419;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980064;Greendal Vergisting C.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2014;01-12-2014;elektriciteit;co-vergisting van dierlijke mest;;1.59;11575.2;MWh;7280;18474020.0;12;DALFSEN;DALFSEN;OVERIJSSEL;WEST-OVERIJSSEL;Nvt;35.0;ELEK;BU01480110;GM0148;7722.0;7722SM;BU01480110;GM0148;7722.0;7722SM;BU01480110;GM0148;7722.0;7722SM;False;False;False;52.5385926934386;6.267214084192874;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980079;Houbensteyn Heideveld B.V.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2012;01-03-2012;elektriciteit;co-vergisting van dierlijke mest;;0.6;4799.0;MWh;7998;7531777.41;12;GRUBBENVORST;HORST AAN DE MAAS;LIMBURG;NOORD-ENMIDDEN-LIMBURG;Nvt;1.0;LAND;BU15070809;GM1507;5971.0;5971NS;BU15070809;GM1507;5971.0;5971NS;BU15070809;GM1507;5971.0;5971NS;False;False;False;51.435222766115075;6.113241667428244;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
SDE0980084;Melkveehouderij Den Eelder V.O.F.;2009;Biomassa;ProductieDuurzameEnergie;bioWKK;Biomassa warmte en WKK;Gerealiseerd;Ja;2013;01-04-2013;elektriciteit;co-vergisting van dierlijke mest;;0.075;600.0;MWh;8000;884450.0;12;WELL GLD;MAASDRIEL;GELDERLAND;FRUITDELTARIVIERENLAND;Nvt;n.a.;GO;BU02630108;GM0263;5325.0;5325KL;BU02630108;GM0263;5325.0;5325KL;BU02630108;GM0263;5325.0;5325KL;False;False;False;51.76260668787723;5.201307539224623;WarmteAtlas:SDE_warmte;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:35;
