waterschap;res_gebied;naamgeving;med_uur;gj_exwko;gj_zomer;gj_metwko;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Brabantse Delta;Hart van Brabant;RWZI Waalwijk;357.875;50562.01;14959.17;65521.18;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:TEA_assets_met_wko;;;
Brabantse Delta;Hart van Brabant;RWZI Waspik;70.1666666667;9913.42;2932.96;12846.39;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;RWZI ST. OEDENRODE;1124.79166667;58915.06;47016.22;5931.35;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Hart van Brabant;RWZI TILBURG;4451.375;28908.01;86067.48;14975.54;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Dinther;1250.0;176605.0;52250.0;228855.0;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Aarle-Rixtel;1583.33333333;23699.66;66183.32;89882.99;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Horstermeer;778.0;9918.95;32520.41;42439.35;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1696;1394.0;;;GM1696;1394.0;;;GM1696;1394.0;;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Weesp;310.0;43798.03;12958.0;56756.03;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0363;1382.0;;;GM0363;1382.0;;;GM0363;1382.0;;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Huizen;360.0;50862.24;15048.0;65910.24;Specifieke berekening minimaal potentieel;;GM0406;1271.0;;;GM0406;1271.0;;;GM0406;1271.0;;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Hilversum (HH Amstel, Gooi en Vecht);356.0;50297.1;14880.8;65177.9;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0402;1223.0;;;GM0402;1223.0;;;GM0402;1223.0;;False;False;False;52.22502573196016;5.208387173093924;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Blaricum;385.0;54394.34;16093.0;70487.34;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0376;1261.0;;;GM0376;1261.0;;;GM0376;1261.0;;False;False;False;52.264529644139955;5.2507385304888725;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;U10/U16;RWZI Loenen aan de Vecht;62.0;8759.6;2591.6;11351.2;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.22464750491519;5.008551971531914;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;U10/U16;Voormalig RWZI Maarssen;110.0;6216.49;3679.2;9895.69;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.15184873733029;5.038339516129573;WarmteAtlas:TEA_assets_met_wko;;;
HH Amstel, Gooi en Vecht;U10/U16;RWZI De Ronde Venen;329.0;46482.43;13752.2;60234.63;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0736;;;;GM0736;;;;GM0736;;;False;False;False;52.212161077429386;4.885240227974213;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;RWZI Woerden;630.0;89008.92;26334.01;15342.92;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.0846677936941;4.850676540166728;WarmteAtlas:TEA_assets_met_wko;;;
