waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Vallei en Veluwe;Noord Veluwe;Hattem;166.625;23541.44;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU02440109;GM0244;8051;8051KE;BU02440109;GM0244;8051;8051KE;BU02440109;GM0244;8051;8051KE;False;False;False;52.48512450733406;6.040070336671016;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Oijen;591.25;83534.16;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;False;False;False;51.81222084506408;5.487586571501574;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Chaam;15.7845833333;0.0;Minimale waarde < 20 m3/uur;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;False;False;False;51.51177828617094;4.852482370487898;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Lage zwaluwe;21.9658333333;3103.42;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;False;False;False;51.71687109409496;4.71483060331655;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Nieuwveer;1017.38;43739.51;Specifieke berekening minimaal potentieel;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;False;False;False;51.630358452059056;4.707679073812594;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Baarle-Nassau;31.8379166667;4498.18;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;False;False;False;51.44854061131324;4.899124632984633;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Hart van Brabant;RWZI Waalwijk;153.88625;21741.66;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Hart van Brabant;RWZI Waspik;30.1716666667;4262.77;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Dongemond;288.458333333;40754.54;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;False;False;False;51.67528691731538;4.851200262758725;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Ossendrecht;16.5729166667;0.0;Minimale waarde < 20 m3/uur;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;False;False;False;51.39014121692472;4.320638322229414;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Putte;23.4170833333;3308.45;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;False;False;False;51.365998333836195;4.388738926021403;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Vallei en Veluwe;Stedendriehoek/cleantechregio;Brummen;66.2916666668;9365.95;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU02130317;GM0213;6971;6971JH;BU02130317;GM0213;6971;6971JH;BU02130317;GM0213;6971;6971JH;False;False;False;52.092955300666674;6.185719377698766;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Willemstad;15.1216666667;0.0;Minimale waarde < 20 m3/uur;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;False;False;False;51.6876816582659;4.455617544577912;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Hart van Brabant;RWZI Rijen;149.15625;21073.39;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;False;False;False;51.6034258137267;4.9223875690807315;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
