waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Brabantse Delta;Hart van Brabant;RWZI Waalwijk;153.88625;21741.66;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:TEA_assets_minimale_potentie;;;
Brabantse Delta;Hart van Brabant;RWZI Waspik;30.1716666667;4262.77;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Noord-oost Brabant;RWZI ST. OEDENRODE;483.660416668;68333.47;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap De Dommel;Hart van Brabant;RWZI TILBURG;1914.09125;70430.46;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Dinther;537.5;75940.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Aarle-Rixtel;680.833333332;96190.85;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:TEA_assets_minimale_potentie;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Horstermeer;334.54;47265.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1696;1394.0;;;GM1696;1394.0;;;GM1696;1394.0;;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:TEA_assets_minimale_potentie;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Weesp;133.3;18833.15;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0363;1382.0;;;GM0363;1382.0;;;GM0363;1382.0;;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:TEA_assets_minimale_potentie;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Huizen;154.8;21870.76;Specifieke berekening minimaal potentieel;;GM0406;1271.0;;;GM0406;1271.0;;;GM0406;1271.0;;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:TEA_assets_minimale_potentie;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Hilversum (HH Amstel, Gooi en Vecht);153.08;21627.75;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0402;1223.0;;;GM0402;1223.0;;;GM0402;1223.0;;False;False;False;52.22502573196016;5.208387173093924;WarmteAtlas:TEA_assets_minimale_potentie;;;
