waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Brabantse Delta;Hart van Brabant;RWZI Waalwijk;153.88625;357.875;50562.01;21741.66;Aangeleverd door Waterschap;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:TEA_assets_zonder_wko;;;
Brabantse Delta;Hart van Brabant;RWZI Waspik;30.1716666667;70.1666666667;9913.42;4262.77;Aangeleverd door Waterschap;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;RWZI ST. OEDENRODE;483.660416668;1124.79166667;58915.06;68333.47;Aangeleverd door Waterschap;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Hart van Brabant;RWZI TILBURG;1914.09125;4451.375;28908.02;70430.46;Aangeleverd door Waterschap;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Dinther;537.5;1250.0;176605.0;75940.14;Aangeleverd door Waterschap;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Aarle-Rixtel;680.833333332;1583.33333333;23699.66;96190.85;Aangeleverd door Waterschap;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Horstermeer;334.54;778.0;9918.95;47265.14;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;;GM1696;1394.0;;;GM1696;1394.0;;;GM1696;1394.0;;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Weesp;133.3;310.0;43798.03;18833.15;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;;GM0363;1382.0;;;GM0363;1382.0;;;GM0363;1382.0;;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Huizen;154.8;360.0;50862.24;21870.76;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;;GM0406;1271.0;;;GM0406;1271.0;;;GM0406;1271.0;;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Hilversum (HH Amstel, Gooi en Vecht);153.08;356.0;50297.1;21627.75;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;;GM0402;1223.0;;;GM0402;1223.0;;;GM0402;1223.0;;False;False;False;52.22502573196016;5.208387173093924;WarmteAtlas:TEA_assets_zonder_wko;;;
