waterschap;res_gebied;min_uur;min_gj_ex;type;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286WB;BU06031064;GM0603;2286.0;2286WB;BU06031064;GM0603;2286.0;2286WB;False;False;False;52.023848830330806;4.32515697689042;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286WT;BU06031064;GM0603;2286.0;2286WT;BU06031064;GM0603;2286.0;2286WT;False;False;False;52.023184284074766;4.32317218967081;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.02248958190759;4.321081242388032;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.02255646103635;4.321255973290982;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183638;GM0518;2531.0;2531BT;BU05183638;GM0518;2531.0;2531BT;BU05183638;GM0518;2531.0;2531BT;False;False;False;52.056686650937834;4.295261744662894;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183721;GM0518;2525.0;2525JK;BU05183721;GM0518;2525.0;2525JK;BU05183721;GM0518;2525.0;2525JK;False;False;False;52.059088096773124;4.293777010224923;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183721;GM0518;2571.0;2571GA;BU05183721;GM0518;2571.0;2571GA;BU05183721;GM0518;2571.0;2571GA;False;False;False;52.05945911759905;4.293267779205021;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183721;GM0518;2525.0;2525JK;BU05183721;GM0518;2525.0;2525JK;BU05183721;GM0518;2525.0;2525JK;False;False;False;52.05955716431443;4.292953321878798;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183721;GM0518;2571.0;2571GA;BU05183721;GM0518;2571.0;2571GA;BU05183721;GM0518;2571.0;2571GA;False;False;False;52.05978513160629;4.2926909233542245;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183034;GM0518;2571.0;2571GJ;BU05183034;GM0518;2571.0;2571GJ;BU05183034;GM0518;2571.0;2571GJ;False;False;False;52.06348825416954;4.289858915093725;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;3082.0;348350;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05189998;GM0518;n.a.;n.a.;BU05189998;GM0518;n.a.;n.a.;BU05189998;GM0518;n.a.;n.a.;False;False;False;52.10597100263523;4.246752645349542;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
