waterschap;res_gebied;min_uur;min_gj_ex;type;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.023848830330806;4.32515697689042;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.023184284074766;4.32317218967081;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02248958190759;4.321081242388032;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02255646103635;4.321255973290982;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02379780761904;4.3250394115945054;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.04651268288294;4.304035832322188;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.03845286353379;4.311079501995095;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.041840940429594;4.308207343796989;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.04286527476068;4.307351331332611;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.043869995845604;4.306507919208068;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02431030701098;4.324784866382453;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.0442010012901;4.306089692902624;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.044533686896024;4.305670546332069;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.0454944956885;4.304871324067839;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.038026955278774;4.311466556428213;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.023923346115936;4.325171244511354;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02238206479291;4.32097433707284;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02208295631633;4.320719728836569;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.032763678952435;4.316470553529476;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.021833860890176;4.320506812438819;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2287.0;;;GM0603;2287.0;;;GM0603;2287.0;;False;False;False;52.03320129256749;4.3162026109897145;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.035644284409294;4.313810862123969;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.01901924904883;4.318542722538165;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.01946885572716;4.31838517841843;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.01898057783046;4.318515170777672;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.03170161353905;4.304338098585389;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.03671051675245;4.3013827340813835;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.019427791650166;4.317378303315467;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.01978157359038;4.316044357087761;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.019982817710655;4.315312075592243;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02015963515915;4.3146203015484526;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02017827742024;4.314165279363266;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.020218008042775;4.3136491383159425;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02193712228162;4.312049355600612;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02400010633842;4.310295557953361;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.017744228805725;4.317599603137444;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.018941749210256;4.318531874769217;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
