PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;1;480;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54848406373703;6.591292879676567;MULTIPOLYGON (((6.606344 53.54721, 6.576178 53.547511, 6.576241 53.549757, 6.606408 53.549455, 6.606344 53.54721)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
10;10;440;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48887949744158;6.182717917263286;MULTIPOLYGON (((6.182777 53.485605, 6.177449 53.488024, 6.187929 53.49301, 6.182777 53.485605)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
11;11;440;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48471060263795;6.154592492488662;MULTIPOLYGON (((6.152612 53.483554, 6.15395 53.486284, 6.157216 53.484294, 6.152612 53.483554)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
12;12;440;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.482397319028024;6.150630674743047;MULTIPOLYGON (((6.152612 53.483554, 6.151274 53.480824, 6.148007 53.482814, 6.152612 53.483554)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
13;13;440;BU00880000;GM0088;BU00880000;GM0088;BU00880000;GM0088;False;False;53.48248848248257;6.1640870277639825;MULTIPOLYGON (((6.167633 53.481211, 6.15899 53.482178, 6.165639 53.484076, 6.167633 53.481211)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
14;14;440;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.481264265639965;6.139139315523482;MULTIPOLYGON (((6.141236 53.479133, 6.136364 53.480413, 6.139817 53.484247, 6.141236 53.479133)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
15;15;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.460592507639426;6.822205985382973;MULTIPOLYGON (((6.825931 53.459425, 6.818406 53.459514, 6.818481 53.46176, 6.826006 53.46167, 6.825931 53.459425)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
16;16;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46564788428034;5.924474693236532;MULTIPOLYGON (((5.926449 53.466808, 5.925126 53.464076, 5.92185 53.46606, 5.926449 53.466808)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
17;17;440;BU19661201;GM1966;BU19661201;GM1966;BU19661201;GM1966;False;False;53.459904423117045;6.6847908339330955;MULTIPOLYGON (((6.682875 53.458802, 6.682943 53.461048, 6.686706 53.461007, 6.686638 53.458761, 6.682875 53.458802)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
18;18;460;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46382351551649;5.8323088935508025;MULTIPOLYGON (((5.836061 53.462686, 5.828533 53.462714, 5.828557 53.46496, 5.836085 53.464933, 5.836061 53.462686)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
19;19;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.463795466511314;5.839836758132666;MULTIPOLYGON (((5.836061 53.462686, 5.836085 53.464933, 5.843613 53.464904, 5.843589 53.462658, 5.836061 53.462686)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
2;2;460;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54331329633384;6.584157539360025;MULTIPOLYGON (((6.576178 53.547511, 6.606344 53.54721, 6.604766 53.545897, 6.596483 53.544145, 6.586579 53.5359, 6.566965 53.542827, 6.570152 53.546653, 6.576178 53.547511)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
20;20;440;BU19661201;GM1966;BU19661201;GM1966;BU19661201;GM1966;False;False;53.45777974598854;6.673434798762875;MULTIPOLYGON (((6.67152 53.456677, 6.671587 53.458923, 6.67535 53.458883, 6.675282 53.456637, 6.67152 53.456677)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
21;21;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45711167430511;6.831499528828391;MULTIPOLYGON (((6.833305 53.454843, 6.829543 53.454889, 6.829694 53.45938, 6.833456 53.459335, 6.833305 53.454843)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
