PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;1;1700;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54848406373703;6.591292879676567;MULTIPOLYGON (((6.606344 53.54721, 6.576178 53.547511, 6.576241 53.549757, 6.606408 53.549455, 6.606344 53.54721)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
10;10;1550;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48896145403681;6.184722406369;MULTIPOLYGON (((6.186584 53.487826, 6.182819 53.487851, 6.18286 53.490097, 6.186626 53.490072, 6.186584 53.487826)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
11;11;1650;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48702942332458;6.13572561361551;MULTIPOLYGON (((6.133823 53.485918, 6.133862 53.488164, 6.137628 53.488141, 6.137589 53.485895, 6.133823 53.485918)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
12;12;1550;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48691216470574;6.147099484648893;MULTIPOLYGON (((6.14516 53.488094, 6.149738 53.487296, 6.146401 53.485347, 6.14516 53.488094)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
13;13;1600;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.489194714681354;6.163532980631314;POLYGON ((6.137589 53.485895, 6.137628 53.488141, 6.137667 53.490387, 6.141434 53.490363, 6.141394 53.488117, 6.14516 53.488094, 6.147714 53.491078, 6.149046 53.494808, 6.155057 53.495687, 6.173074 53.500064, 6.203117 53.49784, 6.175609 53.495859, 6.185155 53.493657, 6.186626 53.490072, 6.18286 53.490097, 6.182819 53.487851, 6.186584 53.487826, 6.183262 53.484567, 6.172825 53.482588, 6.163823 53.478811, 6.154652 53.482838, 6.150702 53.482057, 6.142986 53.483692, 6.139221 53.471602, 6.136133 53.482821, 6.133823 53.485918, 6.137589 53.485895), (6.146401 53.485347, 6.149738 53.487296, 6.14516 53.488094, 6.146401 53.485347), (6.181622 53.492844, 6.178283 53.490896, 6.18286 53.490097, 6.181622 53.492844));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
14;14;1650;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46886425908892;5.644136054038642;MULTIPOLYGON (((5.647894 53.467733, 5.640365 53.467749, 5.640378 53.469995, 5.647907 53.469979, 5.647894 53.467733)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
15;15;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.460592507639426;6.822205985382973;MULTIPOLYGON (((6.825931 53.459425, 6.818406 53.459514, 6.818481 53.46176, 6.826006 53.46167, 6.825931 53.459425)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
16;16;1650;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46664547210066;5.630947739587614;MULTIPOLYGON (((5.629059 53.465526, 5.629072 53.467772, 5.632836 53.467765, 5.632823 53.465519, 5.629059 53.465526)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
17;17;1650;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.465947187354395;5.864327218864153;MULTIPOLYGON (((5.866197 53.464817, 5.862433 53.464832, 5.862458 53.467078, 5.866222 53.467063, 5.866197 53.464817)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
18;18;1600;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46593222142653;5.868091324875983;MULTIPOLYGON (((5.866197 53.464817, 5.866222 53.467063, 5.869986 53.467048, 5.869961 53.464802, 5.866197 53.464817)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
