PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;1;2000;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54466880333537;6.593562282560532;MULTIPOLYGON (((6.591072 53.540624, 6.589257 53.541788, 6.581867 53.54616, 6.606344 53.54721, 6.60628 53.544964, 6.594969 53.545078, 6.594842 53.540586, 6.591072 53.540624)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
10;10;3500;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.485906415070495;6.13570600861284;MULTIPOLYGON (((6.133784 53.483672, 6.133823 53.485918, 6.133862 53.488164, 6.137628 53.488141, 6.137589 53.485895, 6.13755 53.483649, 6.133784 53.483672)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
11;11;3000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.47994276635775;6.209228208019445;MULTIPOLYGON (((6.212772 53.478664, 6.204131 53.479634, 6.210781 53.48153, 6.212772 53.478664)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
12;12;3000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.495877719081285;6.274952543190043;MULTIPOLYGON (((6.231553 53.476288, 6.233319 53.477482, 6.239155 53.480411, 6.235851 53.503213, 6.243385 53.50316, 6.25092 53.503106, 6.250965 53.505352, 6.307076 53.508223, 6.335599 53.505216, 6.330338 53.499439, 6.316584 53.497086, 6.297932 53.492568, 6.278731 53.488386, 6.25307 53.477812, 6.231553 53.476288)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
13;13;3500;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.488496031193094;6.196157565164935;MULTIPOLYGON (((6.182527 53.472129, 6.181014 53.473468, 6.164643 53.477244, 6.158588 53.482598, 6.153121 53.484902, 6.149046 53.494808, 6.157722 53.495696, 6.152852 53.49703, 6.161531 53.503352, 6.196291 53.500542, 6.235851 53.503213, 6.239155 53.480411, 6.233319 53.477482, 6.231553 53.476288, 6.218014 53.475465, 6.199829 53.472931, 6.182527 53.472129)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
14;14;5000;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46886425908892;5.644136054038642;MULTIPOLYGON (((5.647894 53.467733, 5.640365 53.467749, 5.640378 53.469995, 5.647907 53.469979, 5.647894 53.467733)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
15;15;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.460592507639426;6.822205985382973;MULTIPOLYGON (((6.825931 53.459425, 6.818406 53.459514, 6.818481 53.46176, 6.826006 53.46167, 6.825931 53.459425)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
16;16;4500;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46664547210066;5.630947739587614;MULTIPOLYGON (((5.629059 53.465526, 5.629072 53.467772, 5.632836 53.467765, 5.632823 53.465519, 5.629059 53.465526)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
17;17;5000;BU00600009;GM0060;BU00600009;GM0060;BU00600009;GM0060;False;False;53.46659347096253;5.6554153160567475;MULTIPOLYGON (((5.659172 53.465462, 5.651644 53.465479, 5.651658 53.467725, 5.659187 53.467708, 5.659172 53.465462)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
18;18;4500;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.465939719085526;5.866209272245556;MULTIPOLYGON (((5.862433 53.464832, 5.862458 53.467078, 5.869986 53.467048, 5.869961 53.464802, 5.862433 53.464832)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
19;19;3500;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46383045429627;5.83042692565356;MULTIPOLYGON (((5.828533 53.462714, 5.828557 53.46496, 5.832321 53.464947, 5.832297 53.4627, 5.828533 53.462714)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
2;2;2500;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.544501777707225;6.583285584619255;MULTIPOLYGON (((6.606344 53.54721, 6.581867 53.54616, 6.589257 53.541788, 6.591072 53.540624, 6.584998 53.536257, 6.566835 53.543076, 6.572062 53.548368, 6.602325 53.550305, 6.606344 53.54721)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
20;20;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45568892224235;6.8427432243946535;MULTIPOLYGON (((6.844592 53.454707, 6.84083 53.454753, 6.842808 53.457606, 6.844592 53.454707)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
21;21;4000;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46559632214935;5.635472757174204;MULTIPOLYGON (((5.629034 53.461034, 5.62527 53.461041, 5.625283 53.463288, 5.625295 53.465534, 5.629059 53.465526, 5.632823 53.465519, 5.632836 53.467765, 5.640378 53.469995, 5.640365 53.467749, 5.647894 53.467733, 5.64788 53.465487, 5.636588 53.465511, 5.636575 53.463265, 5.629047 53.46328, 5.629034 53.461034)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
22;22;4000;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.462053253587534;5.676088336264202;MULTIPOLYGON (((5.677963 53.460926, 5.674199 53.460935, 5.674214 53.463181, 5.677978 53.463172, 5.677963 53.460926)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
23;23;3500;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.47117302032025;6.125413435006797;MULTIPOLYGON (((6.125827 53.459012, 6.116733 53.463291, 6.120403 53.472147, 6.127876 53.48273, 6.130019 53.483695, 6.133784 53.483672, 6.125827 53.459012)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
24;24;2000;BU19661301;GM1966;BU19661301;GM1966;BU19661301;GM1966;False;False;53.45760271791244;6.7392931173452935;MULTIPOLYGON (((6.742937 53.453648, 6.733906 53.457973, 6.741035 53.461187, 6.742937 53.453648)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
25;25;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.455988867105425;6.831461741234957;MULTIPOLYGON (((6.833229 53.452598, 6.829467 53.452643, 6.829694 53.45938, 6.833456 53.459335, 6.833229 53.452598)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
26;26;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45353909562415;6.848315830052172;MULTIPOLYGON (((6.85204 53.452371, 6.844516 53.452462, 6.844592 53.454707, 6.852116 53.454616, 6.85204 53.452371)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
27;27;3500;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.460239203801336;5.6909435112338365;MULTIPOLYGON (((5.708056 53.458603, 5.685474 53.458661, 5.677963 53.460926, 5.677978 53.463172, 5.687034 53.461821, 5.706528 53.459936, 5.708056 53.458603)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
28;28;4000;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.459574219432895;5.760754531292235;MULTIPOLYGON (((5.764508 53.458439, 5.756981 53.458463, 5.757001 53.460709, 5.764528 53.460686, 5.764508 53.458439)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
29;29;4500;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.45967238247594;5.781455748120848;MULTIPOLYGON (((5.779583 53.460637, 5.783346 53.460625, 5.781438 53.457755, 5.779583 53.460637)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
3;3;3000;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53797092163878;6.499366517035622;MULTIPOLYGON (((6.500412 53.534756, 6.496642 53.53479, 6.496701 53.537036, 6.496817 53.541528, 6.501785 53.539973, 6.50424 53.536967, 6.500471 53.537001, 6.500412 53.534756)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
30;30;5000;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46037825601448;5.953267683386344;MULTIPOLYGON (((5.941389 53.457756, 5.944283 53.461105, 5.955248 53.462938, 5.956532 53.464424, 5.965491 53.459204, 5.941389 53.457756)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
31;31;3500;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.46000646318814;6.1465457075476975;MULTIPOLYGON (((6.144605 53.456649, 6.144723 53.463387, 6.148487 53.463364, 6.148368 53.456626, 6.144605 53.456649)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
32;32;1000;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.455881737202986;6.81687167507839;MULTIPOLYGON (((6.814344 53.450577, 6.799444 53.455245, 6.80125 53.456743, 6.812461 53.460914, 6.818481 53.46176, 6.818406 53.459514, 6.825931 53.459425, 6.829694 53.45938, 6.829467 53.452643, 6.833229 53.452598, 6.830938 53.450307, 6.817324 53.453557, 6.814344 53.450577)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
33;33;4500;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.45985741202871;5.622920824941801;MULTIPOLYGON (((5.621482 53.456556, 5.617719 53.456564, 5.619428 53.461534, 5.625283 53.463288, 5.62527 53.461041, 5.629034 53.461034, 5.629021 53.458788, 5.621494 53.458803, 5.621482 53.456556)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
34;34;4000;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46079636441974;5.8350807179569895;MULTIPOLYGON (((5.828533 53.462714, 5.832297 53.4627, 5.832321 53.464947, 5.843613 53.464904, 5.835327 53.455196, 5.829736 53.456726, 5.828533 53.462714)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
35;35;4000;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.456725896470765;5.92067676166816;MULTIPOLYGON (((5.922544 53.455594, 5.918781 53.455611, 5.918809 53.457857, 5.922572 53.457841, 5.922544 53.455594)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
36;36;4500;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.462761349835716;5.929010990097044;MULTIPOLYGON (((5.922544 53.455594, 5.922572 53.457841, 5.918809 53.457857, 5.911282 53.45789, 5.910118 53.466126, 5.907655 53.469137, 5.946995 53.466564, 5.956532 53.464424, 5.955248 53.462938, 5.944283 53.461105, 5.941389 53.457756, 5.932308 53.456468, 5.922544 53.455594)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
37;37;4000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.47367282153506;6.145568305829999;MULTIPOLYGON (((6.133276 53.454474, 6.128304 53.456014, 6.125827 53.459012, 6.133784 53.483672, 6.13755 53.483649, 6.137589 53.485895, 6.141355 53.485871, 6.141434 53.490363, 6.144017 53.49333, 6.149046 53.494808, 6.153121 53.484902, 6.158588 53.482598, 6.164643 53.477244, 6.181014 53.473468, 6.182527 53.472129, 6.157427 53.471537, 6.154646 53.46601, 6.148584 53.467824, 6.144723 53.463387, 6.144605 53.456649, 6.137078 53.456696, 6.133315 53.45672, 6.133276 53.454474)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
