OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;3.0;BU19791885;GM1979;9991.0;9991TB;BU19791885;GM1979;9991.0;9991TB;BU19791885;GM1979;9991.0;9991TB;False;False;False;53.33722702349144;6.606483187043584;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
10;3.0;BU19660802;GM1966;9781.0;9781TC;BU19660802;GM1966;9781.0;9781TC;BU19660802;GM1966;9781.0;9781TC;False;False;False;53.31809774106032;6.596591868838925;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
11;3.16;BU19660801;GM1966;9785.0;9785AJ;BU19660801;GM1966;9785.0;9785AJ;BU19660801;GM1966;9785.0;9785AJ;False;False;False;53.26761486452451;6.598655635999201;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
12;3.0;BU19660802;GM1966;9781.0;9781TL;BU19660802;GM1966;9781.0;9781TL;BU19660802;GM1966;9781.0;9781TL;False;False;False;53.31432244799354;6.601390145069836;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
13;3.26;BU18910002;GM1891;9109.0;9109AH;BU18910002;GM1891;9109.0;9109AH;BU18910002;GM1891;9109.0;9109AH;False;False;False;53.264432741299046;6.028188668443666;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
14;2.71;BU18910301;GM1891;9106.0;9106GA;BU18910301;GM1891;9106.0;9106GA;BU18910301;GM1891;9106.0;9106GA;False;False;False;53.31975979066102;5.972678678164573;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
15;3.0;BU19701009;GM1970;9178.0;9178GE;BU19701009;GM1970;9178.0;9178GE;BU19701009;GM1970;9178.0;9178GE;False;False;False;53.29819655823641;5.844294854075582;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
16;3.0;BU19701009;GM1970;9178.0;9178GE;BU19701009;GM1970;9178.0;9178GE;BU19701009;GM1970;9178.0;9178GE;False;False;False;53.297672325543914;5.844541702961372;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
17;3.0;BU19701008;GM1970;9112.0;9112GT;BU19701008;GM1970;9112.0;9112GT;BU19701008;GM1970;9112.0;9112GT;False;False;False;53.30007766105055;5.898247858292187;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
18;2.3;BU19701109;GM1970;9291.0;9291LC;BU19701109;GM1970;9291.0;9291LC;BU19701109;GM1970;9291.0;9291LC;False;False;False;53.29025476174009;6.1462641118925045;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
19;2.0;BU19701204;GM1970;9292.0;9292ML;BU19701204;GM1970;9292.0;9292ML;BU19701204;GM1970;9292.0;9292ML;False;False;False;53.264263596262694;6.165243303395;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
