gemeentecode;bestelauto_buurtsom_actueel;vrachtauto_buurtsom_actueel;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0014;12840;757;11317.0;411.0;13.457630113987806;84.18491484184915
GM0034;18935;1446;31661.0;629.0;-40.19456113199204;129.88871224165342
GM0037;2429;105;2483.0;113.0;-2.1747885622231173;-7.079646017699115
GM0047;1788;81;1543.0;73.0;15.878159429682437;10.95890410958904
GM0050;1840;224;1419.0;101.0;29.668780831571528;121.78217821782178
GM0059;2671;153;2490.0;145.0;7.269076305220883;5.517241379310345
GM0060;386;39;415.0;38.0;-6.9879518072289155;2.6315789473684212
GM0072;1123;95;969.0;79.0;15.89267285861713;20.253164556962027
GM0074;4147;441;3280.0;311.0;26.432926829268293;41.80064308681672
GM0080;6581;487;6306.0;417.0;4.36092610212496;16.786570743405274
GM0085;2240;199;1965.0;164.0;13.994910941475826;21.341463414634145
GM0086;2623;113;2313.0;95.0;13.40250756593169;18.94736842105263
GM0088;68;3;78.0;4.0;-12.820512820512821;-25.0
GM0090;6081;259;5671.0;226.0;7.2297654734614705;14.601769911504425
GM0093;622;33;617.0;32.0;0.8103727714748784;3.125
GM0096;137;8;144.0;8.0;-4.861111111111111;0.0
GM0098;2384;111;2128.0;87.0;12.030075187969924;27.586206896551722
GM0106;3110;144;2636.0;165.0;17.981790591805765;-12.727272727272727
GM0109;3087;146;2651.0;122.0;16.446623915503583;19.672131147540984
GM0114;7580;442;6562.0;386.0;15.513562938128619;14.507772020725389
GM0118;4064;195;3939.0;199.0;3.1733942625031735;-2.0100502512562812
GM0119;3882;291;1736.0;101.0;123.61751152073732;188.11881188118812
GM0141;5886;216;3690.0;192.0;59.51219512195122;12.5
GM0147;1419;92;1287.0;80.0;10.256410256410257;15.0
GM0148;3245;294;2603.0;228.0;24.66384940453323;28.94736842105263
GM0150;3958;186;3616.0;164.0;9.45796460176991;13.414634146341463
GM0153;5948;556;5748.0;487.0;3.4794711203897006;14.168377823408624
GM0158;1838;79;1617.0;76.0;13.667285095856524;3.9473684210526314
GM0160;5305;378;4767.0;325.0;11.285924061254457;16.307692307692307
GM0163;2300;103;2112.0;96.0;8.901515151515152;7.291666666666667
GM0164;4482;268;4206.0;259.0;6.562054208273895;3.474903474903475
GM0166;3887;266;3197.0;199.0;21.58273381294964;33.66834170854271
GM0168;1196;62;1132.0;59.0;5.6537102473498235;5.084745762711864
GM0171;4478;164;3781.0;135.0;18.434276646389844;21.48148148148148
GM0173;2072;111;1816.0;99.0;14.09691629955947;12.121212121212121
GM0175;1558;73;1415.0;65.0;10.10600706713781;12.307692307692308
GM0177;2900;199;2536.0;186.0;14.353312302839116;6.989247311827957
GM0180;737;33;2026.0;153.0;-63.62290227048371;-78.43137254901961
GM0183;3028;138;2797.0;123.0;8.258848766535573;12.195121951219512
GM0184;1794;66;1461.0;54.0;22.792607802874745;22.22222222222222
GM0189;2675;75;4018.0;97.0;-33.424589347934294;-22.68041237113402
GM0193;6573;163;6023.0;213.0;9.131661962477171;-23.474178403755868
GM0197;1876;102;1754.0;91.0;6.955530216647663;12.087912087912088
GM0200;9224;1001;8563.0;962.0;7.719257269648487;4.054054054054054
GM0202;4482;272;4558.0;623.0;-1.6673979815708644;-56.340288924558585
GM0203;7459;438;5982.0;365.0;24.690738883316616;20.0
GM0209;1713;122;1209.0;92.0;41.687344913151364;32.608695652173914
GM0213;788;28;1182.0;60.0;-33.333333333333336;-53.333333333333336
GM0214;2942;291;2488.0;255.0;18.2475884244373;14.117647058823529
GM0216;1318;162;1232.0;146.0;6.98051948051948;10.95890410958904
GM0221;626;40;403.0;27.0;55.33498759305211;48.148148148148145
GM0222;3402;190;3295.0;167.0;3.2473444613050075;13.77245508982036
GM0225;2088;176;1267.0;98.0;64.79873717442779;79.59183673469387
GM0226;1362;117;1114.0;142.0;22.262118491921004;-17.6056338028169
GM0228;10280;1178;8683.0;860.0;18.392260739375793;36.97674418604651
GM0230;2698;120;1573.0;77.0;71.51938970120788;55.84415584415584
GM0232;1400;97;2350.0;138.0;-40.42553191489362;-29.71014492753623
GM0233;2284;258;1576.0;176.0;44.923857868020306;46.59090909090909
GM0243;2720;154;2608.0;125.0;4.294478527607362;23.2
GM0244;700;38;579.0;29.0;20.898100172711572;31.03448275862069
GM0246;1291;81;1182.0;72.0;9.22165820642978;12.5
GM0252;612;37;713.0;43.0;-14.165497896213184;-13.953488372093023
