codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00140000;GNBS;0.8496732026143791;153
BU00140001;GNBH;0.9851485148514851;202
BU00140002;GNBS;1.0;99
BU00140003;GNHK;1.0;47
BU00140004;GNBS;1.0;12
BU00140005;GNBS;1.0;137
BU00140007;GNBS;1.0;7
BU00140008;GNBH;0.5;8
BU00140100;GNBH;1.0;22
BU00140101;GNBH;1.0;166
BU00140102;GNBH;1.0;38
BU00140103;GNBH;0.9915254237288136;118
BU00140104;GNHK;1.0;63
BU00140105;GNHK;1.0;30
BU00140106;GNHK;0.9857142857142858;70
BU00140107;GNHK;1.0;35
BU00140108;GNHK;1.0;7
BU00140109;GNHK;1.0;2
BU00140110;GNHK;1.0;6
BU00140200;GNBS;1.0;74
BU00140201;GNBS;1.0;95
BU00140202;GNHK;1.0;148
BU00140203;GNHK;0.9857142857142858;70
BU00140301;GNBS;1.0;236
BU00140302;GNBS;1.0;133
BU00140303;GNBS;0.9918032786885246;122
BU00140304;GNBS;1.0;8
BU00140400;GNBS;1.0;108
BU00140401;GNBS;1.0;57
BU00140402;GNBS;1.0;97
BU00140403;GNBS;0.9761904761904762;42
BU00140404;GNBS;1.0;17
BU00140500;GNBH;1.0;16
BU00140501;GNHU;0.7777777777777778;9
BU00140503;GNBH;1.0;6
BU00140504;GNBH;1.0;1
BU00140505;GNBH;1.0;13
BU00140506;GNBH;1.0;17
BU00140507;GNBH;1.0;18
BU00140508;GNBH;1.0;12
BU00140510;GNBH;0.6;5
BU00140511;GNBH;1.0;1
BU00140512;GNBH;1.0;11
BU00140513;GNBH;1.0;9
BU00140600;GNBH;1.0;13
BU00140601;GNBH;1.0;121
BU00140602;GNBH;1.0;13
BU00140603;GNBH;1.0;48
BU00140604;GNBH;1.0;179
BU00140605;GNBH;1.0;136
BU00140606;GNBH;1.0;89
BU00140700;GNHK;0.9926470588235294;136
BU00140701;GNHK;1.0;96
BU00140702;GNHK;1.0;16
BU00140703;GNHK;1.0;5
BU00140704;VVL10;0.8666666666666667;15
BU00140705;VVL10;1.0;1
BU00140800;GNHK;0.9821428571428571;56
BU00140801;GNHK;1.0;153
BU00140802;VVL10;0.75;8
BU00140803;GNHK;1.0;4
BU00140804;GNHK;1.0;3
BU00140805;GNHK;1.0;5
BU00140806;GNHK;1.0;23
BU00140809;GNHK;1.0;5
BU00140810;GNHK;1.0;20
BU00140811;GNHK;0.6666666666666666;3
BU00140812;GNHK;1.0;5
BU00140900;GNHK;1.0;144
BU00140901;GNHK;1.0;123
BU00140902;GNHK;1.0;11
BU00140903;GNHK;1.0;6
BU00140904;GNHK;1.0;48
BU00140905;GNHK;1.0;5
BU00140906;GNHK;1.0;27
BU00140907;GNHK;1.0;4
BU00140908;GNHK;1.0;1
BU00140909;GNHK;1.0;1
BU00140910;GNHK;1.0;13
BU00141000;GNHK;1.0;137
BU00141001;GNHK;1.0;99
BU00141002;GNHK;1.0;157
BU00141003;GNHK;1.0;14
BU00141004;GNHK;1.0;4
BU00141005;GNHK;1.0;43
BU00141100;GNBH;1.0;166
BU00141101;GNBH;1.0;172
BU00141102;GNBH;1.0;45
BU00141103;GNBH;1.0;13
BU00141104;GNBH;1.0;5
BU00141105;GNBH;1.0;5
BU00141106;GNBH;0.5555555555555556;9
BU00141107;GNBH;1.0;1
BU00141200;GNBH;1.0;108
BU00141201;GNBH;1.0;79
BU00141202;GNBH;1.0;42
BU00141205;GNBH;1.0;2
BU00141206;GNBH;1.0;5
BU00141207;GNBH;1.0;5
BU00141208;GNBH;1.0;18
BU00141209;GNBH;1.0;3
BU00141210;GNBH;1.0;15
BU00141211;GNBH;1.0;19
BU00141212;GNBH;1.0;9
BU00141213;GNBH;1.0;49
BU00141214;GNBH;1.0;45
BU00141215;GNBH;1.0;3
BU00141216;GNBH;1.0;2
BU00141217;GNBH;1.0;11
BU00141301;GNBH;0.8;20
BU00141302;GNBH;1.0;3
BU00141304;GNBH;1.0;1
BU00141305;GNBH;1.0;4
BU00141400;GNHU;1.0;23
BU00141401;KWD;0.8;10
BU00141402;GNHU;0.6666666666666666;6
BU00141403;GNHU;1.0;14
BU00141404;GNHU;1.0;16
BU00141405;GNHU;0.5833333333333334;12
BU00141406;GNHU;1.0;2
BU00141500;GNHU;1.0;118
BU00141501;GNHU;0.8571428571428571;7
BU00141502;GNHU;0.9473684210526315;19
BU00141503;GNHU;1.0;23
