buurtcode;gemeentecode;scenario;modality;jaar;ev_aantal
BU00140000;GM0014;low;car_bev;2025;9.586968974761758
BU00140000;GM0014;low;car_bev;2026;11.99429192654447
BU00140000;GM0014;low;car_bev;2027;14.829763567654723
BU00140000;GM0014;low;car_bev;2028;18.13954506836342
BU00140000;GM0014;low;car_bev;2029;21.97713650865479
BU00140000;GM0014;low;car_bev;2030;26.185750251576316
BU00140000;GM0014;low;car_bev;2031;30.87800094328768
BU00140000;GM0014;low;car_bev;2032;35.982594043759036
BU00140000;GM0014;low;car_bev;2033;41.49422955527599
BU00140000;GM0014;low;car_bev;2034;47.39401173729706
BU00140000;GM0014;low;car_bev;2035;53.6484033091902
BU00140000;GM0014;low;car_bev;2036;60.05378686528094
BU00140000;GM0014;low;car_bev;2037;66.21985539004274
BU00140000;GM0014;low;car_bev;2038;73.15042175366844
BU00140000;GM0014;low;car_bev;2039;81.10055761327992
BU00140000;GM0014;low;car_bev;2040;90.2440933413063
BU00140000;GM0014;low;car_bev;2041;100.36646783376942
BU00140000;GM0014;low;car_bev;2042;117.91516638364047
BU00140000;GM0014;low;car_bev;2043;142.557401864266
BU00140000;GM0014;low;car_bev;2044;178.47059090352968
BU00140000;GM0014;low;car_bev;2045;237.4929898582084
BU00140000;GM0014;low;car_bev;2046;369.6831972037785
BU00140000;GM0014;low;car_bev;2047;644.014201996773
BU00140000;GM0014;low;car_bev;2048;646.0423646385356
BU00140000;GM0014;low;car_bev;2049;647.9405373117837
BU00140000;GM0014;low;car_bev;2050;649.7096457103986
BU00140001;GM0014;low;car_bev;2025;15.301038428211706
BU00140001;GM0014;low;car_bev;2026;19.166847243812786
BU00140001;GM0014;low;car_bev;2027;23.73037763903554
BU00140001;GM0014;low;car_bev;2028;29.070258282434963
BU00140001;GM0014;low;car_bev;2029;35.27778433032767
BU00140001;GM0014;low;car_bev;2030;42.073683910493195
BU00140001;GM0014;low;car_bev;2031;49.6396942267977
BU00140001;GM0014;low;car_bev;2032;57.863193670139594
BU00140001;GM0014;low;car_bev;2033;66.73606470630446
BU00140001;GM0014;low;car_bev;2034;76.22976807789077
BU00140001;GM0014;low;car_bev;2035;86.2900547282737
