jaar;var_code;carrier;groep;res_regio;status;waarde_gemeenten;waarde_res;ontbrekend_bedrag
2023;vbrze_a;elec;a;nan;res_ontbreekt;20000.0;;
2023;vbrze_b;elec;bf;Alblasserwaard;res_ontbreekt;;;
2023;vbrze_b;elec;bf;Foodvalley;res_ontbreekt;;;
2023;vbrze_b;elec;bf;Goeree-Overflakkee;res_ontbreekt;;;
2023;vbrze_b;elec;bf;HollandRijnland;res_ontbreekt;22000.0;;
2023;vbrze_b;elec;bf;nan;res_ontbreekt;23000.0;;
2023;vbrze_b;elec;bf;Noord-HollandNoord;res_ontbreekt;1368000.0;;
2023;vbrze_b;elec;bf;Noord-HollandZuid;res_ontbreekt;222000.0;;
2023;vbrze_b;elec;bf;U16;res_ontbreekt;27000.0;;
2023;vbrze_b;elec;bf;West-Brabant;res_ontbreekt;171000.0;;
2023;vbrze_b;elec;bf;West-Overijssel;res_ontbreekt;3172000.0;;
2023;vbrze_b;elec;bf;Zuid-Limburg;res_ontbreekt;13000.0;;
2023;vbrze_b;elec;bf;<niet toewijsbaar>;niet_toewijsbaar;1099520000.0;1094525000.0;552027000.0
2023;vbrze_ctot;elec;bf;nan;res_ontbreekt;;;
2023;vbrze_ctot;elec;bf;<niet toewijsbaar>;niet_toewijsbaar;25189026000.0;25187207000.0;1762000.0
2023;vbrze_d;elec;bf;Drechtsteden;res_ontbreekt;1218000.0;;
2023;vbrze_d;elec;bf;nan;res_ontbreekt;14521000.0;;
2023;vbrze_d;elec;bf;Rotterdam/DenHaag;res_ontbreekt;410468000.0;;
2023;vbrze_d;elec;bf;Cleantech;res_ontbreekt;989000.0;;
2023;vbrze_d;elec;bf;Twente;res_ontbreekt;21111000.0;;
2023;vbrze_d;elec;bf;Zuid-Limburg;res_ontbreekt;7490000.0;;
2023;vbrze_d;elec;bf;<niet toewijsbaar>;niet_toewijsbaar;1384099000.0;942648000.0;742994000.0
2023;vbrze_afval;elec;bf;nan;res_ontbreekt;192000.0;;
2023;vbrze_afval;elec;bf;Noord-HollandZuid;res_ontbreekt;154900000.0;;
2023;vbrze_afval;elec;bf;<niet toewijsbaar>;niet_toewijsbaar;1758731000.0;1603821000.0;161517000.0
2023;vbrze_f;elec;bf;nan;res_ontbreekt;;;
2023;vbrze_g1;elec;gi;nan;res_ontbreekt;201000.0;;
2023;vbrze_i;elec;gi;nan;res_ontbreekt;76000.0;;
2023;vbrze_h;elec;hj;nan;res_ontbreekt;292000.0;;
2023;vbrze_h;elec;hj;<niet toewijsbaar>;niet_toewijsbaar;5894230000.0;5894217000.0;2000.0
2023;vbrze_j;elec;hj;nan;res_ontbreekt;6132000.0;;
2023;vbrze_j;elec;hj;Noord-HollandNoord;res_ontbreekt;32868000.0;;
2023;vbrze_j;elec;hj;Noord-HollandZuid;res_ontbreekt;2054303000.0;;
2023;vbrze_j;elec;hj;<niet toewijsbaar>;niet_toewijsbaar;4300483000.0;2213304000.0;3337204000.0
2023;vbrze_k;elec;kl;nan;res_ontbreekt;0.0;;
2023;vbrze_l;elec;kl;Alblasserwaard;res_ontbreekt;;;
2023;vbrze_l;elec;kl;Drechtsteden;res_ontbreekt;6245000.0;;
2023;vbrze_l;elec;kl;Foodvalley;res_ontbreekt;18243000.0;;
2023;vbrze_l;elec;kl;FruitdeltaRivierenland;res_ontbreekt;4681000.0;;
2023;vbrze_l;elec;kl;nan;res_ontbreekt;8000.0;;
2023;vbrze_l;elec;kl;Twente;res_ontbreekt;29011000.0;;
2023;vbrze_l;elec;kl;West-Brabant;res_ontbreekt;27166000.0;;
2023;vbrze_l;elec;kl;West-Overijssel;res_ontbreekt;3089000.0;;
2023;vbrze_l;elec;kl;<niet toewijsbaar>;niet_toewijsbaar;917457000.0;829021000.0;135711000.0
2023;vbrze_m;elec;mn;nan;res_ontbreekt;12000.0;;
2023;vbrze_n;elec;mn;FruitdeltaRivierenland;res_ontbreekt;21845000.0;;
2023;vbrze_n;elec;mn;MetropoolregioEindhoven;res_ontbreekt;12152000.0;;
2023;vbrze_n;elec;mn;nan;res_ontbreekt;212000.0;;
2023;vbrze_n;elec;mn;Noord-HollandNoord;res_ontbreekt;4634000.0;;
2023;vbrze_n;elec;mn;Noord-HollandZuid;res_ontbreekt;14553000.0;;
2023;vbrze_n;elec;mn;Noordoost-Brabant;res_ontbreekt;8596000.0;;
2023;vbrze_n;elec;mn;Cleantech;res_ontbreekt;4250000.0;;
2023;vbrze_n;elec;mn;<niet toewijsbaar>;niet_toewijsbaar;420926000.0;354896000.0;177295000.0
2023;vbrze_o;elec;oq;nan;res_ontbreekt;1262000.0;;
2023;vbrze_p;elec;oq;nan;res_ontbreekt;197000.0;;
2023;vbrze_q;elec;oq;nan;res_ontbreekt;3000.0;;
2023;vbrze_r1;elec;ru;nan;res_ontbreekt;86000.0;;
2023;vbrze_s;elec;ru;Foodvalley;res_ontbreekt;9029000.0;;
2023;vbrze_s;elec;ru;Goeree-Overflakkee;res_ontbreekt;;;
2023;vbrze_s;elec;ru;HollandRijnland;res_ontbreekt;9792000.0;;
2023;vbrze_s;elec;ru;MetropoolregioEindhoven;res_ontbreekt;9109000.0;;
2023;vbrze_s;elec;ru;nan;res_ontbreekt;3000.0;;
2023;vbrze_s;elec;ru;Noordoost-Brabant;res_ontbreekt;17143000.0;;
2023;vbrze_s;elec;ru;<niet toewijsbaar>;niet_toewijsbaar;439983000.0;394904000.0;65355000.0
2023;vbrze_u;elec;ru;Achterhoek;res_ontbreekt;;;
