codering;categorie;scenario;jaar;ev_aantal;totaal
BU04820204;auto;low;2025;0.0874819493789232;0.0
BU05050606;auto;low;2025;0.0172907547993619;0.0
BU05050706;auto;low;2025;0.059139592865948803;0.0
BU05050709;auto;low;2025;1.257611451169693;0.0
BU05050711;auto;low;2025;0.05303185346515481;0.0
BU05051000;auto;low;2025;0.0878001888809728;0.0
BU05051004;auto;low;2025;55.32436875798122;25.0
BU05051912;auto;low;2025;0.25893615458890207;0.0
BU00140007;auto;low;2025;0.0348735292476696;0.0
BU00140510;auto;low;2025;0.7502117287206513;0.0
BU00141107;auto;low;2025;0.16741770781970441;0.0
BU00141207;auto;low;2025;0.2276061960909248;0.0
BU00141705;auto;low;2025;1.1144041540092886;0.0
BU00141803;auto;low;2025;0.2489383123135085;0.0
BU00141907;auto;low;2025;0.2473844053836415;0.0
BU05230304;auto;low;2025;0.0254611421741913;0.0
BU05230310;auto;low;2025;1.706376044055102;0.0
BU05230404;auto;low;2025;0.1645181526659995;0.0
BU06420103;auto;low;2025;0.0420419464746102;0.0
BU06420106;auto;low;2025;0.0420419464746102;0.0
BU06420306;auto;low;2025;0.0211304565797014;0.0
BU06420501;auto;low;2025;0.0185575768898961;0.0
BU04820101;bestelauto;low;2025;2.5864240601635378;0.0
BU04820102;bestelauto;low;2025;1.1902925920098195;0.0
BU04820103;bestelauto;low;2025;3.5398058448280736;0.0
BU04820201;bestelauto;low;2025;4.640900696272228;0.0
BU04820202;bestelauto;low;2025;1.7880051591386954;0.0
BU04820203;bestelauto;low;2025;1.275812627151005;0.0
BU04820204;bestelauto;low;2025;0.0243197556802735;0.0
BU04820205;bestelauto;low;2025;2.015896994021605;0.0
BU04820206;bestelauto;low;2025;1.8916831095170985;0.0
BU04820301;bestelauto;low;2025;1.7266784729090872;0.0
BU04820302;bestelauto;low;2025;1.055716249534691;0.0
BU04820303;bestelauto;low;2025;1.5927898143540935;0.0
BU04820304;bestelauto;low;2025;1.715831548750924;0.0
BU04820305;bestelauto;low;2025;1.2212858571050966;0.0
BU04820306;bestelauto;low;2025;2.326336083258813;0.0
BU04820307;bestelauto;low;2025;3.330812133729477;0.0
BU04820401;bestelauto;low;2025;1.927185107409345;0.0
BU04820402;bestelauto;low;2025;4.322839368493458;0.0
BU04820404;bestelauto;low;2025;0.6823759253779089;0.0
BU04820602;bestelauto;low;2025;0.424650624631885;0.0
BU05050201;bestelauto;low;2025;3.328685724057354;3.0
BU05050300;bestelauto;low;2025;0.8514813827713794;0.0
BU05050301;bestelauto;low;2025;3.7293335073428695;1.0
BU05050302;bestelauto;low;2025;1.7246884898332635;0.0
BU05050303;bestelauto;low;2025;1.803731708492569;1.0
BU05050304;bestelauto;low;2025;2.365265371428334;1.0
BU05050305;bestelauto;low;2025;3.0126612304190155;1.0
BU05050306;bestelauto;low;2025;3.3156106086467543;1.0
BU05050307;bestelauto;low;2025;2.264752984721667;1.0
BU05050400;bestelauto;low;2025;1.887645212437;1.0
BU05050401;bestelauto;low;2025;1.344428748819321;0.0
BU05050402;bestelauto;low;2025;0.94052869624482;0.0
BU05050403;bestelauto;low;2025;1.391211867827317;0.0
BU05050404;bestelauto;low;2025;1.5371046251230265;0.0
BU05050600;bestelauto;low;2025;0.4262726088255455;0.0
BU05050601;bestelauto;low;2025;0.8560421634750466;0.0
