codering;jaar;solar_woningen_kwp;solar_woningen_count
BU16800000;2022;3280.0;775.0
BU16800009;2022;107.0;20.0
BU16800100;2022;923.0;228.0
BU16800109;2022;111.0;20.0
BU16800200;2022;253.0;59.0
BU16800209;2022;58.0;12.0
BU16800300;2022;n.a.;n.a.
BU16800309;2022;n.a.;n.a.
BU16800400;2022;137.0;33.0
BU16800409;2022;21.0;4.0
BU16800500;2022;562.0;118.0
BU16800509;2022;38.0;8.0
BU16800600;2022;524.0;112.0
BU16800609;2022;37.0;5.0
BU16800700;2022;135.0;36.0
BU16800709;2022;0.0;0.0
BU16800800;2022;n.a.;n.a.
BU16800809;2022;n.a.;n.a.
BU16800900;2022;128.0;24.0
BU16800909;2022;0.0;0.0
BU16801100;2022;343.0;76.0
BU16801109;2022;0.0;0.0
BU16801200;2022;200.0;52.0
BU16801209;2022;0.0;0.0
BU16801300;2022;71.0;13.0
BU16801309;2022;34.0;5.0
BU16801400;2022;1152.0;268.0
BU16801401;2022;145.0;24.0
BU16801409;2022;56.0;11.0
BU16801500;2022;1272.0;344.0
BU16801501;2022;32.0;5.0
BU16801509;2022;0.0;0.0
BU16801600;2022;530.0;111.0
BU16801601;2022;n.a.;n.a.
BU16801609;2022;n.a.;n.a.
BU16801700;2022;3498.0;869.0
BU16801709;2022;233.0;34.0
BU16801800;2022;499.0;116.0
BU16801801;2022;77.0;12.0
BU16801802;2022;225.0;44.0
BU16801809;2022;225.0;38.0
BU16801900;2022;2995.0;726.0
BU16801901;2022;127.0;22.0
BU16801902;2022;76.0;12.0
BU16801903;2022;77.0;13.0
BU16801908;2022;941.0;160.0
BU16801909;2022;136.0;21.0
BU16802000;2022;497.0;100.0
BU16802001;2022;108.0;23.0
BU16802008;2022;28.0;4.0
BU16802009;2022;119.0;17.0
BU16802100;2022;306.0;52.0
BU16802101;2022;97.0;12.0
BU16802109;2022;72.0;13.0
BU03580000;2022;1182.0;281.0
BU03580001;2022;2683.0;763.0
BU03580004;2022;1240.0;369.0
BU03580005;2022;490.0;93.0
BU03580100;2022;4231.0;1117.0
BU03580200;2022;593.0;114.0
BU03580201;2022;511.0;95.0
BU03580205;2022;3771.0;989.0
BU03580206;2022;352.0;60.0
BU01970101;2022;122.0;25.0
BU01970102;2022;365.0;57.0
BU01970103;2022;311.0;53.0
BU01970104;2022;366.0;58.0
BU01970105;2022;111.0;27.0
BU01970106;2022;210.0;42.0
BU01970107;2022;463.0;29.0
BU01970108;2022;388.0;66.0
BU01970109;2022;83.0;9.0
BU01970110;2022;592.0;88.0
BU01970111;2022;331.0;60.0
BU01970112;2022;105.0;20.0
BU01970201;2022;170.0;21.0
BU01970202;2022;163.0;34.0
BU01970203;2022;73.0;10.0
BU01970204;2022;844.0;207.0
BU01970301;2022;1133.0;318.0
BU01970302;2022;1318.0;322.0
BU01970303;2022;1021.0;271.0
BU01970304;2022;1447.0;371.0
BU01970305;2022;954.0;196.0
BU01970306;2022;463.0;136.0
BU01970307;2022;928.0;212.0
BU01970400;2022;1173.0;295.0
BU01970401;2022;1088.0;253.0
BU01970402;2022;1496.0;369.0
BU01970403;2022;335.0;75.0
BU01970408;2022;349.0;54.0
BU01970409;2022;608.0;107.0
BU00590000;2022;2994.0;756.0
BU00590001;2022;498.0;111.0
BU00590002;2022;997.0;277.0
BU00590003;2022;677.0;161.0
BU00590004;2022;432.0;113.0
BU00590005;2022;536.0;105.0
BU00590006;2022;128.0;19.0
BU00590007;2022;226.0;42.0
BU00590008;2022;153.0;33.0
BU00590009;2022;74.0;15.0
BU00590100;2022;111.0;28.0
BU00590102;2022;978.0;246.0
BU00590103;2022;529.0;119.0
BU00590107;2022;99.0;9.0
BU00590108;2022;91.0;21.0
BU00590109;2022;150.0;26.0
BU00590200;2022;2867.0;754.0
BU00590201;2022;2208.0;509.0
BU00590202;2022;507.0;127.0
BU00590203;2022;330.0;74.0
BU00590206;2022;226.0;43.0
BU00590207;2022;189.0;33.0
BU00590208;2022;318.0;54.0
BU00590209;2022;414.0;76.0
BU04820101;2022;478.0;107.0
BU04820102;2022;52.0;17.0
BU04820103;2022;399.0;115.0
BU04820104;2022;218.0;45.0
BU04820105;2022;380.0;122.0
BU04820201;2022;261.0;56.0
BU04820202;2022;508.0;149.0
BU04820203;2022;214.0;52.0
BU04820204;2022;17.0;3.0
BU04820205;2022;229.0;62.0
BU04820206;2022;139.0;42.0
BU04820301;2022;427.0;128.0
BU04820302;2022;345.0;93.0
BU04820303;2022;416.0;130.0
BU04820304;2022;365.0;130.0
BU04820305;2022;118.0;36.0
BU04820306;2022;313.0;94.0
BU04820307;2022;300.0;88.0
BU04820401;2022;379.0;100.0
BU04820402;2022;456.0;109.0
BU04820403;2022;386.0;91.0
BU04820404;2022;35.0;6.0
BU04820501;2022;n.a.;n.a.
BU04820502;2022;0.0;0.0
BU04820503;2022;n.a.;n.a.
BU04820601;2022;0.0;0.0
BU04820602;2022;n.a.;n.a.
BU04820603;2022;n.a.;n.a.
BU04820604;2022;64.0;14.0
BU06130101;2022;1503.0;357.0
BU06130102;2022;23.0;5.0
BU06130103;2022;37.0;10.0
BU06130104;2022;94.0;22.0
BU06130205;2022;877.0;266.0
BU06130207;2022;62.0;8.0
BU06130308;2022;196.0;52.0
BU06130309;2022;1015.0;282.0
BU06130310;2022;474.0;176.0
BU06130311;2022;939.0;277.0
BU06130312;2022;101.0;27.0
BU06130313;2022;71.0;19.0
BU06130414;2022;760.0;219.0
BU06130415;2022;711.0;192.0
BU06130416;2022;265.0;42.0
BU06130417;2022;369.0;119.0
BU06130418;2022;921.0;319.0
BU06130419;2022;451.0;153.0
BU06130420;2022;92.0;21.0
BU06130521;2022;n.a.;n.a.
BU06130522;2022;n.a.;n.a.
BU06130623;2022;1204.0;258.0
BU06130624;2022;672.0;162.0
BU06130625;2022;97.0;17.0
BU06130626;2022;1274.0;304.0
BU06130706;2022;n.a.;n.a.
BU03610100;2022;622.0;217.0
BU03610101;2022;479.0;163.0
BU03610102;2022;397.0;158.0
BU03610103;2022;26.0;7.0
BU03610104;2022;241.0;82.0
BU03610105;2022;296.0;103.0
BU03610106;2022;470.0;110.0
BU03610107;2022;186.0;55.0
BU03610108;2022;293.0;104.0
BU03610109;2022;466.0;139.0
BU03610200;2022;1210.0;363.0
BU03610201;2022;1090.0;374.0
BU03610202;2022;1207.0;376.0
BU03610203;2022;607.0;238.0
BU03610204;2022;1030.0;435.0
BU03610205;2022;n.a.;n.a.
BU03610206;2022;492.0;181.0
BU03610208;2022;1031.0;322.0
BU03610209;2022;n.a.;n.a.
BU03610300;2022;674.0;284.0
BU03610301;2022;123.0;27.0
BU03610302;2022;409.0;122.0
BU03610303;2022;213.0;66.0
BU03610308;2022;12.0;3.0
BU03610309;2022;57.0;3.0
BU03610400;2022;1161.0;447.0
BU03610401;2022;813.0;279.0
BU03610402;2022;527.0;231.0
BU03610403;2022;292.0;109.0
BU03610404;2022;1160.0;401.0
BU03610409;2022;43.0;12.0
BU03610500;2022;778.0;239.0
BU03610501;2022;66.0;7.0
BU03610502;2022;806.0;268.0
BU03610503;2022;367.0;124.0
BU03610600;2022;1465.0;474.0
BU03610601;2022;1189.0;458.0
BU03610602;2022;1575.0;598.0
BU03610603;2022;1094.0;350.0
BU03610604;2022;635.0;273.0
BU03610700;2022;1445.0;410.0
BU03610701;2022;1821.0;744.0
BU03610702;2022;1045.0;337.0
BU03610703;2022;1176.0;402.0
BU03610704;2022;1314.0;429.0
BU03610709;2022;23.0;6.0
BU03610800;2022;286.0;101.0
BU03610801;2022;517.0;154.0
BU03610802;2022;252.0;98.0
BU03610803;2022;115.0;49.0
BU03610900;2022;448.0;98.0
BU03610901;2022;68.0;9.0
BU03610902;2022;1168.0;324.0
BU03610903;2022;694.0;169.0
BU03610904;2022;381.0;71.0
BU03610905;2022;156.0;30.0
BU03610906;2022;1134.0;99.0
BU03611000;2022;68.0;13.0
BU03611001;2022;462.0;118.0
BU03611002;2022;568.0;137.0
BU03611003;2022;1877.0;549.0
BU03611004;2022;84.0;21.0
BU03611005;2022;191.0;21.0
BU03611006;2022;179.0;52.0
BU03611100;2022;2192.0;666.0
BU03611101;2022;1666.0;478.0
BU01411000;2022;579.0;96.0
BU01411001;2022;91.0;15.0
BU01411002;2022;103.0;24.0
BU01411003;2022;140.0;30.0
BU01411100;2022;198.0;57.0
BU01411101;2022;891.0;288.0
BU01411102;2022;247.0;69.0
BU01411103;2022;983.0;370.0
BU01411104;2022;206.0;70.0
BU01411105;2022;0.0;0.0
BU01411109;2022;25.0;3.0
BU01411200;2022;706.0;201.0
BU01411201;2022;988.0;214.0
BU01411202;2022;553.0;125.0
BU01411203;2022;1144.0;351.0
BU01411204;2022;n.a.;n.a.
BU01411205;2022;0.0;0.0
BU01411206;2022;247.0;27.0
BU01411209;2022;n.a.;n.a.
BU01411300;2022;544.0;122.0
BU01411301;2022;1100.0;216.0
BU01411302;2022;188.0;46.0
BU01411303;2022;238.0;72.0
BU01411304;2022;590.0;104.0
