OBJECTID;accomm_id;accomm_nm;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;n_voorzien;n_ind_ voo;n_out_voor;n_out_kuns;n_out_natu;n_out swat;n_out_wat;n_sporthln;n_sportzln;n_gymzln;sport;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1;198;Sportpark Sloten;1965.0;115424.0;483680.0;Sloterweg 1045;1066cd;amsterdam;amsterdam;noord-holland;8;0;8;4;4;0;0;0;0;0;voetbal;BU0363FQ07;GM0363;1066;1066CD;BU0363FQ07;GM0363;1066.0;1066CD;BU0363FQ07;GM0363;1066.0;1066CD;False;False;False;52.33961511650748;4.806490792133211;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
10;600;Sportpark de drift;1980.0;232260.0;548989.0;de Drift 33;9414ba;hooghalen;midden-drenthe;drenthe;2;0;2;0;2;0;0;0;0;0;voetbal;BU17310200;GM1731;9414;9414BA;BU17310200;GM1731;9414.0;9414BA;BU17310200;GM1731;9414.0;9414BA;False;False;False;52.92244590798475;6.5360122503489535;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
11;623;Sportpark De Bosrand;1994.0;172362.0;526085.0;Bosrand 20;8311as;espel;noordoostpolder;flevoland;3;0;3;0;3;0;0;0;0;0;voetbal;BU01710942;GM0171;8311;8311AS;BU01710942;GM0171;8311.0;8311AS;BU01710942;GM0171;8311.0;8311AS;False;False;False;52.72186603867353;5.64417921289207;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
12;625;Toernooihal;1965.0;173100.0;530687.0;Toernooilaan 9;8312am;creil;noordoostpolder;flevoland;2;0;2;1;1;0;0;0;0;0;voetbal;BU01711045;GM0171;8312;8312AM;BU01711045;GM0171;8312.0;8312AM;BU01711045;GM0171;8312.0;8312AM;False;False;False;52.763198805853065;5.655355072059854;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
13;641;De Bining;1991.0;160887.0;571785.0;Sportlaan 7b;8822vm;arum;súdwest-fryslân;friesland;2;0;2;1;1;0;0;0;0;0;voetbal;BU19001303;GM1900;8822;8822VM;BU19001303;GM1900;8822.0;8822VM;BU19001303;GM1900;8822.0;8822VM;False;False;False;53.13278679473471;5.4751648778151445;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
14;669;Burgerkamp;1976.0;199828.0;576950.0;'t Hôf 84;9261vv;eastermar;tytsjerksteradiel;friesland;2;0;2;0;2;0;0;0;0;0;voetbal;BU07370700;GM0737;9261;9261VV;BU07370700;GM0737;9261.0;9261VV;BU07370700;GM0737;9261.0;9261VV;False;False;False;53.17735543335705;6.0576788204354;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
15;676;S.V. A.S.C.'75;1978.0;207056.0;581627.0;It oast 1a;9284tg;augustinusga;achtkarspelen;friesland;3;0;3;1;2;0;0;0;0;0;voetbal;BU00590103;GM0059;9284;9284TG;BU00590103;GM0059;9284.0;9284TG;BU00590103;GM0059;9284.0;9284TG;False;False;False;53.218724715920075;6.166532455522963;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
16;712;Sporthal It Tsjillan;1984.0;177798.0;552214.0;Tsjillânleane 27;8525gp;langweer;de fryske marren;friesland;2;0;2;0;2;0;0;0;0;0;voetbal;BU19402101;GM1940;8525;8525GP;BU19402101;GM1940;8525.0;8525GP;BU19402101;GM1940;8525.0;8525GP;False;False;False;52.95647158231194;5.7264533400453095;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
17;716;Kaetsjemuoilan;n.a.;189571.0;585143.0;Van Haersmasingel 40;9062gc;oentsjerk;tytsjerksteradiel;friesland;5;0;5;1;4;0;0;0;0;0;voetbal;BU07370101;GM0737;9062;9062GC;BU07370101;GM0737;9062.0;9062GC;BU07370101;GM0737;9062.0;9062GC;False;False;False;53.25173125271213;5.90515792928577;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
18;719;Sportpark de Kampen;1994.0;195729.0;560201.0;Breewei 6a;8406ee;tijnje;opsterland;friesland;3;0;3;0;3;0;0;0;0;0;voetbal;BU00861501;GM0086;8406;8406EE;BU00861501;GM0086;8406.0;8406EE;BU00861501;GM0086;8406.0;8406EE;False;False;False;53.027185141250676;5.994265560799908;WarmteAtlas:sportparken;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:54;
