actualitei;typefungeb;terr_naam;terr_opp_m;accomm_id;accomm_nm;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;n_out_kuns;n_out_natu;sport;search_dis;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
2021-01-01;sportterrein, sportcomplex;0;35574;1563;sjef van dongen sportpark;1960;18686.0;366662.0;herendreef 55a;4527ah;aardenburg;sluis;zeeland;0;2;voetbal;0;BU17140200;GM1714;4527;4527AH;BU17140200;GM1714;4527;4527AH;BU17140200;GM1714;4527;4527AH;False;False;False;51.27202890030901;3.433304228639172;MULTIPOLYGON (((3.432915 51.270986, 3.432782 51.271222, 3.432732 51.271333, 3.432742 51.271401, 3.432794 51.27147, 3.43285 51.271545, 3.432893 51.271593, 3.432937 51.271649, 3.432968 51.271696, 3.432984 51.271733, 3.432983 51.271761, 3.432968 51.271794, 3.432925 51.271846, 3.432901 51.27186, 3.432812 51.271876, 3.432789 51.271971, 3.432733 51.271969, 3.432722 51.272055, 3.4328 51.272062, 3.432774 51.272182, 3.431411 51.271895, 3.431397 51.271923, 3.431093 51.272554, 3.432596 51.272861, 3.432747 51.27258, 3.433073 51.272608, 3.432983 51.272931, 3.43299 51.27294, 3.433471 51.272993, 3.433468 51.273003, 3.433554 51.273012, 3.433561 51.272992, 3.433658 51.273002, 3.433666 51.273003, 3.433664 51.27301, 3.434261 51.273068, 3.434364 51.272699, 3.434419 51.272515, 3.434405 51.272513, 3.43453 51.27224, 3.434635 51.272035, 3.434984 51.27139, 3.434995 51.271374, 3.434809 51.271333, 3.434793 51.271324, 3.434783 51.271313, 3.43476 51.271296, 3.43466 51.271267, 3.433772 51.271062, 3.433651 51.27103, 3.433733 51.270883, 3.433081 51.2707, 3.432933 51.270949, 3.432915 51.270986)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2017-01-01;sportterrein, sportcomplex;0;44968;19242;sportpark oosterloo;1974;24386.0;398107.0;roosjesweg 12;4357ed;domburg;veere;zeeland;0;4;voetbal;0;BU07170409;GM0717;4357;4357ED;BU07170409;GM0717;4357;4357ED;BU07170409;GM0717;4357;4357ED;False;False;False;51.55683054771044;3.5037220671650298;MULTIPOLYGON (((3.50343 51.55793, 3.503975 51.558107, 3.50402 51.558118, 3.504876 51.557137, 3.504952 51.557169, 3.505022 51.557081, 3.505388 51.557201, 3.505425 51.557165, 3.505575 51.557006, 3.505622 51.556956, 3.505688 51.556863, 3.505748 51.556777, 3.505803 51.556688, 3.50584 51.55661, 3.505897 51.556469, 3.504807 51.556114, 3.503029 51.555536, 3.502749 51.55594, 3.502026 51.556963, 3.50176 51.557341, 3.501759 51.55736, 3.50179 51.557393, 3.501866 51.557416, 3.502591 51.557654, 3.502813 51.557731, 3.50343 51.55793)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2017-01-01;sportterrein, sportcomplex;0;51058;19241;sportpark duinhelm;1974;27528.94;399553.57;magnolialaan 33;4356je;oostkapelle;veere;zeeland;0;4;voetbal;0;BU07170501;GM0717;4356;4356JE;BU07170501;GM0717;4356;4356JE;BU07170501;GM0717;4356;4356JE;False;False;False;51.569900923694455;3.5484018483525506;MULTIPOLYGON (((3.547526 51.570422, 3.547594 51.570423, 3.547884 51.57043, 3.548169 51.570435, 3.548163 51.570606, 3.548275 51.570701, 3.548192 51.570822, 3.548454 51.570904, 3.548449 51.570985, 3.548499 51.570986, 3.548513 51.571406, 3.548971 51.571424, 3.549278 51.571428, 3.549773 51.571424, 3.549846 51.57067, 3.549893 51.569817, 3.549769 51.569814, 3.549757 51.569685, 3.549847 51.569615, 3.549936 51.569614, 3.549973 51.568914, 3.546358 51.568837, 3.546326 51.569632, 3.546507 51.569634, 3.546687 51.569637, 3.546897 51.569643, 3.546904 51.569678, 3.546902 51.569701, 3.546893 51.569839, 3.546879 51.57004, 3.546879 51.570044, 3.546654 51.57004, 3.546634 51.570403, 3.546781 51.570406, 3.547404 51.570419, 3.547526 51.570422)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2017-01-01;sportterrein, sportcomplex;0;44373;19235;sportpark 't sas;2000;43878.0;361526.0;suikerplein 1;4551al;sas van gent;terneuzen;zeeland;0;3;voetbal;0;BU07151301;GM0715;4551;4551AL;BU07151301;GM0715;4551;4551AL;BU07151301;GM0715;4551;4551AL;False;False;False;51.232123017399935;3.797426679663139;MULTIPOLYGON (((3.796834 51.23305, 3.799014 51.233229, 3.799348 51.231662, 3.799243 51.231548, 3.799243 51.231548, 3.795454 51.231202, 3.795059 51.231173, 3.794893 51.231296, 3.794963 51.231326, 3.795153 51.23142, 3.795294 51.231491, 3.79534 51.231517, 3.795374 51.231543, 3.795391 51.231556, 3.795398 51.231565, 3.795406 51.231575, 3.795417 51.231591, 3.795425 51.231614, 3.79543 51.23164, 3.795428 51.231659, 3.795329 51.232082, 3.795283 51.232079, 3.795245 51.232269, 3.796853 51.232436, 3.796892 51.232449, 3.796947 51.2325, 3.796834 51.23305)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2018-01-01;sportterrein, sportcomplex;0;49104;19237;sportpark bermpje;1974;41152.0;367204.0;strandgaper 9b;4553ca;philippine;terneuzen;zeeland;0;3;voetbal;0;BU07151101;GM0715;4553;4553CA;BU07151101;GM0715;4553;4553CA;BU07151101;GM0715;4553;4553CA;False;False;False;51.28242109058566;3.7548442515079805;MULTIPOLYGON (((3.755498 51.281849, 3.75533 51.281827, 3.755222 51.281796, 3.755144 51.281764, 3.754935 51.281662, 3.754885 51.281626, 3.754844 51.281584, 3.75481 51.28152, 3.754793 51.281485, 3.75478 51.281433, 3.754724 51.281338, 3.754638 51.281259, 3.754604 51.281228, 3.754586 51.281212, 3.754531 51.281159, 3.754479 51.281106, 3.754447 51.281067, 3.754405 51.281016, 3.754375 51.280979, 3.754345 51.280943, 3.754302 51.280891, 3.754097 51.280947, 3.753725 51.281047, 3.753645 51.281184, 3.753509 51.281444, 3.753518 51.281452, 3.753515 51.281458, 3.753433 51.281452, 3.753357 51.281606, 3.753256 51.28197, 3.753223 51.282227, 3.753159 51.282686, 3.753069 51.283154, 3.753052 51.283239, 3.753027 51.28337, 3.753948 51.28361, 3.754175 51.283569, 3.754358 51.283602, 3.754535 51.283328, 3.754426 51.2833, 3.754544 51.283122, 3.754569 51.283129, 3.754771 51.282816, 3.755314 51.282938, 3.755308 51.282976, 3.755412 51.282986, 3.75617 51.28318, 3.756862 51.283351, 3.757101 51.28309, 3.757441 51.282494, 3.757204 51.282435, 3.7572 51.282434, 3.757193 51.282166, 3.757163 51.282165, 3.755718 51.282121, 3.755739 51.28186, 3.755734 51.28186, 3.755712 51.281859, 3.755571 51.281854, 3.755498 51.281849)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2017-01-01;sportterrein, sportcomplex;0;41459;19239;sportpark denoek;1970;43519.0;370702.0;lovenpolderstraat 2a;4542ns;hoek;terneuzen;zeeland;1;3;voetbal;0;BU07150501;GM0715;4542;4542NS;BU07150501;GM0715;4542;4542NS;BU07150501;GM0715;4542;4542NS;False;False;False;51.31421239013972;3.7870747275663863;MULTIPOLYGON (((3.785419 51.314192, 3.786196 51.3143, 3.785578 51.315087, 3.787133 51.315548, 3.787597 51.315178, 3.788068 51.314801, 3.788126 51.314755, 3.788396 51.314508, 3.78851 51.31442, 3.788514 51.314338, 3.788576 51.314309, 3.788651 51.314287, 3.788685 51.314229, 3.788706 51.314178, 3.78872 51.314133, 3.788728 51.31408, 3.788727 51.314021, 3.788721 51.313973, 3.788711 51.313919, 3.78842 51.313735, 3.788465 51.313673, 3.788492 51.313636, 3.788307 51.313458, 3.787799 51.313311, 3.78772 51.313289, 3.787842 51.313141, 3.786853 51.312843, 3.786208 51.313663, 3.785602 51.313589, 3.785589 51.313618, 3.785604 51.313634, 3.785491 51.313971, 3.785419 51.314192)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2018-01-01;sportterrein, sportcomplex;0;46956;1559;sportpark biervliet;0;36812.0;372642.0;havenstraat 11;4521px;biervliet;terneuzen;zeeland;0;2;voetbal;0;BU07150401;GM0715;4521;4521PX;BU07150401;GM0715;4521;4521PX;BU07150401;GM0715;4521;4521PX;False;False;False;51.33025274490276;3.692375181073108;MULTIPOLYGON (((3.690942 51.330204, 3.690941 51.330234, 3.690946 51.330316, 3.690947 51.330324, 3.690956 51.330357, 3.690953 51.330526, 3.690942 51.330651, 3.690922 51.330766, 3.690869 51.330932, 3.690773 51.331106, 3.690556 51.331426, 3.690528 51.331481, 3.690459 51.331585, 3.690399 51.331692, 3.690552 51.331882, 3.691177 51.331614, 3.691877 51.331347, 3.692232 51.331205, 3.693257 51.330768, 3.693568 51.33064, 3.694374 51.330306, 3.694086 51.329634, 3.693773 51.328923, 3.692417 51.329157, 3.692559 51.329495, 3.692259 51.329554, 3.692201 51.329565, 3.692153 51.329481, 3.692115 51.329422, 3.692076 51.329383, 3.692031 51.329352, 3.691982 51.329324, 3.691929 51.329301, 3.691877 51.329286, 3.691817 51.32927, 3.691757 51.329259, 3.691699 51.329251, 3.691641 51.329253, 3.691581 51.329266, 3.691443 51.329308, 3.691319 51.329401, 3.691262 51.329404, 3.69123 51.329406, 3.691178 51.329407, 3.691173 51.329536, 3.691181 51.329604, 3.691118 51.329607, 3.691141 51.329877, 3.691163 51.330133, 3.691044 51.330202, 3.690942 51.330204)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2020-01-01;sportterrein, sportcomplex;0;31540;19234;sportpark in den polder;1990;45972.0;361880.0;kapittelstraat 6;4554ap;westdorpe;terneuzen;zeeland;0;3;voetbal;0;BU07152601;GM0715;4554;4554AP;BU07152601;GM0715;4554;4554AP;BU07152601;GM0715;4554;4554AP;False;False;False;51.23636973594266;3.827077420034473;MULTIPOLYGON (((3.825655 51.236054, 3.825785 51.236107, 3.825351 51.236629, 3.825748 51.236749, 3.827811 51.237418, 3.828868 51.236158, 3.826504 51.235393, 3.826287 51.235323, 3.825693 51.236009, 3.825655 51.236054)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2021-01-01;sportterrein, sportcomplex;0;46436;19236;sportpark berlaere;1975;55661.0;360843.0;berlaersstraat 4;4576ad;koewacht;terneuzen;zeeland;0;3;voetbal;0;BU07150701;GM0715;4576;4576AD;BU07150701;GM0715;4576;4576AD;BU07150701;GM0715;4576;4576AD;False;False;False;51.22847103726908;3.9645953855237144;MULTIPOLYGON (((3.962785 51.229186, 3.962838 51.22924, 3.962936 51.229351, 3.962993 51.229344, 3.963072 51.229319, 3.963143 51.22928, 3.963378 51.229595, 3.963388 51.229601, 3.963436 51.229588, 3.963499 51.229572, 3.964835 51.229176, 3.965369 51.229011, 3.965369 51.22901, 3.965661 51.22892, 3.966011 51.228811, 3.966149 51.228769, 3.966159 51.228766, 3.966368 51.228704, 3.966822 51.228566, 3.967169 51.228462, 3.967299 51.228423, 3.967108 51.22816, 3.966981 51.228007, 3.966978 51.228003, 3.96682 51.227831, 3.966649 51.227655, 3.966629 51.227655, 3.965713 51.227929, 3.965345 51.227437, 3.965143 51.227536, 3.964996 51.227608, 3.964981 51.227616, 3.964436 51.227891, 3.964423 51.227903, 3.963501 51.227541, 3.962377 51.22869, 3.962237 51.228825, 3.962315 51.228874, 3.962551 51.229021, 3.962785 51.229186)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
2017-01-01;sportterrein, sportcomplex;0;50731;19232;sportpark axel;1980;52564.0;364567.0;sportlaan 11;4571ca;axel;terneuzen;zeeland;0;4;voetbal;0;BU07150101;GM0715;4571;4571CA;BU07150101;GM0715;4571;4571CA;BU07150101;GM0715;4571;4571CA;False;False;False;51.26022975400538;3.9194221005041685;MULTIPOLYGON (((3.919972 51.259315, 3.919307 51.259225, 3.918954 51.259177, 3.918897 51.259169, 3.918214 51.259076, 3.918172 51.259071, 3.917348 51.260762, 3.917753 51.260831, 3.918078 51.260888, 3.918315 51.260928, 3.918216 51.261148, 3.91846 51.261135, 3.918693 51.261136, 3.918727 51.261124, 3.918732 51.261111, 3.918803 51.261125, 3.918817 51.261145, 3.918825 51.261157, 3.919244 51.261229, 3.919276 51.261224, 3.91928 51.261223, 3.919354 51.261238, 3.919355 51.261238, 3.91938 51.261253, 3.919921 51.261347, 3.91998 51.26136, 3.920173 51.261399, 3.920328 51.261436, 3.920645 51.261514, 3.920712 51.261366, 3.920746 51.261292, 3.920611 51.261261, 3.921014 51.260474, 3.921489 51.259521, 3.919972 51.259315)));WarmteAtlas:sportterreinen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:55;
