transformer_id;type;naam;operator;jaar;voltage_kv;latitude;longitude;primary_parent_id;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;voorspelde_capaciteit_invoeding;voorspelde_capaciteit_afname;jaartal_opgelost_invoeding;jaartal_opgelost_afname;congestiegebied_afname;congestiegebied_opwek;afname_kleurcode;opwek_kleurcode;provincie;info
118065277_23;RNB;118065277_23;Stedin;2026;n.a.;51.845161131182;4.487694502210533;Station Rotterdam Zuidwijk 150 kV;n.a.;n.a.;n.a.;n.a.;0.0;0.0;0.0;0.0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
AMLM;RNB;AMLM;Coteq, Enexis;2026;n.a.;52.362258083826006;6.580959168070901;Station Almelo Mosterdpot 110 kV;78.49;83.56;24.7147903895079;79.35882656263163;44.0;42.0;39.418;10.555;n.a.;n.a.;2025.0;2029.0;n.a.;n.a.;n.a.;n.a.;Overijssel;n.a.
AMLU;RNB;AMLU;Coteq, Enexis;2026;n.a.;52.33012749011619;6.664514217607698;Station Almelo Urenco 110 kV;62.43;65.55;26.5896188005134;35.28931932031989;35.0;18.0;36.056;18.514;n.a.;n.a.;2028.0;2025.0;n.a.;n.a.;n.a.;n.a.;Overijssel;n.a.
ARI;RNB;ARI;Enexis;2026;n.a.;51.537564299235406;5.701709461613627;Station Aarle Rixtel 150 kV;98.51;108.77;112.9359588454428;73.62383762753626;61.0;89.0;70.009;49.321;n.a.;n.a.;2030.0;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Brabant;n.a.
Amstelveen;RNB;Amstelveen;Liander;2026;n.a.;52.28376115986042;4.89149924646619;Station Amstelveen 150;63.0;56.0;16.0;53.0;n.a.;23.0;n.a.;5.17136;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
BBS;RNB;BBS;Enexis;2026;n.a.;51.783962488751506;4.849487697192916;Station Biesbosch 150 kV;21.6;21.6;9.0310609777181;24.60827677178901;15.0;27.0;6.632;5.88;n.a.;n.a.;2030.0;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Brabant;n.a.
BD;RNB;BD;Enexis;2026;n.a.;51.58419614902727;4.7929300283556415;Station Breda 150 kV;174.23;187.14;53.28280136359254;150.9263238035875;60.0;187.0;16.15;69.754;n.a.;n.a.;2025.0;2028.0;n.a.;n.a.;n.a.;n.a.;Noord-Brabant;n.a.
BEEK;RNB;BEEK;Enexis;2026;n.a.;50.92534954733508;5.795073415006641;Station Beek 150 kV;129.18;43.19;36.1095289356516;36.85897647350635;28.0;44.0;51.279;27.641;n.a.;n.a.;2025.0;2029.0;n.a.;n.a.;n.a.;n.a.;Limburg;n.a.
BELF;RNB;BELF;Enexis;2026;n.a.;51.323214888677754;6.085764413940735;Station Belfeld 150 kV;79.8;86.39;53.9797998;41.96711796757404;23.0;44.0;7.369;12.407;n.a.;n.a.;2032.0;2025.0;n.a.;n.a.;n.a.;n.a.;Limburg;n.a.
BGMR;RNB;BGMR;Enexis;2026;n.a.;52.77481925679993;6.840822144739267;Station Bargermeer 110 kV;82.45;94.05;35.2085563104878;56.44487441007816;58.0;36.0;71.072;26.456;n.a.;n.a.;2030.0;2030.0;n.a.;n.a.;n.a.;n.a.;Drenthe;n.a.
BL;RNB;BL;Enexis;2026;n.a.;52.8580848486214;6.481425095224792;Station Beilen 110 kV;172.77;172.77;56.5868215893876;63.43416344324778;35.0;25.0;70.898;17.279;n.a.;n.a.;2025.0;2025.0;n.a.;n.a.;n.a.;n.a.;Drenthe, Overijssel;n.a.
BLER;RNB;BLER;Enexis;2026;n.a.;51.3822603512259;6.161775694344182;Station Blerick 150 kV;110.2;122.44;23.536895571343;89.9765740142801;51.0;101.0;15.227;43.51;n.a.;n.a.;2025.0;2033.0;n.a.;n.a.;n.a.;n.a.;Limburg;n.a.
BOEK;RNB;BOEK;Enexis;2026;n.a.;51.3933947244039;6.082503823704155;Station Boekend 150 kV;181.94;195.23;90.47247224;39.97596212304079;40.0;65.0;38.542;159.772;n.a.;n.a.;2025.0;2033.0;n.a.;n.a.;n.a.;n.a.;Limburg;n.a.
