buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU00140000;2022;78.0;15.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU00140000;2023;74.0;16.0;n.a.;n.a.;n.a.;0.0;0.0;3.0
BU00140000;2024;73.0;14.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
BU00140001;2022;71.0;21.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU00140001;2023;65.0;21.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU00140001;2024;65.0;19.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
BU00140002;2022;66.0;27.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU00140002;2023;64.0;28.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
BU00140002;2024;65.0;25.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU00140003;2022;65.0;13.0;n.a.;n.a.;n.a.;0.0;0.0;5.0
BU00140003;2023;64.0;12.0;n.a.;n.a.;n.a.;0.0;0.0;11.0
BU00140003;2024;72.0;9.0;n.a.;n.a.;n.a.;1.0;0.0;14.0
BU00140004;2022;71.0;17.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU00140004;2023;68.0;17.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU00140004;2024;68.0;15.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
BU00140005;2022;73.0;7.0;0.0;0.0;13.0;1.0;0.0;3.0
BU00140005;2023;72.0;7.0;0.0;0.0;12.0;1.0;0.0;4.0
BU00140005;2024;69.0;6.0;0.0;0.0;14.0;1.0;0.0;6.0
BU00140007;2022;71.0;17.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU00140007;2023;68.0;17.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU00140007;2024;68.0;15.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
BU00140008;2022;71.0;17.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU00140008;2023;68.0;17.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU00140008;2024;68.0;15.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
BU00140100;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;6.0
BU00140100;2023;89.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
BU00140100;2024;76.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;18.0
BU00140101;2022;88.0;9.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU00140101;2023;91.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
BU00140101;2024;90.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
BU00140102;2022;87.0;1.0;n.a.;n.a.;n.a.;9.0;0.0;2.0
BU00140102;2023;85.0;3.0;n.a.;n.a.;n.a.;9.0;0.0;2.0
BU00140102;2024;81.0;4.0;n.a.;n.a.;n.a.;11.0;1.0;3.0
BU00140103;2022;87.0;5.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
BU00140103;2023;87.0;5.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
BU00140103;2024;86.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
BU00140104;2022;69.0;10.0;0.0;0.0;11.0;10.0;0.0;1.0
BU00140104;2023;63.0;9.0;0.0;0.0;10.0;9.0;0.0;9.0
BU00140104;2024;58.0;4.0;0.0;0.0;16.0;13.0;0.0;9.0
BU00140105;2022;81.0;16.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU00140105;2023;80.0;16.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU00140105;2024;81.0;14.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU00140106;2022;60.0;17.0;n.a.;n.a.;n.a.;1.0;0.0;17.0
BU00140106;2023;52.0;16.0;n.a.;n.a.;n.a.;1.0;0.0;25.0
BU00140106;2024;53.0;16.0;n.a.;n.a.;n.a.;1.0;0.0;26.0
BU00140107;2022;91.0;8.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU00140107;2023;91.0;9.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU00140107;2024;90.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU00140108;2022;81.0;9.0;n.a.;n.a.;n.a.;3.0;0.0;4.0
