gemeentecode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
GM0014;2022;81.0;9.0;0.0;1.0;3.0;1.0;0.0;4.0
GM0014;2023;78.0;8.0;0.0;0.0;4.0;2.0;1.0;5.0
GM0014;2024;76.0;8.0;0.0;0.0;4.0;3.0;1.0;6.0
GM0034;2022;38.0;1.0;0.0;0.0;53.0;0.0;0.0;8.0
GM0034;2023;36.0;1.0;0.0;0.0;54.0;1.0;0.0;8.0
GM0034;2024;35.0;0.0;0.0;0.0;53.0;1.0;0.0;9.0
GM0037;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0037;2023;88.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0037;2024;86.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0047;2022;92.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0047;2023;89.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0047;2024;85.0;4.0;n.a.;n.a.;n.a.;5.0;2.0;3.0
GM0050;2022;76.0;0.0;0.0;0.0;18.0;1.0;0.0;3.0
GM0050;2023;73.0;0.0;0.0;0.0;19.0;2.0;1.0;4.0
GM0050;2024;68.0;0.0;0.0;0.0;20.0;3.0;2.0;5.0
GM0059;2022;93.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0059;2023;90.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0059;2024;88.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0060;2022;82.0;2.0;n.a.;n.a.;n.a.;8.0;1.0;3.0
GM0060;2023;78.0;2.0;n.a.;n.a.;n.a.;8.0;1.0;6.0
GM0060;2024;74.0;2.0;n.a.;n.a.;n.a.;9.0;1.0;8.0
GM0072;2022;88.0;6.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0072;2023;85.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
GM0072;2024;83.0;4.0;n.a.;n.a.;n.a.;2.0;2.0;8.0
GM0074;2022;89.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0074;2023;86.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0074;2024;84.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0080;2022;82.0;7.0;0.0;0.0;3.0;1.0;0.0;5.0
GM0080;2023;80.0;7.0;0.0;0.0;4.0;2.0;1.0;6.0
GM0080;2024;78.0;7.0;0.0;0.0;4.0;2.0;1.0;7.0
GM0085;2022;93.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0085;2023;90.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0085;2024;88.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0086;2022;89.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
GM0086;2023;85.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
GM0086;2024;82.0;2.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0088;2022;88.0;1.0;n.a.;n.a.;n.a.;0.0;0.0;5.0
GM0088;2023;85.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;8.0
GM0088;2024;84.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;9.0
GM0090;2022;90.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0090;2023;87.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0090;2024;85.0;5.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0093;2022;94.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0093;2023;92.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0093;2024;89.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0096;2022;77.0;0.0;0.0;0.0;5.0;1.0;0.0;7.0
GM0096;2023;70.0;0.0;0.0;0.0;5.0;0.0;1.0;12.0
GM0096;2024;69.0;0.0;0.0;0.0;5.0;1.0;1.0;14.0
GM0098;2022;93.0;1.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0098;2023;90.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0098;2024;87.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0106;2022;90.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0106;2023;87.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0106;2024;84.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0109;2022;90.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0109;2023;85.0;3.0;n.a.;n.a.;n.a.;5.0;1.0;4.0
GM0109;2024;81.0;3.0;n.a.;n.a.;n.a.;6.0;2.0;5.0
GM0114;2022;90.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0114;2023;87.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0114;2024;85.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0118;2022;87.0;6.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0118;2023;85.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0118;2024;82.0;6.0;n.a.;n.a.;n.a.;4.0;2.0;3.0
GM0119;2022;84.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0119;2023;82.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0119;2024;80.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
GM0141;2022;90.0;3.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0141;2023;87.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0141;2024;85.0;3.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0147;2022;93.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0147;2023;89.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0147;2024;85.0;0.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0148;2022;90.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;6.0
GM0148;2023;85.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;8.0
GM0148;2024;82.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;9.0
GM0150;2022;84.0;5.0;0.0;3.0;4.0;1.0;0.0;2.0
GM0150;2023;82.0;4.0;0.0;2.0;4.0;2.0;1.0;3.0
GM0150;2024;80.0;4.0;0.0;2.0;4.0;2.0;1.0;4.0
GM0153;2022;72.0;6.0;1.0;2.0;11.0;2.0;0.0;3.0
GM0153;2023;70.0;6.0;1.0;2.0;12.0;2.0;1.0;3.0
GM0153;2024;69.0;6.0;1.0;2.0;13.0;3.0;1.0;4.0
GM0158;2022;89.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0158;2023;85.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
GM0158;2024;82.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0160;2022;91.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0160;2023;87.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0160;2024;83.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0163;2022;92.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0163;2023;89.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0163;2024;86.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
GM0164;2022;88.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0164;2023;86.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0164;2024;83.0;4.0;n.a.;n.a.;n.a.;2.0;2.0;4.0
GM0166;2022;92.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0166;2023;88.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0166;2024;86.0;4.0;n.a.;n.a.;n.a.;2.0;2.0;4.0
GM0168;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0168;2023;87.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0168;2024;85.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0171;2022;89.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0171;2023;85.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0171;2024;82.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;7.0
GM0173;2022;88.0;6.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0173;2023;85.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0173;2024;83.0;6.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0175;2022;89.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0175;2023;85.0;3.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0175;2024;82.0;3.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0177;2022;92.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0177;2023;87.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0177;2024;84.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0180;2022;89.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0180;2023;85.0;1.0;n.a.;n.a.;n.a.;5.0;1.0;3.0
