codering;jaar;wtp_actiedoelen;wtp_energiedragers;wtp_energiebronnen_z_omz;wtp_wng_check;wtp_wng_type_wnet;wtp_util_check
BU08880000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880109;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350006;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350104;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350105;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350204;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350206;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350207;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350208;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350209;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350303;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350304;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350401;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350403;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350404;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350405;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350406;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350500;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350501;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350502;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350503;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350600;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350601;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350602;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350603;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09350604;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380109;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380204;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09380206;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09710203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
