bu_naam;gm_naam;wvr50;net_wvr50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Annen;Aa en Hunze;65959.0822950329;56536.35;BU16800000;GM1680;BU16800000;GM1680;BU16800000;GM1680;False;False;53.05906360709268;6.718195637744117;MULTIPOLYGON (((6.713687 53.068697, 6.715487 53.069432, 6.71795 53.064424, 6.719078 53.062769, 6.720729 53.061324, 6.72188 53.06165, 6.727497 53.058994, 6.726863 53.058271, 6.729732 53.057387, 6.731156 53.058362, 6.734883 53.056172, 6.736735 53.056603, 6.737348 53.055498, 6.735288 53.055137, 6.738936 53.053545, 6.740157 53.05343, 6.741527 53.050878, 6.740109 53.050319, 6.738944 53.051129, 6.736531 53.050591, 6.735716 53.0514, 6.735518 53.052234, 6.733982 53.052138, 6.729205 53.053654, 6.727656 53.052421, 6.723636 53.05057, 6.71772 53.050189, 6.716437 53.050702, 6.715237 53.051849, 6.712786 53.053687, 6.712352 53.054733, 6.712297 53.056481, 6.706932 53.061478, 6.703102 53.061148, 6.699651 53.064162, 6.699015 53.065174, 6.705245 53.067659, 6.706299 53.06808, 6.711433 53.070113, 6.713687 53.068697)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Anderen;Aa en Hunze;7700.280886972;6600.24;BU16800400;GM1680;BU16800400;GM1680;BU16800400;GM1680;False;False;52.999987503425004;6.685187106160259;MULTIPOLYGON (((6.681025 53.004293, 6.683096 53.004177, 6.682556 53.003185, 6.68578 53.002855, 6.69038 53.003084, 6.68943 53.001701, 6.692233 53.000937, 6.689882 53.000443, 6.689994 53.000085, 6.687118 52.999502, 6.686889 52.999815, 6.686667 52.999768, 6.687748 52.997114, 6.68879 52.995381, 6.688567 52.994925, 6.687054 52.99481, 6.687168 52.993959, 6.685454 52.993696, 6.6849 52.99621, 6.682236 52.998556, 6.6815 52.998797, 6.681086 53.002797, 6.680035 53.002771, 6.678859 53.004584, 6.680549 53.005054, 6.681025 53.004293)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Anderen;Aa en Hunze;1952.80898574506;1673.83;BU16800409;GM1680;BU16800409;GM1680;BU16800409;GM1680;False;False;53.002480367864855;6.684885261678218;MULTIPOLYGON (((6.696226 53.015043, 6.696852 53.014475, 6.697502 53.01418, 6.699271 53.014189, 6.706488 53.007168, 6.709888 53.008705, 6.711133 53.007706, 6.712712 53.008339, 6.715503 52.998249, 6.707113 52.99701, 6.700064 52.980941, 6.698868 52.981023, 6.696757 52.981609, 6.691651 52.982126, 6.691192 52.982332, 6.688738 52.984808, 6.687767 52.986805, 6.687376 52.98707, 6.685495 52.986469, 6.684644 52.98694, 6.683717 52.98709, 6.682083 52.986927, 6.67978 52.987223, 6.677181 52.988175, 6.675446 52.991385, 6.675931 52.992042, 6.661781 52.990666, 6.661756 52.990664, 6.66203 52.991619, 6.661617 52.995086, 6.656804 53.001179, 6.65807 53.00239, 6.65754 53.003008, 6.657716 53.003347, 6.656698 53.007232, 6.659885 53.010389, 6.662533 53.017145, 6.666094 53.015751, 6.666539 53.015978, 6.665915 53.016315, 6.666162 53.016887, 6.666734 53.017199, 6.666643 53.017725, 6.667082 53.018055, 6.66842 53.018411, 6.669998 53.017971, 6.670475 53.018329, 6.677335 53.019112, 6.68972 53.020225, 6.69472 53.021688, 6.696226 53.015043), (6.678859 53.004584, 6.680035 53.002771, 6.681086 53.002797, 6.6815 52.998797, 6.682236 52.998556, 6.6849 52.99621, 6.685454 52.993696, 6.687168 52.993959, 6.687054 52.99481, 6.688567 52.994925, 6.68879 52.995381, 6.687748 52.997114, 6.686667 52.999768, 6.686889 52.999815, 6.687118 52.999502, 6.689994 53.000085, 6.689882 53.000443, 6.692233 53.000937, 6.68943 53.001701, 6.69038 53.003084, 6.68578 53.002855, 6.682556 53.003185, 6.683096 53.004177, 6.681025 53.004293, 6.680549 53.005054, 6.678859 53.004584)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Schipborg;Aa en Hunze;13299.8127135213;11399.83;BU16800500;GM1680;BU16800500;GM1680;BU16800500;GM1680;False;False;53.073584808361986;6.669516102217347;MULTIPOLYGON (((6.670426 53.080105, 6.674188 53.078981, 6.678521 53.076825, 6.678 53.076576, 6.678244 53.076488, 6.676965 53.074758, 6.676267 53.075001, 6.676277 53.074235, 6.675062 53.074046, 6.675433 53.073274, 6.672803 53.072862, 6.672354 53.072437, 6.672297 53.071991, 6.670839 53.071806, 6.671813 53.067965, 6.675146 53.065897, 6.674573 53.0655, 6.673134 53.065504, 6.671599 53.065017, 6.6714 53.065188, 6.670559 53.065219, 6.670138 53.064651, 6.669781 53.064641, 6.669561 53.064851, 6.669376 53.065601, 6.670288 53.066087, 6.670492 53.066612, 6.670176 53.067286, 6.668675 53.067099, 6.6668 53.06803, 6.665374 53.068434, 6.66442 53.069055, 6.664331 53.069274, 6.66494 53.069942, 6.665121 53.070805, 6.666089 53.071516, 6.666391 53.072064, 6.666081 53.072175, 6.664846 53.07154, 6.663645 53.071334, 6.662084 53.072096, 6.661217 53.073188, 6.661974 53.074175, 6.66216 53.07503, 6.662022 53.076177, 6.663231 53.076824, 6.664714 53.077139, 6.666638 53.077166, 6.669188 53.080345, 6.670426 53.080105)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Oud-Annerveen;Aa en Hunze;702.715354718866;602.32;BU16800909;GM1680;BU16800909;GM1680;BU16800909;GM1680;False;False;53.08349039881189;6.759916340920576;MULTIPOLYGON (((6.75855 53.088643, 6.759292 53.088788, 6.765015 53.083195, 6.763844 53.082846, 6.764546 53.08205, 6.765792 53.082312, 6.767442 53.080883, 6.767906 53.080831, 6.768844 53.080008, 6.767783 53.079425, 6.765327 53.078631, 6.764218 53.077934, 6.763011 53.078368, 6.76216 53.077817, 6.760824 53.076344, 6.75719 53.076103, 6.756226 53.076353, 6.750522 53.078861, 6.748434 53.080287, 6.748211 53.081233, 6.749002 53.081848, 6.749743 53.081591, 6.750201 53.081787, 6.750215 53.082367, 6.749368 53.083636, 6.749118 53.083776, 6.747877 53.083529, 6.745439 53.084357, 6.745108 53.08469, 6.746113 53.085929, 6.748114 53.086917, 6.748772 53.08684, 6.757859 53.089403, 6.75855 53.088643)), ((6.777379 53.083364, 6.770399 53.0816, 6.768857 53.083315, 6.762841 53.088967, 6.761952 53.090544, 6.76328 53.090915, 6.765285 53.091496, 6.777379 53.083364)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Annerveenschekanaal;Aa en Hunze;9867.60298099966;8457.94;BU16801100;GM1680;BU16801100;GM1680;BU16801100;GM1680;False;False;53.07770898455031;6.800760927641067;MULTIPOLYGON (((6.813945 53.070972, 6.814536 53.070598, 6.812085 53.069285, 6.812136 53.069181, 6.811524 53.068891, 6.804815 53.073272, 6.804814 53.073738, 6.789922 53.083157, 6.788725 53.082871, 6.786593 53.085913, 6.787269 53.086098, 6.787748 53.085753, 6.789827 53.086308, 6.813945 53.070972)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Schipborg;Aa en Hunze;2085.95505295495;1787.96;BU16800509;GM1680;BU16800509;GM1680;BU16800509;GM1680;False;False;53.06470245823339;6.677179589191408;MULTIPOLYGON (((6.687493 53.072227, 6.69182 53.070277, 6.692058 53.07022, 6.692448 53.070384, 6.693269 53.069507, 6.694777 53.068564, 6.699015 53.065174, 6.699651 53.064162, 6.703102 53.061148, 6.701745 53.061099, 6.698799 53.0605, 6.696424 53.060853, 6.674318 53.049294, 6.673694 53.049417, 6.666472 53.051019, 6.66137 53.052453, 6.662411 53.053214, 6.661276 53.053418, 6.662142 53.056178, 6.663924 53.057101, 6.664488 53.057561, 6.666054 53.057487, 6.666905 53.058116, 6.666885 53.058296, 6.66617 53.058698, 6.665297 53.058892, 6.664232 53.059871, 6.664189 53.06019, 6.66472 53.060976, 6.664526 53.06159, 6.665629 53.062252, 6.666677 53.062256, 6.667717 53.06254, 6.668299 53.063208, 6.668636 53.06334, 6.66941 53.063211, 6.669911 53.063305, 6.670005 53.063461, 6.669381 53.064071, 6.671458 53.064569, 6.671599 53.065017, 6.673134 53.065504, 6.674573 53.0655, 6.675146 53.065897, 6.671813 53.067965, 6.670839 53.071806, 6.672297 53.071991, 6.672354 53.072437, 6.672803 53.072862, 6.675433 53.073274, 6.675062 53.074046, 6.676277 53.074235, 6.676267 53.075001, 6.676965 53.074758, 6.678244 53.076488, 6.678 53.076576, 6.678521 53.076825, 6.687493 53.072227)), ((6.669188 53.080345, 6.666638 53.077166, 6.664714 53.077139, 6.663231 53.076824, 6.662022 53.076177, 6.66216 53.07503, 6.661879 53.075046, 6.661078 53.074349, 6.660036 53.074389, 6.659379 53.075163, 6.659889 53.075841, 6.659674 53.076365, 6.658204 53.076316, 6.657635 53.07643, 6.656457 53.077106, 6.655509 53.078042, 6.65524 53.077912, 6.655293 53.076887, 6.654986 53.076733, 6.65445 53.076868, 6.653831 53.077662, 6.653898 53.077845, 6.654468 53.077898, 6.654765 53.078122, 6.654445 53.078698, 6.654422 53.07949, 6.653989 53.080096, 6.651249 53.080047, 6.649768 53.079568, 6.649243 53.079918, 6.649349 53.080421, 6.648916 53.081319, 6.648855 53.082189, 6.657774 53.08403, 6.659669 53.082959, 6.661836 53.081985, 6.664496 53.08121, 6.669188 53.080345)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Eexterveen;Aa en Hunze;13684.4569076832;11729.53;BU16800600;GM1680;BU16800600;GM1680;BU16800600;GM1680;False;False;53.050326119585385;6.807123865385327;MULTIPOLYGON (((6.794794 53.058716, 6.80062 53.055816, 6.803855 53.053945, 6.8042 53.053884, 6.805792 53.052722, 6.806409 53.052773, 6.807574 53.05383, 6.811697 53.055661, 6.812418 53.054941, 6.808089 53.052839, 6.808002 53.052433, 6.808627 53.051999, 6.807565 53.051587, 6.809404 53.050502, 6.811728 53.051703, 6.817453 53.047574, 6.818604 53.048176, 6.825739 53.042564, 6.823565 53.041641, 6.821493 53.040872, 6.813444 53.045412, 6.81248 53.044747, 6.810401 53.045753, 6.811493 53.046212, 6.804146 53.050212, 6.804077 53.050111, 6.803735 53.050684, 6.798487 53.047951, 6.797163 53.048899, 6.79829 53.049511, 6.793647 53.05296, 6.796993 53.054588, 6.793413 53.056803, 6.788767 53.058762, 6.789845 53.059327, 6.787999 53.060095, 6.789808 53.060817, 6.794794 53.058716)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Eexterveen;Aa en Hunze;776.685392057694;665.73;BU16800609;GM1680;BU16800609;GM1680;BU16800609;GM1680;False;False;53.05195009294285;6.8028660612624305;MULTIPOLYGON (((6.804518 53.065186, 6.804587 53.064999, 6.811166 53.060542, 6.833218 53.045877, 6.825739 53.042564, 6.818604 53.048176, 6.817453 53.047574, 6.811728 53.051703, 6.809404 53.050502, 6.807565 53.051587, 6.808627 53.051999, 6.808002 53.052433, 6.808089 53.052839, 6.812418 53.054941, 6.811697 53.055661, 6.807574 53.05383, 6.806409 53.052773, 6.805792 53.052722, 6.8042 53.053884, 6.803855 53.053945, 6.80062 53.055816, 6.794794 53.058716, 6.789808 53.060817, 6.787999 53.060095, 6.789845 53.059327, 6.788767 53.058762, 6.793413 53.056803, 6.796993 53.054588, 6.793647 53.05296, 6.79829 53.049511, 6.797163 53.048899, 6.798487 53.047951, 6.803735 53.050684, 6.804077 53.050111, 6.804146 53.050212, 6.811493 53.046212, 6.810401 53.045753, 6.81248 53.044747, 6.813444 53.045412, 6.821493 53.040872, 6.815593 53.038495, 6.813134 53.039277, 6.809676 53.039901, 6.806692 53.04009, 6.804654 53.040011, 6.801827 53.041231, 6.800449 53.041638, 6.79856 53.042749, 6.797106 53.043184, 6.793786 53.043479, 6.79013 53.043553, 6.787725 53.044336, 6.786497 53.045334, 6.783777 53.048105, 6.782525 53.050229, 6.780662 53.051243, 6.779558 53.051574, 6.779093 53.05217, 6.778046 53.055804, 6.778021 53.056474, 6.778478 53.057375, 6.778565 53.058746, 6.779734 53.059282, 6.780733 53.05886, 6.780166 53.05836, 6.781127 53.057888, 6.801036 53.067495, 6.804518 53.065186)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Spijkerboor;Aa en Hunze;2914.41947114982;2498.07;BU16800700;GM1680;BU16800700;GM1680;BU16800700;GM1680;False;False;53.07791698619696;6.7667529067572305;MULTIPOLYGON (((6.77245 53.079291, 6.768526 53.078138, 6.76941 53.076784, 6.767323 53.076006, 6.766776 53.076232, 6.765892 53.075339, 6.765436 53.074875, 6.765057 53.074492, 6.763763 53.074874, 6.763982 53.075667, 6.760824 53.076344, 6.76216 53.077817, 6.763011 53.078368, 6.764218 53.077934, 6.765327 53.078631, 6.767783 53.079425, 6.768844 53.080008, 6.767906 53.080831, 6.767784 53.080939, 6.770399 53.0816, 6.77245 53.079291)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
