diam;ash;kw;x;y;land;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
15.6;31.4;75.0;80200.9254;398701.7143;NL;51.572262325819025;4.308231066959988;BU08510002;GM0851;BU08510002;GM0851;BU08510002;GM0851;False;False
18.0;31.4;80.0;170124.306;526340.9728;NL;52.724233347469784;5.611071286194111;BU01710943;GM0171;BU01710943;GM0171;BU01710943;GM0171;False;False
15.6;31.4;75.0;169751.9772;524382.8831;NL;52.706646621641184;5.605472633962856;BU01710943;GM0171;BU01710943;GM0171;BU01710943;GM0171;False;False
15.6;31.4;75.0;160714.0048;574303.8705;NL;53.155422596218784;5.47262484926907;BU00720009;GM0072;BU00720009;GM0072;BU00720009;GM0072;False;False
15.6;24.5;75.0;162760.9972;578298.8693;NL;53.191294524085265;5.503321266976964;BU19492900;GM1949;BU19492900;GM1949;BU19492900;GM1949;False;False
15.6;31.4;75.0;163794.0892;584472.4466;NL;53.2467513207835;5.518946657798375;BU19493800;GM1949;BU19493800;GM1949;BU19493800;GM1949;False;False
15.6;31.4;75.0;164266.8261;583390.1316;NL;53.23701825014107;5.52599714805532;BU19493300;GM1949;BU19493300;GM1949;BU19493300;GM1949;False;False
15.6;34.0;75.0;167992.9766;574574.8708;NL;53.15773066344288;5.5814473022246105;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
15.6;31.4;75.0;176165.514;585104.132;NL;53.252080612338126;5.704315362139774;BU19495000;GM1949;BU19495000;GM1949;BU19495000;GM1949;False;False
15.6;31.4;75.0;180506.638483;578460.181732;NL;53.19219285638844;5.768826465285105;BU00804103;GM0080;BU00804103;GM0080;BU00804103;GM0080;False;False
15.6;24.5;75.0;181163.3166;592819.5301;NL;53.321183514759056;5.779822885944805;BU19700808;GM1970;BU19700808;GM1970;BU19700808;GM1970;False;False
15.6;31.4;75.0;188021.8871;591152.8752;NL;53.305828361216996;5.882569265367101;BU19701008;GM1970;BU19701008;GM1970;BU19701008;GM1970;False;False
15.6;24.5;75.0;190546.5168;590100.9375;NL;53.29621463274769;5.920322828106924;BU18910309;GM1891;BU18910309;GM1891;BU18910309;GM1891;False;False
15.6;31.4;75.0;192131.1455;549728.2793;NL;52.933338868012314;5.939447618986181;BU00740109;GM0074;BU00740109;GM0074;BU00740109;GM0074;False;False
15.6;31.4;75.0;192254.9039;549299.89;NL;52.92948084008264;5.9412392392787385;BU00740109;GM0074;BU00740109;GM0074;BU00740109;GM0074;False;False
15.6;31.4;75.0;216601.8834;561331.5208;NL;53.03535957746026;6.305554860053287;BU00850501;GM0085;BU00850501;GM0085;BU00850501;GM0085;False;False
15.6;24.5;50.0;168782.8876;476232.3009;NL;52.27392920247591;5.589145285632857;BU02730008;GM0273;BU02730008;GM0273;BU02730008;GM0273;False;False
15.6;24.5;75.0;209260.703608;602634.002639;NL;53.407243384872075;6.20310052362961;BU19660102;GM1966;BU19660102;GM1966;BU19660102;GM1966;False;False
15.6;31.4;75.0;215856.7593;594360.9073;NL;53.33220369570193;6.30069141130805;BU19691608;GM1969;BU19691608;GM1969;BU19691608;GM1969;False;False
15.6;31.4;75.0;226068.3232;589224.6269;NL;53.28479715445308;6.452805853239266;BU19691309;GM1969;BU19691309;GM1969;BU19691309;GM1969;False;False
15.6;24.5;75.0;105406.1297;527006.0314;NL;52.728158300427;4.65305766248633;BU03730705;GM0373;BU03730705;GM0373;BU03730705;GM0373;False;False
