diam;ash;kw;x;y;land;naam;wt_type;gem_naam;prov_naam;ondergrond;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
26.0;26.0;90.0;184745.661287;295841.750177;België;n.a.;Eocycle EOX M-26;n.a.;n.a.;land;50.651891358794956;5.807766877874116;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
80.0;105.0;3000.0;168679.498528;299437.964804;België;n.a.;n.a.;n.a.;n.a.;land;50.68482165768687;5.580746509615681;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
115.0;123.0;3000.0;170817.342978;300437.045552;België;n.a.;E115;n.a.;n.a.;land;50.693747298177556;5.61103741466885;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
117.0;100.0;3400.0;164592.697575;305255.456828;België;n.a.;V117;n.a.;n.a.;land;50.73719599056879;5.523076251341367;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
117.0;100.0;3400.0;163991.28094;305380.035989;België;n.a.;V117;n.a.;n.a.;land;50.73832552243904;5.514560447153993;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
117.0;100.0;3400.0;164840.732489;305567.055505;België;n.a.;V117;n.a.;n.a.;land;50.73999266931727;5.526597993770697;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
117.0;100.0;3400.0;164307.024674;305687.188056;België;n.a.;V117;n.a.;n.a.;land;50.741081399306026;5.519040805502463;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
117.0;100.0;3400.0;164687.205904;305932.050543;België;n.a.;V117;n.a.;n.a.;land;50.74327611505399;5.524432905414383;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
114.0;93.0;2625.0;170534.899497;308721.279436;België;n.a.;Siemens-Gamesa 114;n.a.;n.a.;land;50.76821932505969;5.6073930557585046;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
114.0;93.0;2625.0;170192.885187;308952.461253;België;n.a.;Siemens-Gamesa 114;n.a.;n.a.;land;50.77030649662347;5.602554956796938;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
