child_transformer_id;parent_transformer_id
GO;Station Goor 110 kV
ODZ;Station Oldenzaal 110 kV
AMLM;Station Almelo Mosterdpot 110 kV
AMLU;Station Almelo Urenco 110 kV
OL;Station Olst 110 kV
ZLF;Station Zwolle Frankhuis 110 kV
MSBT;Station Maasbracht 150 kV
RT;Station Raalte 110 kV
DDV;Station Dedemsvaart 110 kV
WW;Station Waalwijk 150 kV
MLBK;Station Maalbroek 150 kV
SW;Station Steenwijk 110 kV
ESDV;Station Enschede Vechtstraat 110 kV
RS;Station Rijssen 110 kV
RMND;Station Roermond 150 kV
EMW;Station Emmen Weerdingen 110 kV
TRBK;Station Treebeek 150 kV
RSD;Station Roosendaal 150 kV
BD;Station Breda 150 kV
GT;Station Geertruidenberg 150 kV
DVTP;Station Deventer Platvoet 110 kV
LUTT;Station Lutterade 150 kV
ZLW;Station Zwolle Weteringkade 110 kV
GLTK;Station Gasselte Kraanlanden 110 kV
MZ;Station Maarheeze 150 kV
WS;Station Winschoten 110 kV
UD;Station Uden 150 kV
KWD;Station Kropswolde 110 kV
BT;Station Best 150 kV
TBG;Station Tubbergen 110 kV
WSMR;Station Winsum Ranum 110 kV
HPT;Station Hapert 150 kV
BGMR;Station Bargermeer 110 kV
HTN;Station s Hertogenbosch Noord 150 kV
KELP;Station Kelpen 150 kV
ZYV;Station Zeyerveen 110 kV
OS;Station Oss 150 kV
HEER;Station Limmel 150 kV
BOSP;Station Limmel 150 kV
TBN;Station Tilburg Noord 150 kV
EHVW;Station Eindhoven West 150 kV
BUGG;Station Buggenum 150 kV
OTD;Station Oosteind 150 kV
GNBS;Station Groningen Bloemsingel 110 kV
HGLW;Station Hengelo Weideweg 110 kV
HGV;Station Hoogeveen 110 kV
NEDW;Station Nederweert 150 kV
MSKZ;Station Musselkanaal Zandberg 110 kV
EHVO;Station Eindhoven Oost 150 kV
SBRN;Station Schoonbron 150 kV
BOZ;Station Bergen op Zoom 150 kV
NVD;Station Nijverdal 110 kV
ESDH;Station Enschede Heekstraat 110 kV
KZVZ;Station Klazienaveen Zwet 110kV
LIMM;Station Limmel 150 kV
HTW;Station s Hertogenbosch West 150 kV
MP;Station Meppel 110 kV
HMZ;Station Helmond Zuid 150 kV
PCH;Station Princenhage 150 kV
HELD;Station Helden 150 kV
ERD;Station Eerde 150 kV
VLH;Station Vollenhove 110 kV
BLER;Station Blerick 150 kV
ARI;Station Aarle Rixtel 150 kV
HRST;Station Horst 150 kV
TBZ;Station Tilburg Zuid 150 kV
VENR;Station Venray 150 kV
ETN;Station Etten 150 kV
ISM;Station IJsselmuiden 110kV
VVL10;Station Vierverlaten 110 kV
WDT;Station Woensdrecht 150 kV
HPS;Station Haps 150 kV
EHVZ;Station Eindhoven Zuid 150 kV
MAK;Station Marsdijk 110 kV
BEEK;Station Beek 150 kV
GNHU;Station Groningen Hunze 110 kV
GNHK;Station Groningen v. Heemskerkstraat 110
BXT;Station Boxtel 150 kV
KP;Station Kampen 110 kV
WRTH;Station Weertheide 150 kV
WEW;Station Weiwerd 220
ESDW;Station Enschede Wesselerbrink 110 kV
GENN;Station Gennep 150 kV
ZLH;Station Zwolle Hessenweg 110 kV
WVV;Station Limmel 150 kV
TBC;Station Tilburg Noord 150 kV
VO;Station Veenoord 110 kV
BBS;Station Biesbosch 150 kV
HUSK;Station Huskensweg 150 kV
EHVN;Station Eindhoven Noord 150 kV
BORN;Station Born 150 kV
HGLB;Station Hengelo Boldershoek 110 kV
CVD;Station Coevorden 110 kV
MDK;Station Moerdijk 150 kV
VDM;Station Veendam 110 kV
HBG;Station Haaksbergen 110 kV
DVTB;Station Deventer Bergweide 110 kV
VH;Station Vroomshoop 110 kV
BELF;Station Belfeld 150 kV
TERW;Station Terwinselen 150 kV
GNBH;Station Groningen Bornholmstraat 110 kV
CALF;Station Californië 150 kV
HMO;Station Helmond Oost 150 kV
BL;Station Beilen 110 kV
LS;Station Losser 110 kV
ZS;Station Zwartsluis 110 kV
ESDM;Station Enschede Marssteden 110 kV
TBW;Station Tilburg West 150 kV
MEE;Station Meeden 220
CU;Station Cuyk 150 kV
HDB;Station Hardenberg 110 kV
BOEK;Station Boekend 150 kV
MRUM;Station Merum 150 kV
DTO;Station Dinteloord 150kV
SKN;Station Stadskanaal 110 kV
OMD;Station Ommen Dante 110 kV
EHAVO;Station Eemshaven Oost 220
EHAVM;Station Eemshaven Midden 110 kV
OS HEERHUGOWAARD 50-1i;Station Oterleek 150
OS LEIDEN ZUID WEST 10-1i;Station Leiden 150 kV
OS ZUTPHEN 10-2i;Station Zutphen 150
OS LEEUWARDEN 10-4i;Station Leeuwarden 110
OS UITHOORN 50-1i;Station Amstelveen 150
OS ZAANDIJK 50-1i;Station Wijdewormer 150
OS PRESIKHAAF 10-2i;Station Kattenberg 150
OS TEERSDIJK 10-1i;Station Teersdijk 150
OS ALMERE 10-1i;Station Almere 150 (CBL)
OS WAARDERPOLDER 10-2i;Station Waarderpolder 150
OS AALSMEER BLOEMENVEILING 10-2i;Station Amstelveen 150
OS NUNSPEET 10-2i;Station Harderwijk 150 (CBL)
OS ZUILICHEM 20-1i;Station Zuilichem 150 kV
OS LEEUWARDEN 10-1i;Station Leeuwarden 110
OS ZAANDAM NOORD 50-1i;Station Amsterdam Hemweg 150
OS ZORGVLIED 20-4i;Station Zorgvlied 150
OS SASSENHEIM 10-2i;Station Sassenheim 150 kV
OS NIEUWE MEER 10-1i;Station Nieuwe Meer 150
OS EERBEEK 10-1i + 10-2i;Station Eerbeek 150
OS AMSTELVEEN BOLWERK 50-1i;Station Amstelveen 150
OS DUKENBURG 10-1i;Station Nijmegen 150
OS NIJKERK 10-2i;Station Harderwijk 150 (CBL)
OS VENSERWEG 10-11i;Station Venserweg 150
OS SCHALKWIJK 10-1i;Station Vijfhuizen 150
OS ELST 10-1i;Station Elst 150
OS DE VAART 10-1i;Station Almere De Vaart 150 (CBL)
OS APELDOORN 10-1i;Station Apeldoorn 150
OS BORCULO 10-1i;Station Borculo 150
OS NOORD PAPAVERWEG 10-1i;Station Amsterdam Noord Papaverweg 150
OS WOUDHUIS 10-1i;Station Woudhuis 150
OS HOOGTE KADIJK 10-1i;Station Amsterdam Hoogte Kadijk 150
OS SCHENKENSCHANS 10-2i;Station Schenkenschans 110kV
OS ELST 10-2i;Station Elst 150
OS BASISWEG 10-1i;Station Amsterdam Hemweg 150
OS ZAANDAM WEST 10-1i;Station Amsterdam Hemweg 150
OS WESTZAANSTRAAT 10-1i;Station Amsterdam Hemweg 150
OS TIEL 10-2i;Station Tiel 150
OS HUIZEN 10-1i;Station 's Graveland 150
OS OUDORP 10-1i;Station Oterleek 150
OS VENSERWEG 10-12i;Station Venserweg 150
OS PAMPUS 10-1i;Station Pampus 150 (CBL)
OS SCHIPLUIDENLAAN 10-1i;Station Amsterdam Hemweg 150
OS Heiloo 10-1i + 10-2i;Station Oterleek 150
OS HEERENVEEN 10-1i;Station Heerenveen 110
OS WESTHAVEN 10-1i;Station Amsterdam Hemweg 150
OS MARNIXSTRAAT 10-1i;Station Amsterdam Hemweg 150
OS FREDERIKSPLEIN 10-1i;Station Amsterdam Hoogte Kadijk 150
OS MARNEZIJL 10-2i;Station Marnezijl 110
OS SNEEK 10-1i;Station Sneek 110
OS BIJLMER ZUID 10-1i;Station Bijlmer Zuid 150
OS HATTEM 10-1i;Station Hattem 150 (CBL)
OS DRONTEN 10-1i;Station Dronten 150 (CBL)
OS NOORDWIJK 10-1i;Station Sassenheim 150 kV
OS NAARDEN 50-1i;Station 's Graveland 150
OS DRUTEN 10-1i;Station Druten 150
OS VAASSEN 10-1i;Station Vaassen 150
