Bouwperiode;Oppervlaktekcode;Huishoudgrootte;Oppervlakteklasse TNO;gas demand cooking [m3];gas demand domestic hot water [m3]
0;1;1;<75;17.08646739;140.1269923
0;2;1;75-100;16.78281957;136.128741
0;3;1;100-125;16.16793391;131.2236616
0;4;1;125-150;16.01068174;131.2264487
0;5;1;>150;15.5835613;127.6970364
0;1;2;<75;29.77021826;224.6900097
0;2;2;75-100;28.07137826;222.0871836
0;3;2;100-125;27.9049913;204.33395
0;4;2;125-150;28.00898435;202.8881695
0;5;2;>150;26.67397652;196.0976459
0;1;3;<75;39.46227043;297.7542463
0;2;3;75-100;37.92764609;282.270903
0;3;3;100-125;36.77263652;275.4183407
0;4;3;125-150;37.10630957;262.7508257
0;5;3;>150;35.29030522;257.770231
0;1;4;<75;43.60547304;297.3259809
0;2;4;75-100;46.62163478;282.0727585
0;3;4;100-125;45.61258087;286.6461996
0;4;4;125-150;45.45773913;282.2667154
0;5;4;>150;44.51531652;270.9992152
0;1;5;<75;55.3302487;288.9135272
0;2;5;75-100;54.32590087;306.9872406
0;3;5;100-125;54.7032487;320.2765307
0;4;5;125-150;54.78030609;310.5937137
0;5;5;>150;53.52110261;315.4697219
1;1;1;<75;17.11078696;140.1269923
1;2;1;75-100;17.54401957;136.128741
1;3;1;100-125;16.48069739;131.2236616
1;4;1;125-150;16.75540565;131.2264487
1;5;1;>150;14.73583435;127.6970364
1;1;2;<75;29.98709043;224.6900097
1;2;2;75-100;28.79033826;222.0871836
1;3;2;100-125;28.38945043;204.33395
1;4;2;125-150;28.7839487;202.8881695
1;5;2;>150;25.71866;196.0976459
1;1;3;<75;39.72768609;297.7542463
1;2;3;75-100;38.64993478;282.270903
1;3;3;100-125;37.27817739;275.4183407
1;4;3;125-150;37.89375652;262.7508257
1;5;3;>150;34.32555739;257.770231
1;1;4;<75;43.29164783;297.3259809
1;2;4;75-100;48.02904174;282.0727585
1;3;4;100-125;45.92796522;286.6461996
1;4;4;125-150;46.74553304;282.2667154
1;5;4;>150;43.20828696;270.9992152
1;1;5;<75;55.14263652;288.9135272
1;2;5;75-100;55.73164348;306.9872406
1;3;5;100-125;55.05025565;320.2765307
1;4;5;125-150;56.08474348;310.5937137
1;5;5;>150;52.18577913;315.4697219
2;1;1;<75;15.10919348;140.1269923
2;2;1;75-100;16.65588913;136.128741
2;3;1;100-125;15.3423887;131.2236616
2;4;1;125-150;13.93188261;131.2264487
2;5;1;>150;12.09936391;127.6970364
2;1;2;<75;27.15916261;224.6900097
2;2;2;75-100;27.78277652;222.0871836
2;3;2;100-125;26.92166783;204.33395
2;4;2;125-150;25.33912174;202.8881695
2;5;2;>150;22.49052348;196.0976459
2;1;3;<75;36.65981478;297.7542463
2;2;3;75-100;37.57247043;282.270903
2;3;3;100-125;35.76601217;275.4183407
2;4;3;125-150;34.32243913;262.7508257
2;5;3;>150;31.05331565;257.770231
2;1;4;<75;41.33092174;297.3259809
2;2;4;75-100;46.65469217;282.0727585
2;3;4;100-125;44.36826087;286.6461996
2;4;4;125-150;42.51217826;282.2667154
2;5;4;>150;39.57474783;270.9992152
2;1;5;<75;52.55805739;288.9135272
2;2;5;75-100;54.39224522;306.9872406
2;3;5;100-125;53.42397739;320.2765307
2;4;5;125-150;51.68273478;310.5937137
2;5;5;>150;48.41992435;315.4697219
3;1;1;<75;15.62198478;140.1269923
3;2;1;75-100;16.27803913;136.128741
3;3;1;100-125;13.76732739;131.2236616
3;4;1;125-150;13.3485287;131.2264487
3;5;1;>150;12.07843043;127.6970364
3;1;2;<75;27.84303739;224.6900097
3;2;2;75-100;27.34079652;222.0871836
3;3;2;100-125;24.82836783;204.33395
3;4;2;125-150;24.44314783;202.8881695
3;5;2;>150;22.45167913;196.0976459
3;1;3;<75;37.39500696;297.7542463
3;2;3;75-100;37.09553913;282.270903
3;3;3;100-125;33.60447391;275.4183407
3;4;3;125-150;33.37154174;262.7508257
3;5;3;>150;31.01336174;257.770231
3;1;4;<75;41.90838348;297.3259809
3;2;4;75-100;46.09111913;282.0727585
3;3;4;100-125;42.29704696;286.6461996
3;4;4;125-150;41.87362348;282.2667154
3;5;4;>150;39.5680713;270.9992152
3;1;5;<75;53.26894435;288.9135272
3;2;5;75-100;53.84614783;306.9872406
3;3;5;100-125;51.25040609;320.2765307
3;4;5;125-150;50.9709487;310.5937137
3;5;5;>150;48.40991913;315.4697219
4;1;1;<75;11.13477391;140.1269923
4;2;1;75-100;10.8364587;136.128741
4;3;1;100-125;10.99300783;131.2236616
4;4;1;125-150;13.78666826;131.2264487
4;5;1;>150;12.58432043;127.6970364
4;1;2;<75;21.9074087;224.6900097
4;2;2;75-100;20.70101478;222.0871836
4;3;2;100-125;21.30160522;204.33395
4;4;2;125-150;25.08641826;202.8881695
4;5;2;>150;23.11208087;196.0976459
4;1;3;<75;31.02248696;297.7542463
4;2;3;75-100;29.84494174;282.270903
4;3;3;100-125;29.97507652;275.4183407
4;4;3;125-150;34.05142783;262.7508257
4;5;3;>150;31.68458174;257.770231
4;1;4;<75;36.76525217;297.3259809
4;2;4;75-100;38.41069913;282.0727585
4;3;4;100-125;38.4252;286.6461996
4;4;4;125-150;42.39123565;282.2667154
4;5;4;>150;40.19650609;270.9992152
4;1;5;<75;46.98989565;288.9135272
4;2;5;75-100;46.47113565;306.9872406
4;3;5;100-125;47.22460696;320.2765307
4;4;5;125-150;51.53738174;310.5937137
4;5;5;>150;49.0708087;315.4697219
